evaluation,mape
2.000000000000000000e+00,8.855055175964161585e-01
1.000000000000000000e+01,5.593460016872806584e-01
2.000000000000000000e+01,1.372393617058672577e-01
3.000000000000000000e+01,6.338713728366891786e-02
4.000000000000000000e+01,4.983768581458212360e-02
5.000000000000000000e+01,4.666061192738955171e-02
6.000000000000000000e+01,2.838242961901019101e-02
7.000000000000000000e+01,7.860323790319940357e-03
8.000000000000000000e+01,8.322632229591552314e-03
9.000000000000000000e+01,1.003861236647952612e-02
1.000000000000000000e+02,1.148383145453340387e-02
