evaluation,mape
2.000000000000000000e+00,9.470099523852786305e-01
1.000000000000000000e+01,1.300155342574064177e-01
2.000000000000000000e+01,1.555935754503732782e-01
3.000000000000000000e+01,1.445662758427537498e-01
4.000000000000000000e+01,1.176455837719610070e-01
5.000000000000000000e+01,5.357149675178961984e-02
6.000000000000000000e+01,5.490326626129182069e-02
7.000000000000000000e+01,5.313664849766987913e-02
8.000000000000000000e+01,3.829594454542085274e-02
9.000000000000000000e+01,3.742646367869697371e-02
1.000000000000000000e+02,3.881257141689175433e-02
