evaluation,mape
2.000000000000000000e+00,8.775964961686737453e-01
1.000000000000000000e+01,7.887386074878093289e-01
2.000000000000000000e+01,5.809851994648623785e-01
3.000000000000000000e+01,4.260066463468347719e-01
4.000000000000000000e+01,7.942051268504080053e-02
5.000000000000000000e+01,5.819085799574116868e-02
6.000000000000000000e+01,1.679375620546256012e-02
7.000000000000000000e+01,1.726975007072426363e-02
8.000000000000000000e+01,1.665019053334419741e-02
9.000000000000000000e+01,1.706444273672302545e-02
1.000000000000000000e+02,1.768792253950142446e-02
