controllable,controllable,controllable,controllable,controllable,environmental,output
4.046317636966705322e-01,8.822854161262512207e-01,8.352169990539550781e-01,5.738615989685058594e-01,1.495426893234252930e-01,6.668783724308013916e-02,-3.167942047119140625e+00
4.046490788459777832e-01,8.824275732040405273e-01,8.447072505950927734e-01,5.739662051200866699e-01,1.409236192703247070e-01,4.287533462047576904e-02,-3.202306747436523438e+00
4.046371579170227051e-01,8.822168111801147461e-01,8.298730254173278809e-01,5.738044381141662598e-01,1.538781076669692993e-01,7.605096697807312012e-02,-3.140953063964843750e+00
4.046505987644195557e-01,8.823921084403991699e-01,8.435731530189514160e-01,5.739319324493408203e-01,1.423096060752868652e-01,4.701568931341171265e-02,-3.199926853179931641e+00
4.046399593353271484e-01,8.823485374450683594e-01,8.393866419792175293e-01,5.739026069641113281e-01,1.454648524522781372e-01,5.745391547679901123e-02,-3.187181472778320312e+00
4.046064913272857666e-01,8.820610046386718750e-01,8.185319304466247559e-01,5.736423134803771973e-01,1.632135212421417236e-01,9.332148730754852295e-02,-3.072144508361816406e+00
4.044537544250488281e-01,8.810889720916748047e-01,7.617354393005371094e-01,5.728172063827514648e-01,2.007074207067489624e-01,1.431942731142044067e-01,-2.752232551574707031e+00
4.046784639358520508e-01,8.825714588165283203e-01,8.555714488029479980e-01,5.740950107574462891e-01,1.294342726469039917e-01,2.285601105540990829e-03,-3.145158052444458008e+00
4.046420156955718994e-01,8.825315237045288086e-01,8.515294194221496582e-01,5.740551352500915527e-01,1.332476437091827393e-01,1.907926425337791443e-02,-3.186381816864013672e+00
4.045320749282836914e-01,8.816356062889099121e-01,7.936239838600158691e-01,5.732738375663757324e-01,1.814908236265182495e-01,1.199425682425498962e-01,-2.921598911285400391e+00
4.046196937561035156e-01,8.821576833724975586e-01,8.251025080680847168e-01,5.737080574035644531e-01,1.579053252935409546e-01,8.391732722520828247e-02,-3.112605810165405273e+00
4.043968617916107178e-01,8.807569146156311035e-01,7.440428733825683594e-01,5.725262761116027832e-01,2.097283452749252319e-01,1.537722647190093994e-01,-2.665572404861450195e+00
4.046200811862945557e-01,8.821309804916381836e-01,8.237836956977844238e-01,5.737251639366149902e-01,1.590439677238464355e-01,8.636952191591262817e-02,-3.102735042572021484e+00
4.046548306941986084e-01,8.824637532234191895e-01,8.474512696266174316e-01,5.740053057670593262e-01,1.379119306802749634e-01,3.489816561341285706e-02,-3.202584743499755859e+00
4.045953154563903809e-01,8.819715380668640137e-01,8.143964409828186035e-01,5.735747814178466797e-01,1.666830182075500488e-01,9.882862865924835205e-02,-3.045241355895996094e+00
4.044290482997894287e-01,8.809309005737304688e-01,7.538560032844543457e-01,5.726807117462158203e-01,2.050314247608184814e-01,1.482159346342086792e-01,-2.711759328842163086e+00
4.043943881988525391e-01,8.806249499320983887e-01,7.390319108963012695e-01,5.724290609359741211e-01,2.124324589967727661e-01,1.568184047937393188e-01,-2.639663934707641602e+00
4.046528935432434082e-01,8.824744224548339844e-01,8.480756878852844238e-01,5.740118622779846191e-01,1.368056535720825195e-01,3.191703185439109802e-02,-3.201231718063354492e+00
4.045218229293823242e-01,8.814820051193237305e-01,7.835353016853332520e-01,5.731544494628906250e-01,1.877101063728332520e-01,1.281645596027374268e-01,-2.865350484848022461e+00
4.046367108821868896e-01,8.823136687278747559e-01,8.367261290550231934e-01,5.738791227340698242e-01,1.478619277477264404e-01,6.222259253263473511e-02,-3.178170680999755859e+00
4.044925272464752197e-01,8.813787698745727539e-01,7.773725390434265137e-01,5.730753540992736816e-01,1.912512630224227905e-01,1.326014697551727295e-01,-2.833282947540283203e+00
4.046463966369628906e-01,8.825094699859619141e-01,8.507140874862670898e-01,5.740801095962524414e-01,1.345644146203994751e-01,2.313297800719738007e-02,-3.192647695541381836e+00
4.045579433441162109e-01,8.817270398139953613e-01,7.985774874687194824e-01,5.733525753021240234e-01,1.777990013360977173e-01,1.155753582715988159e-01,-2.949710130691528320e+00
4.046749174594879150e-01,8.825483918190002441e-01,8.540526032447814941e-01,5.740747451782226562e-01,1.309963464736938477e-01,8.868291974067687988e-03,-3.164218664169311523e+00
4.045780301094055176e-01,8.818583488464355469e-01,8.061683177947998047e-01,5.734858512878417969e-01,1.728510111570358276e-01,1.080884709954261780e-01,-2.994892120361328125e+00
