evaluation,mape
2.000000000000000000e+00,9.683694919628179631e-01
1.000000000000000000e+01,7.308875408535335794e-01
2.000000000000000000e+01,8.134018462431220620e-01
3.000000000000000000e+01,8.194424698989102307e-01
4.000000000000000000e+01,8.227514842776862958e-01
5.000000000000000000e+01,3.190865230407145536e-01
6.000000000000000000e+01,3.206662751331268435e-01
7.000000000000000000e+01,1.342526631233667000e-01
8.000000000000000000e+01,8.658891225349560350e-02
9.000000000000000000e+01,8.549289648744638759e-02
1.000000000000000000e+02,8.502823534195150246e-02
