controllable,controllable,controllable,controllable,controllable,environmental,output
8.112374284600767371e-01,3.075914099201896290e-01,5.954240212290068390e-01,4.124235035456074172e-01,3.044230752828066544e-01,9.834535130452342067e-01,6.425715493396881861e-01
4.758634269237518311e-01,2.239412665367126465e-01,9.569235444068908691e-01,4.860541820526123047e-01,4.906421899795532227e-01,1.000000000000000000e+00,3.928525149822235107e-01
8.112035989761352539e-01,3.076155483722686768e-01,5.953360795974731445e-01,4.123038947582244873e-01,3.044949173927307129e-01,1.000000000000000000e+00,6.145631074905395508e-01
8.439969420433044434e-01,3.101947903633117676e-01,6.159725785255432129e-01,4.643342494964599609e-01,2.724466323852539062e-01,1.000000000000000000e+00,6.152539253234863281e-01
0.000000000000000000e+00,3.295402526855468750e-01,0.000000000000000000e+00,6.642733234912157059e-03,1.000000000000000000e+00,9.702902436256408691e-01,1.292056287638843060e-03
1.000000000000000000e+00,1.000000000000000000e+00,1.036366622064028263e-15,7.216449660063517513e-16,1.000000000000000000e+00,9.429914951324462891e-01,2.177743226638995111e-06
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.711877558413864047e-17,8.981515765190124512e-01,9.358336217701435089e-03
0.000000000000000000e+00,3.463909924030303955e-01,4.558646976947784424e-01,9.999991059303283691e-01,6.856790690790148801e-08,8.965669274330139160e-01,8.530990779399871826e-02
6.367805004119873047e-01,1.000000000000000000e+00,6.886054277420043945e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.776968717575073242e-01,3.601732198148965836e-03
1.000000000000000000e+00,1.666142046451568604e-01,1.323123564777442854e-16,1.071423754033887254e-16,2.339217220872547888e-15,8.358500599861145020e-01,2.979676797986030579e-02
6.991820335388183594e-01,2.806361317634582520e-01,2.547298371791839600e-01,4.461627304553985596e-01,9.720177203416824341e-02,7.980524301528930664e-01,4.748381674289703369e-01
6.098349690437316895e-01,9.683216810226440430e-01,9.108453989028930664e-01,3.882065117359161377e-01,6.154789328575134277e-01,8.144701719284057617e-01,2.036343887448310852e-02
1.000000000000000000e+00,3.844964504241943359e-01,1.000000000000000000e+00,4.171245694160461426e-01,1.000000000000000000e+00,7.850141525268554688e-01,6.252985331229865551e-04
0.000000000000000000e+00,3.595903515815734863e-01,1.000000000000000000e+00,3.437478244304656982e-01,2.586572170257568359e-01,8.210965394973754883e-01,1.198208570480346680e+00
1.821250468492507935e-01,1.248442381620407104e-01,7.749854326248168945e-01,3.138999342918395996e-01,2.275607287883758545e-01,8.560909628868103027e-01,1.892048835754394531e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.368774861097335815e-01,8.252983689308166504e-01,1.547816063975915313e-04
0.000000000000000000e+00,2.066024988889694214e-01,9.583703875541687012e-01,2.157392650842666626e-01,2.219639122486114502e-01,8.593366742134094238e-01,1.251335740089416504e+00
7.479540109634399414e-01,9.454048871994018555e-01,9.851898998022079468e-02,3.409081399440765381e-01,2.115201205015182495e-01,8.699961900711059570e-01,7.781399041414260864e-02
4.553449542300921828e-16,1.412582817152807776e-16,8.134611248970031738e-01,3.175323903560638428e-01,1.485495716333389282e-01,8.201766014099121094e-01,1.077894926071166992e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.423402070999145508e-01,2.605592608451843262e-01,2.367258220911026001e-01,7.761825323104858398e-01,3.979744762182235718e-02
