controllable,controllable,controllable,controllable,controllable,environmental,output
5.951057930949686936e-01,4.198110615713148697e-01,3.210828197332570300e-01,9.425241135572304252e-02,8.121304465763923286e-01,7.651930301674627621e-01,4.100234755484978566e-02
3.146420717239379883e-01,2.276469171047210693e-01,4.028790593147277832e-01,2.149718403816223145e-01,6.049512028694152832e-01,7.747936844825744629e-01,8.191241621971130371e-01
1.661136895418167114e-01,2.394275553524494171e-02,3.659750521183013916e-01,1.825056672096252441e-01,4.411115646362304688e-01,7.430261373519897461e-01,2.033053874969482422e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.866731286048889160e-01,1.127018779516220093e-02
8.294330835342407227e-01,3.212119666066737831e-17,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.598873972892761230e-01,5.272910371422767639e-02
8.170888572931289673e-02,1.023586094379425049e-01,4.768585860729217529e-01,1.907634735107421875e-01,5.773557424545288086e-01,7.620654702186584473e-01,1.194261550903320312e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.311086095651423825e-15,3.132983148097991943e-01,7.850888371467590332e-01,4.769428446888923645e-02
1.836394071578979492e-01,2.167485356330871582e-01,1.000000000000000000e+00,6.991232037544250488e-01,2.963981926441192627e-01,8.237127065658569336e-01,4.556837379932403564e-01
3.792169892989291635e-15,0.000000000000000000e+00,2.276843041181564331e-01,7.678401470184326172e-01,2.636662423610687256e-01,8.172698020935058594e-01,1.928540021181106567e-01
1.000000000000000000e+00,1.114959262289288164e-16,1.000000000000000000e+00,1.134519502972656103e-16,3.701808750629425049e-01,7.943565249443054199e-01,1.231670305132865906e-01
1.953586339950561523e-01,0.000000000000000000e+00,2.963992953300476074e-02,1.285707354545593262e-01,5.407525039116049641e-16,8.116109967231750488e-01,3.144104182720184326e-01
4.312019211949436569e-16,1.000000000000000000e+00,1.000000000000000000e+00,2.135284841060638428e-01,3.473227024078369141e-01,7.666181325912475586e-01,8.998719602823257446e-02
1.000000000000000000e+00,1.000000000000000000e+00,3.538835890992686473e-15,1.000000000000000000e+00,0.000000000000000000e+00,7.958949804306030273e-01,3.739940075320191681e-05
2.545886635780334473e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.530543208122253418e-01,7.930092979222536087e-04
9.760560550986854822e-15,1.605282204907021448e-13,1.000000000000000000e+00,1.000000000000000000e+00,4.609546363353729248e-01,7.523247599601745605e-01,2.438659407198429108e-02
3.219233155250549316e-01,0.000000000000000000e+00,5.459951162338256836e-01,2.371958792209625244e-01,3.753338456153869629e-01,7.385848760604858398e-01,2.516080379486083984e+00
2.345127088445959043e-19,6.314318940125999047e-17,3.078154921531677246e-01,2.694326341152191162e-01,8.730129897594451904e-02,6.921955943107604980e-01,1.121770739555358887e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.939496144652366638e-02,9.301183819770812988e-01,6.931259632110595703e-01,3.269061271566897631e-04
1.000000000000000000e+00,0.000000000000000000e+00,4.616238772869110107e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.093414068222045898e-01,2.186484744015615433e-05
4.886701107025146484e-01,1.433455850929021835e-02,5.057554244995117188e-01,6.606559734791517258e-03,4.203128814697265625e-01,7.202615141868591309e-01,9.552783966064453125e-01
3.384980559349060059e-01,1.797587983310222626e-02,4.239709079265594482e-01,3.004435598850250244e-01,1.000000000000000000e+00,7.123342752456665039e-01,2.837978303432464600e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.491328954696655273e-01,3.970446884632110596e-01,7.359584569931030273e-01,1.533364176750183105e+00
7.131591439247131348e-01,8.233469943733139149e-17,1.000000000000000000e+00,2.256345301866531372e-01,3.856952488422393799e-01,6.873890757560729980e-01,6.069695949554443359e-01
5.342287620309707497e-16,4.606413245201110840e-01,3.364273253173211868e-16,4.038355350494384766e-01,1.631781311965725830e-16,6.634272933006286621e-01,2.631094455718994141e-01
2.584874298570391310e-16,7.647814952738162843e-16,0.000000000000000000e+00,5.773772671818733215e-02,2.742027232950237838e-16,6.743549704551696777e-01,2.329396307468414307e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.639736115932464600e-01,3.241544961929321289e-01,3.543122410774230957e-01,6.856650710105895996e-01,2.485559701919555664e+00
1.000000000000000000e+00,0.000000000000000000e+00,4.154376387596130371e-01,2.654795050621032715e-01,3.301478922367095947e-01,6.799976825714111328e-01,4.712508916854858398e-01
9.113986790180206299e-02,4.226644775962205510e-17,6.374667882919311523e-01,2.270577102899551392e-01,3.145638704299926758e-01,7.282662391662597656e-01,2.528658151626586914e+00
1.939584016799926758e-01,1.367352604866027832e-01,5.015513896942138672e-01,2.884227037429809570e-01,3.251056969165802002e-01,6.911885142326354980e-01,3.269478797912597656e+00
1.326991915702819824e-01,2.367295324802398682e-01,6.085847616195678711e-01,2.898936271667480469e-01,3.483617305755615234e-01,6.601896286010742188e-01,2.957546472549438477e+00
2.142728716135025024e-01,2.137591689825057983e-01,3.784185349941253662e-01,2.506756484508514404e-01,2.965917587280273438e-01,6.895105242729187012e-01,3.142316579818725586e+00
2.825013697147369385e-01,1.964272707700729370e-01,4.722574949264526367e-01,3.469808399677276611e-01,2.885199189186096191e-01,6.473566293716430664e-01,3.056948184967041016e+00
2.248387783765792847e-01,2.019043117761611938e-01,3.738985657691955566e-01,3.182033896446228027e-01,3.498311936855316162e-01,6.598397493362426758e-01,3.081295251846313477e+00
1.170943230390548706e-01,1.868756264448165894e-01,4.401290118694305420e-01,3.106258213520050049e-01,2.918398678302764893e-01,7.083684206008911133e-01,3.088148593902587891e+00
2.673765122890472412e-01,1.948074698448181152e-01,5.337015390396118164e-01,2.609197795391082764e-01,3.052359223365783691e-01,6.731805205345153809e-01,3.200251340866088867e+00
2.550512850284576416e-01,1.052686795592308044e-01,4.105480313301086426e-01,2.817503213882446289e-01,2.980800569057464600e-01,6.695528030395507812e-01,3.230960607528686523e+00
2.171314805746078491e-01,1.547709852457046509e-01,4.513260126113891602e-01,2.722918391227722168e-01,3.200636804103851318e-01,6.403462290763854980e-01,3.301629066467285156e+00
2.249805480241775513e-01,1.546094268560409546e-01,4.754323363304138184e-01,2.898702919483184814e-01,3.075188994407653809e-01,5.972533822059631348e-01,3.214983940124511719e+00
1.658116281032562256e-01,1.397156417369842529e-01,4.449384212493896484e-01,2.409280836582183838e-01,3.177402913570404053e-01,5.981653928756713867e-01,3.170453310012817383e+00
2.757020294666290283e-01,1.426379829645156860e-01,4.525652825832366943e-01,2.666997611522674561e-01,3.315123021602630615e-01,6.057057976722717285e-01,3.160940170288085938e+00
1.973142921924591064e-01,1.090837493538856506e-01,4.987873136997222900e-01,2.947480678558349609e-01,3.161916136741638184e-01,6.081171035766601562e-01,3.224166631698608398e+00
2.023454457521438599e-01,1.482982039451599121e-01,4.917971491813659668e-01,2.697410881519317627e-01,2.936579883098602295e-01,6.282466053962707520e-01,3.280882596969604492e+00
1.892916709184646606e-01,1.575728654861450195e-01,4.431235790252685547e-01,2.869653701782226562e-01,3.082265257835388184e-01,6.289387941360473633e-01,3.283475637435913086e+00
2.067396789789199829e-01,1.279244869947433472e-01,4.165966212749481201e-01,2.794772088527679443e-01,2.967192828655242920e-01,6.062706112861633301e-01,3.208381652832031250e+00
1.962719708681106567e-01,1.642690002918243408e-01,4.880307614803314209e-01,2.765000164508819580e-01,3.129666149616241455e-01,6.251004338264465332e-01,3.291898965835571289e+00
2.120329290628433228e-01,1.345732659101486206e-01,4.902183711528778076e-01,2.671516537666320801e-01,3.106288313865661621e-01,6.287675499916076660e-01,3.293540954589843750e+00
1.961123198270797729e-01,1.439257860183715820e-01,4.711802899837493896e-01,2.677103877067565918e-01,3.086741566658020020e-01,6.664136052131652832e-01,3.316755771636962891e+00
2.114131748676300049e-01,1.500943005084991455e-01,4.792592525482177734e-01,2.847267687320709229e-01,3.100203573703765869e-01,6.425208449363708496e-01,3.312550306320190430e+00
2.088903188705444336e-01,1.496075689792633057e-01,4.759854674339294434e-01,2.813882827758789062e-01,3.107227087020874023e-01,6.427823305130004883e-01,3.315054655075073242e+00
1.980314999818801880e-01,1.431202888488769531e-01,4.715347886085510254e-01,2.747290730476379395e-01,3.148509263992309570e-01,6.413508057594299316e-01,3.314373254776000977e+00
2.101331204175949097e-01,1.488527357578277588e-01,4.819467961788177490e-01,2.841651141643524170e-01,3.058517277240753174e-01,6.531142592430114746e-01,3.316702842712402344e+00
1.938781589269638062e-01,1.559185981750488281e-01,4.795421063899993896e-01,2.727456688880920410e-01,3.134432137012481689e-01,6.403704285621643066e-01,3.313642024993896484e+00
2.159698605537414551e-01,1.543797105550765991e-01,4.701666831970214844e-01,2.805748581886291504e-01,3.063210844993591309e-01,6.871035099029541016e-01,3.295344114303588867e+00
1.972037851810455322e-01,1.442416012287139893e-01,4.649664163589477539e-01,2.647657990455627441e-01,3.147454857826232910e-01,6.738314628601074219e-01,3.308998107910156250e+00
2.130023539066314697e-01,1.400659680366516113e-01,4.828060567378997803e-01,2.702707052230834961e-01,3.109741806983947754e-01,6.328079700469970703e-01,3.302907466888427734e+00
1.887538284063339233e-01,1.663277745246887207e-01,5.149354338645935059e-01,2.694451510906219482e-01,3.063140511512756348e-01,5.898848176002502441e-01,3.187013149261474609e+00
1.876587718725204468e-01,1.559741944074630737e-01,4.660186767578125000e-01,2.845531702041625977e-01,3.243665099143981934e-01,5.964593291282653809e-01,3.213603973388671875e+00
2.168231755495071411e-01,1.304705291986465454e-01,4.867487847805023193e-01,2.662237286567687988e-01,3.079101145267486572e-01,5.913746953010559082e-01,3.200400114059448242e+00
2.084103971719741821e-01,1.681225597858428955e-01,4.660317003726959229e-01,2.697206139564514160e-01,3.101163208484649658e-01,6.073817610740661621e-01,3.251216888427734375e+00
1.739098429679870605e-01,1.563761830329895020e-01,4.668880701065063477e-01,2.890158593654632568e-01,3.066263198852539062e-01,5.594848990440368652e-01,3.065032720565795898e+00
2.134291976690292358e-01,1.551474928855895996e-01,5.086416602134704590e-01,2.664824128150939941e-01,3.276572525501251221e-01,5.622505545616149902e-01,3.074301719665527344e+00
2.333364337682723999e-01,1.939078867435455322e-01,4.587806463241577148e-01,2.437226474285125732e-01,2.921164631843566895e-01,5.304343104362487793e-01,2.849217414855957031e+00
2.145536094903945923e-01,1.007990613579750061e-01,4.538198411464691162e-01,2.815138101577758789e-01,3.198319077491760254e-01,5.474377274513244629e-01,2.987055063247680664e+00
1.967993825674057007e-01,1.284677088260650635e-01,5.969328880310058594e-01,2.952845096588134766e-01,2.966192066669464111e-01,5.024548768997192383e-01,2.591966390609741211e+00
1.818068772554397583e-01,1.929969340562820435e-01,4.298385679721832275e-01,2.774790525436401367e-01,3.356558382511138916e-01,5.374087095260620117e-01,2.896686792373657227e+00
1.843644231557846069e-01,1.397441476583480835e-01,4.796766936779022217e-01,2.640112340450286865e-01,3.115469217300415039e-01,5.595827698707580566e-01,3.077998638153076172e+00
2.120229452848434448e-01,1.516640037298202515e-01,4.721791446208953857e-01,2.776004672050476074e-01,3.116090893745422363e-01,5.667375326156616211e-01,3.113392591476440430e+00
2.064244449138641357e-01,1.488569676876068115e-01,4.716583490371704102e-01,2.735505700111389160e-01,3.117220401763916016e-01,5.635829567909240723e-01,3.100827455520629883e+00
2.005986273288726807e-01,1.470721215009689331e-01,4.733222424983978271e-01,2.734411954879760742e-01,3.136635422706604004e-01,5.884456634521484375e-01,3.201223134994506836e+00
1.996191740036010742e-01,1.446631252765655518e-01,4.761867523193359375e-01,2.759375870227813721e-01,3.145942389965057373e-01,6.252291202545166016e-01,3.295169115066528320e+00
2.052737474441528320e-01,1.497010290622711182e-01,4.756991565227508545e-01,2.782946228981018066e-01,3.140209615230560303e-01,6.358664631843566895e-01,3.309711217880249023e+00
2.119035124778747559e-01,1.556396931409835815e-01,4.676133096218109131e-01,2.824611365795135498e-01,3.133215010166168213e-01,6.721985936164855957e-01,3.313082695007324219e+00
1.975540220737457275e-01,1.450069099664688110e-01,4.810819327831268311e-01,2.745224237442016602e-01,3.052050769329071045e-01,6.645683646202087402e-01,3.318208456039428711e+00
2.142735421657562256e-01,1.465046405792236328e-01,4.674444198608398438e-01,2.757302224636077881e-01,3.089112341403961182e-01,7.109215855598449707e-01,3.246514320373535156e+00
2.265706062316894531e-01,1.598030626773834229e-01,4.636776745319366455e-01,2.934563159942626953e-01,3.139835298061370850e-01,7.417803406715393066e-01,3.127720594406127930e+00
1.912595927715301514e-01,1.547613292932510376e-01,4.837512373924255371e-01,2.579207122325897217e-01,3.060048222541809082e-01,7.157047390937805176e-01,3.222743511199951172e+00
2.065165191888809204e-01,1.389523148536682129e-01,4.879525303840637207e-01,2.815066277980804443e-01,3.018906414508819580e-01,6.882067918777465820e-01,3.289215087890625000e+00
1.998533755540847778e-01,1.604217141866683960e-01,4.756135344505310059e-01,2.749406993389129639e-01,3.128514587879180908e-01,6.640182733535766602e-01,3.319835424423217773e+00
1.985049098730087280e-01,1.454432755708694458e-01,4.773263931274414062e-01,2.749088704586029053e-01,3.133261501789093018e-01,6.221652626991271973e-01,3.290226936340332031e+00
2.013854980468750000e-01,1.478442549705505371e-01,4.758817553520202637e-01,2.746199667453765869e-01,3.130201399326324463e-01,6.113418340682983398e-01,3.267959833145141602e+00
1.964998096227645874e-01,1.416216790676116943e-01,4.744244217872619629e-01,2.758670747280120850e-01,3.123560845851898193e-01,6.355751156806945801e-01,3.309052467346191406e+00
2.084120810031890869e-01,1.451617330312728882e-01,4.807006418704986572e-01,2.719179987907409668e-01,3.133904635906219482e-01,6.436659097671508789e-01,3.316090583801269531e+00
1.987790018320083618e-01,1.394415348768234253e-01,4.654000103473663330e-01,2.783756852149963379e-01,3.124433755874633789e-01,6.549703478813171387e-01,3.319396018981933594e+00
1.974646002054214478e-01,1.392385214567184448e-01,4.558804929256439209e-01,2.769089341163635254e-01,3.138158917427062988e-01,6.862525343894958496e-01,3.294805765151977539e+00
