controllable,controllable,controllable,controllable,controllable,environmental,output
4.045661389827728271e-01,8.818331360816955566e-01,8.041639328002929688e-01,5.734505653381347656e-01,1.740566194057464600e-01,1.101251319050788879e-01,-2.982987165451049805e+00
4.045526683330535889e-01,8.817201852798461914e-01,7.977868914604187012e-01,5.733403563499450684e-01,1.787542402744293213e-01,1.161507144570350647e-01,-2.946079015731811523e+00
4.046581387519836426e-01,8.824820518493652344e-01,8.489037752151489258e-01,5.740201473236083984e-01,1.363532543182373047e-01,2.940925210714340210e-02,-3.199480533599853516e+00
4.043918848037719727e-01,8.807103633880615234e-01,7.427160143852233887e-01,5.725069046020507812e-01,2.107300162315368652e-01,1.546651422977447510e-01,-2.658020019531250000e+00
4.046735465526580811e-01,8.825533390045166016e-01,8.549676537513732910e-01,5.741109251976013184e-01,1.298768222332000732e-01,3.813574090600013733e-03,-3.149911642074584961e+00
4.046539068222045898e-01,8.825830817222595215e-01,8.512935042381286621e-01,5.740400552749633789e-01,1.339621692895889282e-01,1.893686130642890930e-02,-3.186135292053222656e+00
4.045262932777404785e-01,8.815460205078125000e-01,7.873856425285339355e-01,5.732026100158691406e-01,1.853005141019821167e-01,1.251249611377716064e-01,-2.886636972427368164e+00
4.046344459056854248e-01,8.823503851890563965e-01,8.400024771690368652e-01,5.739046335220336914e-01,1.449585407972335815e-01,5.600450932979583740e-02,-3.189525842666625977e+00
4.046516120433807373e-01,8.824467062950134277e-01,8.464490175247192383e-01,5.739884376525878906e-01,1.387252211570739746e-01,3.835082426667213440e-02,-3.203161001205444336e+00
4.045401513576507568e-01,8.816876411437988281e-01,7.945312261581420898e-01,5.733212828636169434e-01,1.802993863821029663e-01,1.189117506146430969e-01,-2.928347587585449219e+00
4.044860899448394775e-01,8.813610672950744629e-01,7.763584852218627930e-01,5.730364918708801270e-01,1.922313719987869263e-01,1.335907131433486938e-01,-2.825976610183715820e+00
4.046366512775421143e-01,8.823345303535461426e-01,8.382177352905273438e-01,5.738928914070129395e-01,1.466656923294067383e-01,5.961890518665313721e-02,-3.183336734771728516e+00
4.046583175659179688e-01,8.824039697647094727e-01,8.447357416152954102e-01,5.739745497703552246e-01,1.403711736202239990e-01,4.274201020598411560e-02,-3.202358007431030273e+00
4.046001136302947998e-01,8.820636272430419922e-01,8.200105428695678711e-01,5.736543536186218262e-01,1.620236337184906006e-01,9.188511967658996582e-02,-3.078776836395263672e+00
4.046270847320556641e-01,8.822367191314697266e-01,8.310835361480712891e-01,5.737838745117187500e-01,1.533927172422409058e-01,7.454115152359008789e-02,-3.145806550979614258e+00
4.043665528297424316e-01,8.805835843086242676e-01,7.366687059402465820e-01,5.723868608474731445e-01,2.137890309095382690e-01,1.578657329082489014e-01,-2.630664348602294922e+00
4.046415686607360840e-01,8.823745250701904297e-01,8.425325751304626465e-01,5.739407539367675781e-01,1.425338983535766602e-01,4.941273853182792664e-02,-3.197852611541748047e+00
4.046168327331542969e-01,8.821563124656677246e-01,8.261663913726806641e-01,5.737391710281372070e-01,1.573991924524307251e-01,8.286894857883453369e-02,-3.116677284240722656e+00
4.046327471733093262e-01,8.822615146636962891e-01,8.331305980682373047e-01,5.738278031349182129e-01,1.508700549602508545e-01,7.032164186239242554e-02,-3.158351898193359375e+00
4.044588804244995117e-01,8.810898065567016602e-01,7.620211839675903320e-01,5.728238821029663086e-01,2.002274990081787109e-01,1.428437083959579468e-01,-2.755010843276977539e+00
4.046086072921752930e-01,8.821305632591247559e-01,8.243867754936218262e-01,5.737115740776062012e-01,1.585352420806884766e-01,8.589149266481399536e-02,-3.104697227478027344e+00
4.045860469341278076e-01,8.819561004638671875e-01,8.125147223472595215e-01,5.735529065132141113e-01,1.680389642715454102e-01,1.009526774287223816e-01,-3.034250259399414062e+00
4.046678841114044189e-01,8.825591206550598145e-01,8.539891242980957031e-01,5.740891695022583008e-01,1.309155821800231934e-01,8.027604781091213226e-03,-3.161991119384765625e+00
4.046555161476135254e-01,8.825187087059020996e-01,8.497785329818725586e-01,5.740437507629394531e-01,1.351110339164733887e-01,2.560126036405563354e-02,-3.195751667022705078e+00
4.044425785541534424e-01,8.809413909912109375e-01,7.525013089179992676e-01,5.727027058601379395e-01,2.053936868906021118e-01,1.488257348537445068e-01,-2.706760644912719727e+00
