evaluation,mape
2.000000000000000000e+00,7.505716172956453658e-01
1.000000000000000000e+01,5.135354058989429760e-01
2.000000000000000000e+01,2.234572880027012043e-01
3.000000000000000000e+01,1.786343573647546923e-01
4.000000000000000000e+01,1.610674591210931317e-01
5.000000000000000000e+01,8.234518913853511313e-02
6.000000000000000000e+01,5.864298314787096816e-02
7.000000000000000000e+01,3.340575915282261582e-02
8.000000000000000000e+01,3.049618966195477565e-02
9.000000000000000000e+01,2.949381715004661952e-02
1.000000000000000000e+02,2.993822848640374790e-02
