controllable,environmental,output
-7.739181342474181768e+00,-4.167552575859145847e+00,1.621610303326494318e+01
-7.431919097900390625e+00,-2.827140092849731445e+00,2.227276802062988281e+01
-5.604089260101318359e+00,-3.925915956497192383e+00,2.692776298522949219e+01
-4.089643955230712891e+00,-4.099707126617431641e+00,5.734841346740722656e+00
-6.374047756195068359e+00,-2.766809225082397461e+00,3.839469909667968750e+01
-6.243568420410156250e+00,-2.388725042343139648e+00,3.756764984130859375e+01
-6.144701480865478516e+00,-8.999927639961242676e-01,3.538906860351562500e+01
-6.226861000061035156e+00,3.559144586324691772e-02,3.630477523803710938e+01
-6.070120811462402344e+00,1.305489420890808105e+00,3.402954101562500000e+01
-6.741488933563232422e+00,1.697180032730102539e+00,3.645570373535156250e+01
-6.453236579895019531e+00,2.466776609420776367e+00,3.788391494750976562e+01
-6.459850788116455078e+00,1.607438802719116211e+00,3.772498703002929688e+01
-6.527764320373535156e+00,2.886598587036132812e+00,3.792296981811523438e+01
-6.399672508239746094e+00,3.034046888351440430e+00,3.777346420288085938e+01
-6.410753250122070312e+00,3.809912919998168945e+00,3.850172805786132812e+01
-6.316004753112792969e+00,4.221048355102539062e+00,3.824365615844726562e+01
-6.565147399902343750e+00,5.186621189117431641e+00,3.879835128784179688e+01
-6.448235034942626953e+00,5.354781150817871094e+00,3.918216705322265625e+01
-6.411644935607910156e+00,5.491235733032226562e+00,3.943443298339843750e+01
-6.441757678985595703e+00,4.080386161804199219e+00,3.882770538330078125e+01
-6.439237594604492188e+00,3.096489667892456055e+00,3.792591476440429688e+01
-6.397205829620361328e+00,2.038575172424316406e+00,3.763837432861328125e+01
-6.452057361602783203e+00,8.815802335739135742e-01,3.767389297485351562e+01
-6.420370578765869141e+00,-4.454172849655151367e-01,3.779788208007812500e+01
-6.524164199829101562e+00,5.301843285560607910e-01,3.771825408935546875e+01
-6.392524242401123047e+00,-4.780824184417724609e-01,3.769294738769531250e+01
-6.517757892608642578e+00,-1.147190690040588379e+00,3.800841903686523438e+01
-6.409658432006835938e+00,-2.214115381240844727e+00,3.877442169189453125e+01
-6.337934017181396484e+00,-2.497473239898681641e+00,3.832850646972656250e+01
-6.442739963531494141e+00,-1.918466567993164062e+00,3.870930480957031250e+01
-6.453872680664062500e+00,-7.934293150901794434e-01,3.789785003662109375e+01
-6.390872001647949219e+00,-5.626065135002136230e-01,3.769003295898437500e+01
-6.425228595733642578e+00,-1.814571261405944824e+00,3.855564880371093750e+01
-6.321877002716064453e+00,-1.513103961944580078e+00,3.766597747802734375e+01
-6.531680107116699219e+00,-5.973961353302001953e-01,3.790299987792968750e+01
-6.422842979431152344e+00,-9.874364733695983887e-01,3.784579086303710938e+01
-6.597758293151855469e+00,-1.739751249551773071e-01,3.765568161010742188e+01
-6.340465545654296875e+00,-1.420295596122741699e+00,3.769935607910156250e+01
-6.508673191070556641e+00,-2.216509342193603516e+00,3.893316650390625000e+01
-6.548573493957519531e+00,-3.119547843933105469e+00,3.875300598144531250e+01
-6.322545528411865234e+00,-3.646393775939941406e+00,3.939409255981445312e+01
-6.404881000518798828e+00,-3.319361925125122070e+00,3.897085571289062500e+01
-6.443234443664550781e+00,-2.508505344390869141e+00,3.879819107055664062e+01
-6.340640068054199219e+00,-3.970875024795532227e+00,4.028216934204101562e+01
-6.468360424041748047e+00,-3.255493164062500000e+00,3.900297164916992188e+01
-6.507128238677978516e+00,-1.814268827438354492e+00,3.866172790527343750e+01
-6.617762565612792969e+00,-9.425290822982788086e-01,3.762968826293945312e+01
-6.639740467071533203e+00,-1.224311590194702148e+00,3.761042404174804688e+01
-6.727242469787597656e+00,2.272944450378417969e-01,3.661891174316406250e+01
-6.527046203613281250e+00,1.254099488258361816e+00,3.769915771484375000e+01
-6.717211246490478516e+00,1.959766864776611328e+00,3.676245880126953125e+01
