controllable,environmental,output
-6.496200084686279297e+00,7.499564647674560547e+00,-4.167387008666992188e+01
-6.496117591857910156e+00,3.240184783935546875e+00,-3.807148742675781250e+01
-6.496178627014160156e+00,4.181777477264404297e+00,-3.893053054809570312e+01
-6.496195793151855469e+00,7.038877010345458984e+00,-4.000300979614257812e+01
-6.496197700500488281e+00,4.853025436401367188e+00,-3.869171524047851562e+01
-6.496181011199951172e+00,2.736698627471923828e+00,-3.793422317504882812e+01
-6.496085166931152344e+00,3.748935222625732422e+00,-3.859012222290039062e+01
-6.496199131011962891e+00,1.136196017265319824e+00,-3.771648025512695312e+01
-6.496200084686279297e+00,5.333940982818603516e+00,-3.918366622924804688e+01
-6.496198177337646484e+00,6.783638000488281250e+00,-4.003824996948242188e+01
-6.496110439300537109e+00,2.943154811859130859e+00,-3.795313644409179688e+01
-6.496178150177001953e+00,6.281092643737792969e+00,-4.088319396972656250e+01
-6.496185302734375000e+00,2.347808599472045898e+00,-3.791169357299804688e+01
-6.496197700500488281e+00,6.601839065551757812e+00,-4.034878158569335938e+01
-6.496195316314697266e+00,3.910695552825927734e+00,-3.876393508911132812e+01
-6.496198654174804688e+00,7.071489691734313965e-01,-3.772168350219726562e+01
-6.496085643768310547e+00,1.624701261520385742e+00,-3.775651168823242188e+01
-6.496084690093994141e+00,5.197731494903564453e+00,-3.891944885253906250e+01
-6.496195316314697266e+00,5.915813922882080078e+00,-4.070966339111328125e+01
-6.496193885803222656e+00,2.235706567764282227e+00,-3.789364242553710938e+01
-6.496192932128906250e+00,2.709124982357025146e-01,-3.777605056762695312e+01
-6.496198654174804688e+00,5.774635791778564453e+00,-4.039369201660156250e+01
-6.496196746826171875e+00,1.333460688591003418e+00,-3.772395706176757812e+01
-6.496192455291748047e+00,4.376597881317138672e+00,-3.891884613037109375e+01
-6.496198654174804688e+00,1.778553605079650879e+00,-3.778663635253906250e+01
