evaluation,mape
2.000000000000000000e+00,7.983861902991736814e-01
1.000000000000000000e+01,6.960457482759541126e-01
2.000000000000000000e+01,6.053308470364744398e-01
3.000000000000000000e+01,5.479459010588295653e-01
4.000000000000000000e+01,5.467005291168784975e-01
5.000000000000000000e+01,3.643993193494848848e-01
6.000000000000000000e+01,2.553139809985283115e-01
7.000000000000000000e+01,1.106205353733008545e-01
8.000000000000000000e+01,8.605856820076471236e-02
9.000000000000000000e+01,8.293161586576039412e-02
1.000000000000000000e+02,7.849936915941350957e-02
