controllable,environmental,output
-7.071835845415157529e+00,-4.414904914901280897e+00,3.376155175565074273e+01
-6.996977806091308594e+00,-3.222340822219848633e+00,3.362943267822265625e+01
-7.072239398956298828e+00,-2.465775489807128906e+00,3.192786407470703125e+01
-6.990984439849853516e+00,-3.872572660446166992e+00,3.541537857055664062e+01
-7.024800300598144531e+00,-5.032002449035644531e+00,3.408480834960937500e+01
-6.944238185882568359e+00,-6.312699794769287109e+00,3.935401916503906250e+01
-7.176460266113281250e+00,-7.073178291320800781e+00,3.238042068481445312e+01
-6.196366786956787109e+00,-6.470206260681152344e+00,4.122902297973632812e+01
-5.813840866088867188e+00,-5.499002933502197266e+00,3.290271759033203125e+01
-5.767320156097412109e+00,-6.143859386444091797e+00,3.409684753417968750e+01
-5.795979976654052734e+00,-4.717920780181884766e+00,3.095960807800292969e+01
-5.515189170837402344e+00,-3.413092374801635742e+00,2.334549903869628906e+01
-7.496149539947509766e+00,-3.852385997772216797e+00,2.234094810485839844e+01
-6.168684959411621094e+00,-3.465202808380126953e+00,3.728483581542968750e+01
-6.426546573638916016e+00,-4.394463062286376953e+00,4.063441085815429688e+01
-6.450111865997314453e+00,-4.345899105072021484e+00,4.076410293579101562e+01
-6.493765830993652344e+00,-4.863299846649169922e+00,3.996133804321289062e+01
-6.492656230926513672e+00,-3.702924251556396484e+00,4.019988250732421875e+01
-6.506170272827148438e+00,-3.386591196060180664e+00,3.930731582641601562e+01
-6.571263313293457031e+00,-4.288008689880371094e+00,4.075354766845703125e+01
-6.332401752471923828e+00,-3.047275781631469727e+00,3.817037200927734375e+01
-6.467731475830078125e+00,-1.993835926055908203e+00,3.881799316406250000e+01
-6.399460315704345703e+00,-1.171594858169555664e+00,3.782890701293945312e+01
-6.446001529693603516e+00,3.221784830093383789e-01,3.771129989624023438e+01
-6.184097766876220703e+00,-8.538953065872192383e-01,3.590822982788085938e+01
-6.616705417633056641e+00,5.950849652290344238e-01,3.741140747070312500e+01
-6.718177318572998047e+00,4.424245655536651611e-01,3.666912460327148438e+01
-6.822194576263427734e+00,-3.695867955684661865e-01,3.560544967651367188e+01
-6.596903800964355469e+00,-7.897021174430847168e-01,3.771471023559570312e+01
-6.493269443511962891e+00,-9.808735251426696777e-01,3.796054458618164062e+01
-6.405635833740234375e+00,-8.283267021179199219e-01,3.776185989379882812e+01
-6.290288925170898438e+00,5.026268959045410156e-02,3.692573547363281250e+01
-6.514153480529785156e+00,-1.168895244598388672e+00,3.802246093750000000e+01
-6.540951251983642578e+00,-1.014120578765869141e+00,3.792521667480468750e+01
-6.490556716918945312e+00,-1.990191221237182617e+00,3.883209609985351562e+01
-6.532077789306640625e+00,-1.810347437858581543e+00,3.863191223144531250e+01
-6.624081134796142578e+00,-7.286626100540161133e-01,3.757611083984375000e+01
-6.299789428710937500e+00,-6.106293201446533203e-01,3.710902404785156250e+01
-6.595397472381591797e+00,-1.408431529998779297e+00,3.799242019653320312e+01
-6.195657253265380859e+00,-8.590407371520996094e-01,3.605217742919921875e+01
-6.522611618041992188e+00,-1.342555761337280273e+00,3.813310623168945312e+01
-6.469824790954589844e+00,-2.789836406707763672e+00,3.869216537475585938e+01
-6.520377635955810547e+00,-3.713320970535278320e+00,4.021640777587890625e+01
-6.581830501556396484e+00,-4.159830093383789062e+00,4.078023147583007812e+01
-6.528307914733886719e+00,-4.260453701019287109e+00,4.087812805175781250e+01
-6.355922698974609375e+00,-3.211860895156860352e+00,3.851979064941406250e+01
-6.452260494232177734e+00,-3.061664581298828125e+00,3.871409225463867188e+01
-6.505919456481933594e+00,-3.747905254364013672e+00,4.032141494750976562e+01
-6.510273933410644531e+00,-4.996091365814208984e+00,3.995810317993164062e+01
-6.481131553649902344e+00,-5.113437652587890625e+00,4.011960220336914062e+01
-6.479049682617187500e+00,-5.088670730590820312e+00,4.007052612304687500e+01
-6.444617748260498047e+00,-3.608384370803833008e+00,3.987019729614257812e+01
-6.528203964233398438e+00,-4.481630802154541016e+00,4.056410598754882812e+01
-6.483249664306640625e+00,-5.406969547271728516e+00,4.119038772583007812e+01
-6.454930782318115234e+00,-6.308382034301757812e+00,4.363092422485351562e+01
-6.401524066925048828e+00,-6.833890914916992188e+00,4.161262130737304688e+01
-6.435730457305908203e+00,-5.394530773162841797e+00,4.105380249023437500e+01
-6.495096683502197266e+00,-6.363693714141845703e+00,4.350238418579101562e+01
-6.494061470031738281e+00,-7.089089870452880859e+00,4.188432693481445312e+01
-6.535966396331787109e+00,-6.436879634857177734e+00,4.320629119873046875e+01
-6.422167778015136719e+00,-7.769209384918212891e+00,4.660459899902343750e+01
-6.436580657958984375e+00,-8.057090759277343750e+00,4.785099029541015625e+01
-6.462415695190429688e+00,-9.338782310485839844e+00,4.609105682373046875e+01
-6.412209510803222656e+00,-1.000000000000000000e+01,5.268778991699218750e+01
-6.370890617370605469e+00,-9.768677711486816406e+00,5.095745849609375000e+01
-6.192101955413818359e+00,-9.271164894104003906e+00,4.350134277343750000e+01
-6.608149528503417969e+00,-9.666154861450195312e+00,4.987939071655273438e+01
-6.656061649322509766e+00,-9.058222770690917969e+00,4.353174591064453125e+01
-6.189413547515869141e+00,-9.211181640625000000e+00,4.295682144165039062e+01
-6.601522922515869141e+00,-8.159943580627441406e+00,4.763658905029296875e+01
-6.312058448791503906e+00,-7.731374740600585938e+00,4.572199249267578125e+01
-6.691777229309082031e+00,-8.656212806701660156e+00,4.424678802490234375e+01
-6.611527919769287109e+00,-9.880373001098632812e+00,5.196389770507812500e+01
-6.487546443939208984e+00,-1.000000000000000000e+01,5.283863830566406250e+01
-6.579884052276611328e+00,-9.217399597167968750e+00,4.481862640380859375e+01
-6.326227664947509766e+00,-9.171598434448242188e+00,4.402227020263671875e+01
-6.694132804870605469e+00,-1.000000000000000000e+01,5.198334884643554688e+01
-6.627506256103515625e+00,-1.000000000000000000e+01,5.246298599243164062e+01
-6.728028297424316406e+00,-1.000000000000000000e+01,5.166592025756835938e+01
-6.658364772796630859e+00,-1.000000000000000000e+01,5.226479339599609375e+01
-6.655913829803466797e+00,-9.687450408935546875e+00,4.984792327880859375e+01
-6.687561511993408203e+00,-9.923485755920410156e+00,5.172230148315429688e+01
-6.613709449768066406e+00,-1.000000000000000000e+01,5.253815460205078125e+01
-6.664639949798583984e+00,-1.000000000000000000e+01,5.221941757202148438e+01
-6.714665412902832031e+00,-9.262867927551269531e+00,4.431482696533203125e+01
-6.706130027770996094e+00,-8.994655609130859375e+00,4.299536895751953125e+01
-6.456644535064697266e+00,-9.990720748901367188e+00,5.277919387817382812e+01
-6.560191154479980469e+00,-1.000000000000000000e+01,5.275080490112304688e+01
-6.555769443511962891e+00,-1.000000000000000000e+01,5.276276016235351562e+01
-6.525817871093750000e+00,-1.000000000000000000e+01,5.282113265991210938e+01
-6.596235752105712891e+00,-9.511973381042480469e+00,4.798578643798828125e+01
-6.461133003234863281e+00,-8.398310661315917969e+00,4.683622741699218750e+01
-4.956501007080078125e+00,-7.875673770904541016e+00,1.867400741577148438e+01
-6.464552879333496094e+00,-9.079482078552246094e+00,4.414172363281250000e+01
-4.275583744049072266e+00,-7.817467689514160156e+00,1.177911376953125000e+01
1.119266510009765625e+00,-7.544648647308349609e+00,7.180426597595214844e+00
-1.608426809310913086e+00,-6.214376449584960938e+00,1.055920600891113281e+01
4.200895309448242188e+00,-5.069892883300781250e+00,4.163242816925048828e+00
-5.521274089813232422e+00,-5.128071308135986328e+00,2.427778244018554688e+01
5.713366508483886719e+00,-4.164012432098388672e+00,1.877943229675292969e+01
