controllable,environmental,output
-6.496196269989013672e+00,-3.243384599685668945e+00,-3.899729156494140625e+01
-6.496084690093994141e+00,9.034213066101074219e+00,-4.176119613647460938e+01
-6.496192455291748047e+00,-3.989578247070312500e+00,-4.082683944702148438e+01
-6.496197223663330078e+00,5.183404445648193359e+00,-3.889736938476562500e+01
-6.496140480041503906e+00,1.252249479293823242e+00,-3.771983718872070312e+01
-6.496140480041503906e+00,2.015505075454711914e+00,-3.784413528442382812e+01
-6.496198177337646484e+00,8.122102737426757812e+00,-4.394061279296875000e+01
-6.496198177337646484e+00,-3.792106389999389648e+00,-4.043811035156250000e+01
-6.496110439300537109e+00,6.877661705017089844e+00,-3.995320892333984375e+01
-6.496193885803222656e+00,-2.296683311462402344e+00,-3.893663406372070312e+01
-6.496198654174804688e+00,4.209171295166015625e+00,-3.893559265136718750e+01
-6.496193408966064453e+00,2.930567979812622070e+00,-3.795096969604492188e+01
-6.496193408966064453e+00,5.575040340423583984e+00,-3.983032608032226562e+01
-6.496196269989013672e+00,1.467531800270080566e+00,-3.773506546020507812e+01
-6.496147155761718750e+00,-1.272317051887512207e+00,-3.809351730346679688e+01
-6.496094226837158203e+00,-2.709784030914306641e+00,-3.874213409423828125e+01
-6.496200084686279297e+00,7.925650119781494141e+00,-4.367014312744140625e+01
-6.496096134185791016e+00,-5.753955617547035217e-02,-3.785449600219726562e+01
-6.496189594268798828e+00,-9.253925681114196777e-01,-3.795013046264648438e+01
-6.496181964874267578e+00,-4.369825720787048340e-01,-3.792154693603515625e+01
-6.496089935302734375e+00,7.417759895324707031e+00,-4.124775314331054688e+01
-6.496153831481933594e+00,5.749266743659973145e-01,-3.773089218139648438e+01
-6.496075153350830078e+00,3.298782348632812500e+00,-3.811310577392578125e+01
-6.496133327484130859e+00,3.948709011077880859e+00,-3.879861068725585938e+01
-6.496135711669921875e+00,6.052963733673095703e+00,-4.089580535888671875e+01
