evaluation,mape
2.000000000000000000e+00,7.985940032370527630e-01
1.000000000000000000e+01,6.679217478927244045e-01
2.000000000000000000e+01,6.036688030256189830e-01
3.000000000000000000e+01,5.472597336789903899e-01
4.000000000000000000e+01,5.456385740337538204e-01
5.000000000000000000e+01,2.994250728815479601e-01
6.000000000000000000e+01,2.511925584472309847e-01
7.000000000000000000e+01,1.052041043419807698e-01
8.000000000000000000e+01,7.941860793632789239e-02
9.000000000000000000e+01,7.629383869464571866e-02
1.000000000000000000e+02,7.163412995852533327e-02
