controllable,environmental,output
-7.071835845415157529e+00,-4.414904914901280897e+00,3.376155175565074273e+01
-7.071835041046142578e+00,-3.222340822219848633e+00,3.201540756225585938e+01
-7.071651935577392578e+00,-2.465775489807128906e+00,3.194119453430175781e+01
-6.746366500854492188e+00,-3.872572660446166992e+00,3.925792694091796875e+01
-6.046875000000000000e+00,-5.032002449035644531e+00,3.591250228881835938e+01
-6.954723358154296875e+00,-6.312699794769287109e+00,3.915715789794921875e+01
-6.802204608917236328e+00,-7.073178291320800781e+00,3.980467987060546875e+01
-6.836245536804199219e+00,-6.470206260681152344e+00,4.060055541992187500e+01
-6.971398353576660156e+00,-5.499002933502197266e+00,3.685092544555664062e+01
-6.534888267517089844e+00,-6.143859386444091797e+00,4.390181732177734375e+01
-5.743137359619140625e+00,-4.717920780181884766e+00,2.972792053222656250e+01
-5.788805007934570312e+00,-3.413092374801635742e+00,3.003751564025878906e+01
-7.500000000000000000e+00,-3.852385997772216797e+00,2.223247146606445312e+01
-6.309515953063964844e+00,-3.465202808380126953e+00,3.877294158935546875e+01
-6.493518829345703125e+00,-4.394463062286376953e+00,4.073927307128906250e+01
-6.509572982788085938e+00,-4.345899105072021484e+00,4.080628967285156250e+01
-6.526899337768554688e+00,-4.863299846649169922e+00,3.994091033935546875e+01
-6.484542846679687500e+00,-3.702924251556396484e+00,4.019720458984375000e+01
-6.469554901123046875e+00,-3.386591196060180664e+00,3.929405975341796875e+01
-6.528146266937255859e+00,-4.288008689880371094e+00,4.085443496704101562e+01
-6.449868202209472656e+00,-3.047275781631469727e+00,3.869810867309570312e+01
-6.395911216735839844e+00,-1.993835926055908203e+00,3.861858367919921875e+01
-6.384943962097167969e+00,-1.171594858169555664e+00,3.776416778564453125e+01
-6.419357299804687500e+00,3.221784830093383789e-01,3.763822937011718750e+01
-6.563086032867431641e+00,-8.538953065872192383e-01,3.784344100952148438e+01
-6.041914463043212891e+00,5.950849652290344238e-01,3.356128311157226562e+01
-6.747387886047363281e+00,4.424245655536651611e-01,3.636862182617187500e+01
-6.229624271392822266e+00,-3.695867955684661865e-01,3.641831207275390625e+01
-6.618128299713134766e+00,-7.897021174430847168e-01,3.761123657226562500e+01
-6.224984169006347656e+00,-9.808735251426696777e-01,3.641335296630859375e+01
-6.686820030212402344e+00,-8.283267021179199219e-01,3.714413452148437500e+01
-6.890014171600341797e+00,5.026268959045410156e-02,3.448052215576171875e+01
-6.361772060394287109e+00,-1.168895244598388672e+00,3.764115905761718750e+01
-6.069621562957763672e+00,-1.014120578765869141e+00,3.426793670654296875e+01
-6.533549308776855469e+00,-1.990191221237182617e+00,3.880234909057617188e+01
-6.548899173736572266e+00,-1.810347437858581543e+00,3.859934997558593750e+01
-6.762354373931884766e+00,-7.286626100540161133e-01,3.638853454589843750e+01
-5.767391681671142578e+00,-6.106293201446533203e-01,2.809488296508789062e+01
-6.549278259277343750e+00,-1.408431529998779297e+00,3.814611816406250000e+01
-6.849471569061279297e+00,-8.590407371520996094e-01,3.523668670654296875e+01
-6.425549030303955078e+00,-1.342555761337280273e+00,3.804029083251953125e+01
-6.498412132263183594e+00,-2.789836406707763672e+00,3.870716857910156250e+01
-6.522769451141357422e+00,-3.713320970535278320e+00,4.021376419067382812e+01
-6.530173778533935547e+00,-4.159830093383789062e+00,4.091536712646484375e+01
-6.531937599182128906e+00,-4.260453701019287109e+00,4.087275695800781250e+01
-6.509606838226318359e+00,-3.211860895156860352e+00,3.893841552734375000e+01
-6.466855525970458984e+00,-3.061664581298828125e+00,3.873727798461914062e+01
-6.574842453002929688e+00,-3.747905254364013672e+00,4.018828582763671875e+01
-6.529891014099121094e+00,-4.996091365814208984e+00,3.993765258789062500e+01
-6.529466629028320312e+00,-5.113437652587890625e+00,4.010038757324218750e+01
-6.530357360839843750e+00,-5.088670730590820312e+00,4.005146789550781250e+01
-6.353121757507324219e+00,-3.608384370803833008e+00,3.948846817016601562e+01
-6.599602222442626953e+00,-4.481630802154541016e+00,4.035258865356445312e+01
-6.517626285552978516e+00,-5.406969547271728516e+00,4.118402862548828125e+01
-6.500023841857910156e+00,-6.308382034301757812e+00,4.366756820678710938e+01
-6.488806724548339844e+00,-6.833890914916992188e+00,4.180495071411132812e+01
-6.517686367034912109e+00,-5.394530773162841797e+00,4.112295150756835938e+01
-6.501914024353027344e+00,-6.363693714141845703e+00,4.350169372558593750e+01
-6.487407207489013672e+00,-7.089089870452880859e+00,4.188274383544921875e+01
-6.504744529724121094e+00,-6.436879634857177734e+00,4.323921203613281250e+01
-6.490685939788818359e+00,-7.769209384918212891e+00,4.672252655029296875e+01
-6.402318477630615234e+00,-8.057090759277343750e+00,4.773770141601562500e+01
-6.462714195251464844e+00,-9.338782310485839844e+00,4.609149169921875000e+01
-6.486402511596679688e+00,-1.000000000000000000e+01,5.283817672729492188e+01
-6.271173954010009766e+00,-9.768677711486816406e+00,5.022142791748046875e+01
-6.219154834747314453e+00,-9.271164894104003906e+00,4.382159805297851562e+01
-6.661074638366699219e+00,-9.666154861450195312e+00,4.955871200561523438e+01
-6.657716274261474609e+00,-9.058222770690917969e+00,4.352011108398437500e+01
-6.216140270233154297e+00,-9.211181640625000000e+00,4.327599334716796875e+01
-6.172139167785644531e+00,-8.159943580627441406e+00,4.569284439086914062e+01
-6.125012874603271484e+00,-7.731374740600585938e+00,4.360628890991210938e+01
-6.667351722717285156e+00,-8.656212806701660156e+00,4.444248962402343750e+01
-6.648689270019531250e+00,-9.880373001098632812e+00,5.174601745605468750e+01
-6.632518768310546875e+00,-1.000000000000000000e+01,5.243361663818359375e+01
-6.696007728576660156e+00,-9.217399597167968750e+00,4.409853744506835938e+01
-6.488729953765869141e+00,-9.171598434448242188e+00,4.463893890380859375e+01
-6.410840034484863281e+00,-1.000000000000000000e+01,5.268279647827148438e+01
-6.414212703704833984e+00,-1.000000000000000000e+01,5.269495010375976562e+01
-6.417835712432861328e+00,-1.000000000000000000e+01,5.270745849609375000e+01
-6.421252727508544922e+00,-1.000000000000000000e+01,5.271874618530273438e+01
-6.382341384887695312e+00,-9.687450408935546875e+00,5.012686920166015625e+01
-6.441651344299316406e+00,-9.923485755920410156e+00,5.245887374877929688e+01
-6.454833030700683594e+00,-1.000000000000000000e+01,5.280313110351562500e+01
-6.455714225769042969e+00,-1.000000000000000000e+01,5.280469131469726562e+01
-6.426067829132080078e+00,-9.262867927551269531e+00,4.525172805786132812e+01
-6.495657444000244141e+00,-8.994655609130859375e+00,4.395902252197265625e+01
-6.347014427185058594e+00,-9.990720748901367188e+00,5.233580398559570312e+01
-6.351812362670898438e+00,-1.000000000000000000e+01,5.239284133911132812e+01
-6.353441715240478516e+00,-1.000000000000000000e+01,5.240279006958007812e+01
-6.355707645416259766e+00,-1.000000000000000000e+01,5.241644287109375000e+01
-6.258788108825683594e+00,-9.511973381042480469e+00,4.701182174682617188e+01
-6.284535408020019531e+00,-8.398310661315917969e+00,4.591075897216796875e+01
-6.062311172485351562e+00,-7.875673770904541016e+00,4.355513763427734375e+01
-6.587663173675537109e+00,-9.079482078552246094e+00,4.398054885864257812e+01
-5.983482837677001953e+00,-7.817467689514160156e+00,4.181997299194335938e+01
-6.328228950500488281e+00,-7.544648647308349609e+00,4.427545166015625000e+01
-5.255801200866699219e+00,-6.214376449584960938e+00,2.145163345336914062e+01
-3.832530021667480469e+00,-5.069892883300781250e+00,5.839898586273193359e+00
6.547153472900390625e+00,-5.128071308135986328e+00,1.753566932678222656e+01
4.951494216918945312e+00,-4.164012432098388672e+00,1.076895046234130859e+01
