controllable,environmental,output
-6.496150493621826172e+00,3.701866626739501953e+00,-3.853482055664062500e+01
-6.496185302734375000e+00,1.729176282882690430e+00,-3.777606964111328125e+01
-6.496146202087402344e+00,4.695768833160400391e+00,-3.874949645996093750e+01
-6.496196746826171875e+00,3.964947462081909180e+00,-3.881246948242187500e+01
-6.496190071105957031e+00,5.229553222656250000e+00,-3.897251510620117188e+01
-6.496110439300537109e+00,-1.304772496223449707e+00,-3.811771774291992188e+01
-6.496196269989013672e+00,-1.507531702518463135e-01,-3.787624359130859375e+01
-6.496181964874267578e+00,1.190196871757507324e+00,-3.771772384643554688e+01
-6.496192932128906250e+00,-3.948754072189331055e+00,-4.076664352416992188e+01
-6.496129035949707031e+00,-1.814264178276062012e+00,-3.866432571411132812e+01
-6.496199131011962891e+00,-3.150484561920166016e+00,-3.885097122192382812e+01
-6.496198654174804688e+00,3.219977855682373047e+00,-3.805862426757812500e+01
-6.496103763580322266e+00,1.373596429824829102e+00,-3.772666549682617188e+01
-6.496198654174804688e+00,-2.250849485397338867e+00,-3.893891906738281250e+01
-6.496196746826171875e+00,-4.928728342056274414e-01,-3.792576599121093750e+01
-6.496120452880859375e+00,-1.001522302627563477e+00,-3.796564865112304688e+01
-6.496149539947509766e+00,3.176076412200927734e-01,-3.776681137084960938e+01
-6.496197700500488281e+00,2.019293546676635742e+00,-3.784507751464843750e+01
-6.496152877807617188e+00,-2.001014232635498047e+00,-3.884102630615234375e+01
-6.496170520782470703e+00,-2.938232183456420898e+00,-3.869371795654296875e+01
-6.496199131011962891e+00,7.598562836647033691e-01,-3.771936035156250000e+01
-6.496192932128906250e+00,4.878474235534667969e+00,-3.868927383422851562e+01
-6.496146678924560547e+00,3.029082298278808594e+00,-3.797312927246093750e+01
-6.496199131011962891e+00,2.433492898941040039e+00,-3.792123413085937500e+01
-6.496122360229492188e+00,-3.682588100433349609e+00,-4.014273452758789062e+01
