evaluation,mape
2.000000000000000000e+00,7.757351711413815742e-01
1.000000000000000000e+01,5.846657709710347817e-01
2.000000000000000000e+01,2.664034108487594033e-01
3.000000000000000000e+01,1.057256773762607349e-01
4.000000000000000000e+01,4.898970929977432276e-02
5.000000000000000000e+01,4.523427040363382085e-02
6.000000000000000000e+01,3.497227920560031650e-02
7.000000000000000000e+01,2.716755112577584619e-02
8.000000000000000000e+01,1.636079744944975850e-02
9.000000000000000000e+01,1.308225652053121059e-02
1.000000000000000000e+02,1.051796725680090826e-02
