controllable,environmental,output
-4.330168209982765859e+00,-1.109450805391656303e+00,2.845237943115372481e+00
-3.526828765869140625e+00,-1.643485903739929199e+00,6.112540245056152344e+00
-3.596195936203002930e+00,-2.763697624206542969e+00,5.920232772827148438e+00
-3.404893636703491211e+00,-4.197428703308105469e+00,9.348324775695800781e+00
-3.291230678558349609e+00,-4.062623023986816406e+00,9.982624053955078125e+00
-3.181006193161010742e+00,-4.379217147827148438e+00,1.041174507141113281e+01
-3.149121284484863281e+00,-5.392986297607421875e+00,1.092183208465576172e+01
-3.049620866775512695e+00,-5.720012187957763672e+00,1.304785060882568359e+01
-2.848811149597167969e+00,-6.609627723693847656e+00,1.324941253662109375e+01
-2.941594362258911133e+00,-7.557465076446533203e+00,1.552075862884521484e+01
-3.027792453765869141e+00,-8.469873428344726562e+00,1.666289710998535156e+01
-3.246665716171264648e+00,-7.689394474029541016e+00,1.543624687194824219e+01
-2.035230159759521484e+00,-6.814530849456787109e+00,1.073871421813964844e+01
-4.290128231048583984e+00,-5.660175323486328125e+00,7.299253463745117188e+00
-2.581899642944335938e+00,-6.237336635589599609e+00,1.457562923431396484e+01
-6.569874882698059082e-01,-6.077075481414794922e+00,7.466943740844726562e+00
-2.161201715469360352e+00,-4.660225391387939453e+00,9.717454910278320312e+00
1.960919499397277832e+00,-4.170362949371337891e+00,4.309600353240966797e+00
7.500000000000000000e+00,-3.481025218963623047e+00,6.168003559112548828e+00
-7.500000000000000000e+00,-4.650880813598632812e+00,2.190515518188476562e+01
-7.500000000000000000e+00,-4.911994457244873047e+00,2.159293746948242188e+01
-7.500000000000000000e+00,-3.844981908798217773e+00,2.221592521667480469e+01
-7.500000000000000000e+00,-2.546002149581909180e+00,2.048921203613281250e+01
-7.500000000000000000e+00,-2.595183610916137695e+00,2.045973777770996094e+01
-7.231891155242919922e+00,-1.834973335266113281e+00,2.779035949707031250e+01
-6.866556644439697266e+00,-2.076139211654663086e+00,3.592176818847656250e+01
-6.530887603759765625e+00,-2.553846597671508789e+00,3.880661392211914062e+01
-6.466560363769531250e+00,-1.288428068161010742e+00,3.808620071411132812e+01
-6.508894443511962891e+00,-1.139560103416442871e+00,3.801139068603515625e+01
-6.537909984588623047e+00,-9.894556999206542969e-01,3.792473983764648438e+01
-6.526223659515380859e+00,-1.920124650001525879e+00,3.875314712524414062e+01
-6.534517288208007812e+00,-2.333572864532470703e+00,3.889845657348632812e+01
-6.557122230529785156e+00,-1.148850917816162109e+00,3.793827819824218750e+01
-6.561221122741699219e+00,-1.224402904510498047e+00,3.796900558471679688e+01
-6.577142238616943359e+00,-5.260207056999206543e-01,3.778442382812500000e+01
-6.576794147491455078e+00,1.546960603445768356e-02,3.769440841674804688e+01
-6.586660385131835938e+00,-3.889566063880920410e-01,3.773780441284179688e+01
-6.575314998626708984e+00,1.550732702016830444e-01,3.766509628295898438e+01
-6.585743904113769531e+00,-9.170301556587219238e-01,3.777351379394531250e+01
-6.580835342407226562e+00,-1.402514100074768066e+00,3.804540634155273438e+01
-6.581568717956542969e+00,-1.419718503952026367e+00,3.805917739868164062e+01
-6.583615303039550781e+00,-1.305849313735961914e+00,3.795147705078125000e+01
-6.579640865325927734e+00,-1.671596765518188477e+00,3.834669113159179688e+01
-6.571166515350341797e+00,-2.622912406921386719e+00,3.866847610473632812e+01
-6.580815315246582031e+00,-1.808370232582092285e+00,3.850127410888671875e+01
-6.618931293487548828e+00,-3.348904848098754883e-01,3.758034896850585938e+01
-6.425770282745361328e+00,2.459924817085266113e-01,3.767393112182617188e+01
-6.579747676849365234e+00,1.323459863662719727e+00,3.757075881958007812e+01
-6.539608001708984375e+00,1.994694471359252930e+00,3.779781341552734375e+01
-6.563903331756591797e+00,1.040841460227966309e+00,3.761521530151367188e+01
-6.466961383819580078e+00,1.252266049385070801e+00,3.770126342773437500e+01
-6.541579723358154297e+00,3.602637350559234619e-01,3.771412277221679688e+01
-6.545042991638183594e+00,-5.319234132766723633e-01,3.787585067749023438e+01
-6.541147232055664062e+00,1.625103950500488281e-01,3.775603866577148438e+01
-6.626870155334472656e+00,8.132293820381164551e-01,3.734399414062500000e+01
-6.384856224060058594e+00,1.365380525588989258e+00,3.745891571044921875e+01
-6.673328876495361328e+00,2.444536924362182617e+00,3.723571014404296875e+01
-6.682695865631103516e+00,1.787916064262390137e+00,3.702780151367187500e+01
-6.423618316650390625e+00,2.316404104232788086e+00,3.779326248168945312e+01
-6.427118778228759766e+00,2.722747325897216797e+00,3.783046722412109375e+01
-6.428270816802978516e+00,2.740617275238037109e+00,3.783446502685546875e+01
-6.452308177947998047e+00,1.675511121749877930e+00,3.772372055053710938e+01
-6.473164558410644531e+00,1.173381209373474121e+00,3.770574951171875000e+01
-6.466976165771484375e+00,1.351999521255493164e+00,3.770658874511718750e+01
-6.598019123077392578e+00,2.644138574600219727e+00,3.770497894287109375e+01
-6.534050464630126953e+00,3.695292234420776367e+00,3.849576950073242188e+01
-6.516520977020263672e+00,5.020806312561035156e+00,3.871777343750000000e+01
-6.521614074707031250e+00,4.815236091613769531e+00,3.868543243408203125e+01
-6.524865150451660156e+00,3.590569019317626953e+00,3.838537597656250000e+01
-6.527070999145507812e+00,3.091030359268188477e+00,3.797330093383789062e+01
-6.526833057403564453e+00,3.052950859069824219e+00,3.796002960205078125e+01
-6.522051334381103516e+00,3.434186220169067383e+00,3.821817779541015625e+01
-6.512484550476074219e+00,4.057425975799560547e+00,3.887322616577148438e+01
-6.508512496948242188e+00,4.163614273071289062e+00,3.892259979248046875e+01
-6.521544456481933594e+00,2.748197078704833984e+00,3.792062759399414062e+01
-6.518652915954589844e+00,2.924990415573120117e+00,3.793907165527343750e+01
-6.515951633453369141e+00,3.058821916580200195e+00,3.797394180297851562e+01
-6.526012897491455078e+00,2.624843597412109375e+00,3.791185379028320312e+01
-6.581785678863525391e+00,1.396708488464355469e+00,3.756830596923828125e+01
-6.482697486877441406e+00,2.539154291152954102e+00,3.792430877685546875e+01
-6.513414382934570312e+00,3.096060276031494141e+00,3.798960494995117188e+01
-6.580207824707031250e+00,2.308942317962646484e+00,3.775184631347656250e+01
-6.450450897216796875e+00,2.838855981826782227e+00,3.789445114135742188e+01
-6.568989276885986328e+00,3.083211183547973633e+00,3.787532424926757812e+01
-6.431870937347412109e+00,2.717075586318969727e+00,3.784397888183593750e+01
-6.586126804351806641e+00,2.980191469192504883e+00,3.778374862670898438e+01
-6.462374210357666016e+00,3.523141860961914062e+00,3.830170059204101562e+01
-6.434168815612792969e+00,3.058162450790405273e+00,3.789886856079101562e+01
-6.526000022888183594e+00,4.000196456909179688e+00,3.882104110717773438e+01
-6.602677345275878906e+00,2.723033905029296875e+00,3.768577957153320312e+01
-6.488941192626953125e+00,4.081522941589355469e+00,3.889141082763671875e+01
-6.483786582946777344e+00,3.758992910385131836e+00,3.859843063354492188e+01
-6.445003986358642578e+00,3.287777423858642578e+00,3.804796600341796875e+01
-6.418508529663085938e+00,2.959131956100463867e+00,3.782559204101562500e+01
-6.393706798553466797e+00,1.842238187789916992e+00,3.757466888427734375e+01
