controllable,environmental,output
-6.496114730834960938e+00,-1.784902215003967285e+00,-3.863146591186523438e+01
-6.496144294738769531e+00,-6.891849517822265625e+00,-4.171911239624023438e+01
-6.496091842651367188e+00,-3.990728139877319336e+00,-4.082835769653320312e+01
-6.496199131011962891e+00,-9.003041267395019531e+00,-4.396921157836914062e+01
-6.496200084686279297e+00,-9.607648849487304688e+00,-4.943086242675781250e+01
-6.496198177337646484e+00,-7.688642978668212891e+00,-4.611039733886718750e+01
-6.496198654174804688e+00,-3.270297050476074219e+00,-3.904838562011718750e+01
-6.496196746826171875e+00,-1.972289800643920898e+00,-3.881853485107421875e+01
-6.496084213256835938e+00,-4.873595237731933594e+00,-3.995536041259765625e+01
-6.496198654174804688e+00,-1.192700982093811035e+00,-3.804246520996093750e+01
-6.496195793151855469e+00,-5.328981876373291016e+00,-4.082988357543945312e+01
-6.496153831481933594e+00,-4.442906856536865234e+00,-4.065779876708984375e+01
-6.496199607849121094e+00,-6.636126518249511719e+00,-4.242613601684570312e+01
-6.496184349060058594e+00,-3.419983863830566406e+00,-3.939493560791015625e+01
-6.496198177337646484e+00,-1.508247017860412598e+00,-3.831017303466796875e+01
-6.496166706085205078e+00,-8.423372268676757812e+00,-4.670186233520507812e+01
-6.496199607849121094e+00,-9.992812156677246094e+00,-5.281954574584960938e+01
-6.496198654174804688e+00,-7.831645965576171875e+00,-4.713196945190429688e+01
-6.496104240417480469e+00,-2.340956687927246094e+00,-3.892882537841796875e+01
-6.496198177337646484e+00,-4.689610004425048828e+00,-4.018252563476562500e+01
-6.496198177337646484e+00,-7.420589923858642578e+00,-4.381566619873046875e+01
-6.496192455291748047e+00,-2.822764158248901367e+00,-3.869759368896484375e+01
-6.496168613433837891e+00,-8.844221115112304688e+00,-4.412754058837890625e+01
-6.496121406555175781e+00,-5.796401500701904297e+00,-4.320380783081054688e+01
-6.496123790740966797e+00,-6.025950908660888672e+00,-4.388064193725585938e+01
