controllable,environmental,output
6.600685833798202395e+00,-9.463288889355485622e+00,2.446636904024257930e+01
6.600665092468261719e+00,-1.000000000000000000e+01,2.972149658203125000e+01
6.600557804107666016e+00,-1.000000000000000000e+01,2.972253417968750000e+01
6.600026130676269531e+00,-1.000000000000000000e+01,2.972771835327148438e+01
6.252577781677246094e+00,-1.000000000000000000e+01,3.200860595703125000e+01
5.939514636993408203e+00,-1.000000000000000000e+01,3.192991447448730469e+01
5.765780925750732422e+00,-9.578943252563476562e+00,2.727223968505859375e+01
5.787501335144042969e+00,-1.000000000000000000e+01,3.118622589111328125e+01
5.672856330871582031e+00,-1.000000000000000000e+01,3.036674118041992188e+01
5.861540794372558594e+00,-8.788007736206054688e+00,2.310358047485351562e+01
5.587482929229736328e+00,-9.876837730407714844e+00,2.902477264404296875e+01
5.657219886779785156e+00,-1.000000000000000000e+01,3.023987197875976562e+01
5.658633708953857422e+00,-9.370306015014648438e+00,2.387692642211914062e+01
5.963562488555908203e+00,-1.000000000000000000e+01,3.200779724121093750e+01
6.581511497497558594e+00,-8.717000961303710938e+00,2.177283096313476562e+01
5.212994575500488281e+00,-8.153946876525878906e+00,2.069409942626953125e+01
5.757222175598144531e+00,-9.606925964355468750e+00,2.757121276855468750e+01
5.922895908355712891e+00,-1.000000000000000000e+01,3.186948776245117188e+01
6.057782649993896484e+00,-9.489832878112792969e+00,2.728195190429687500e+01
5.676402568817138672e+00,-9.195181846618652344e+00,2.235815429687500000e+01
6.464281082153320312e+00,-9.418277740478515625e+00,2.508343887329101562e+01
6.672569751739501953e+00,-8.056521415710449219e+00,2.406926727294921875e+01
6.693959236145019531e+00,-7.118176937103271484e+00,1.788242721557617188e+01
6.443631172180175781e+00,-8.520944595336914062e+00,2.422934341430664062e+01
5.689293861389160156e+00,-7.360728263854980469e+00,2.099914550781250000e+01
5.991453647613525391e+00,-7.916367530822753906e+00,2.681118965148925781e+01
6.126544952392578125e+00,-9.089871406555175781e+00,2.358914756774902344e+01
6.186305522918701172e+00,-9.500343322753906250e+00,2.738029479980468750e+01
6.110116004943847656e+00,-1.000000000000000000e+01,3.222857666015625000e+01
6.191854953765869141e+00,-9.646376609802246094e+00,2.922863960266113281e+01
6.133675098419189453e+00,-1.000000000000000000e+01,3.222214508056640625e+01
6.153256416320800781e+00,-1.000000000000000000e+01,3.220779037475585938e+01
6.171880722045898438e+00,-1.000000000000000000e+01,3.218653488159179688e+01
6.187006473541259766e+00,-1.000000000000000000e+01,3.216381072998046875e+01
6.200598716735839844e+00,-1.000000000000000000e+01,3.213920593261718750e+01
6.252664089202880859e+00,-9.814823150634765625e+00,3.090215301513671875e+01
6.266508102416992188e+00,-9.748285293579101562e+00,3.020832633972167969e+01
6.214383602142333984e+00,-1.000000000000000000e+01,3.211019897460937500e+01
6.247258663177490234e+00,-9.316703796386718750e+00,2.506665802001953125e+01
6.197055816650390625e+00,-9.014788627624511719e+00,2.329288291931152344e+01
6.315323829650878906e+00,-9.649736404418945312e+00,2.888869285583496094e+01
6.143121242523193359e+00,-8.854637145996093750e+00,2.347185325622558594e+01
6.392258167266845703e+00,-9.334627151489257812e+00,2.460611915588378906e+01
