controllable,environmental,output
-6.496106147766113281e+00,3.049516916275024414e+00,-3.797938537597656250e+01
-6.496196746826171875e+00,1.795608043670654297e+00,-3.779045104980468750e+01
-6.496153831481933594e+00,6.195252418518066406e+00,-4.093533325195312500e+01
-6.496158123016357422e+00,4.664533138275146484e+00,-3.876683425903320312e+01
-6.496199131011962891e+00,6.610857009887695312e+00,-4.033093643188476562e+01
-6.496086120605468750e+00,5.982988357543945312e+00,-4.081793212890625000e+01
-6.496178627014160156e+00,8.689764976501464844e+00,-4.222139739990234375e+01
-6.496175765991210938e+00,3.752788305282592773e+00,-3.859460067749023438e+01
-6.496198654174804688e+00,7.348647117614746094e+00,-4.091730880737304688e+01
-6.496198654174804688e+00,2.611866235733032227e+00,-3.793089294433593750e+01
-6.496200084686279297e+00,8.402813911437988281e+00,-4.336771011352539062e+01
-6.496199607849121094e+00,5.596642017364501953e+00,-3.989352798461914062e+01
-6.496200084686279297e+00,7.727818965911865234e+00,-4.288685226440429688e+01
-6.496199607849121094e+00,1.427237987518310547e+00,-3.773108673095703125e+01
-6.496196269989013672e+00,2.083285570144653320e+00,-3.786071014404296875e+01
-6.496111392974853516e+00,9.045964241027832031e+00,-4.178242111206054688e+01
-6.496197700500488281e+00,4.321312904357910156e+00,-3.893294525146484375e+01
-6.496198177337646484e+00,5.217805385589599609e+00,-3.895228195190429688e+01
-6.496197223663330078e+00,9.331936836242675781e+00,-4.313056564331054688e+01
-6.496198654174804688e+00,4.107538223266601562e+00,-3.890530776977539062e+01
-6.496161937713623047e+00,7.167489051818847656e+00,-4.025342941284179688e+01
-6.496149063110351562e+00,2.241115093231201172e+00,-3.789465332031250000e+01
-6.496197223663330078e+00,3.424674272537231445e+00,-3.822335815429687500e+01
-6.496086120605468750e+00,5.005056858062744141e+00,-3.871786117553710938e+01
-6.496199131011962891e+00,7.966061592102050781e+00,-4.377240753173828125e+01
