evaluation,mape
2.000000000000000000e+00,7.074176448917753879e-01
1.000000000000000000e+01,3.346170997244138356e-01
2.000000000000000000e+01,2.937174171479673412e-01
3.000000000000000000e+01,2.324195822622152074e-01
4.000000000000000000e+01,1.695041019515144409e-01
5.000000000000000000e+01,1.191151515166419539e-01
6.000000000000000000e+01,9.215419916607321682e-02
7.000000000000000000e+01,6.719060141995480961e-02
8.000000000000000000e+01,3.544519670867027350e-02
9.000000000000000000e+01,1.392033171096564159e-02
1.000000000000000000e+02,5.398072397558652952e-03
