controllable,environmental,output
6.600685833798202395e+00,-9.463288889355485622e+00,2.446636904024257930e+01
6.600769519805908203e+00,-1.000000000000000000e+01,2.972047615051269531e+01
6.600760459899902344e+00,-1.000000000000000000e+01,2.972053909301757812e+01
6.600773811340332031e+00,-1.000000000000000000e+01,2.972042655944824219e+01
6.600785732269287109e+00,-1.000000000000000000e+01,2.972031021118164062e+01
6.600782394409179688e+00,-1.000000000000000000e+01,2.972032737731933594e+01
6.600260734558105469e+00,-9.578943252563476562e+00,2.595085525512695312e+01
6.601121902465820312e+00,-1.000000000000000000e+01,2.971702957153320312e+01
6.601045131683349609e+00,-1.000000000000000000e+01,2.971777534484863281e+01
6.601667404174804688e+00,-8.788007736206054688e+00,2.121431732177734375e+01
6.601096153259277344e+00,-9.876837730407714844e+00,2.910716629028320312e+01
6.601383686065673828e+00,-1.000000000000000000e+01,2.971448135375976562e+01
6.601926326751708984e+00,-9.370306015014648438e+00,2.333460998535156250e+01
6.600614070892333984e+00,-1.000000000000000000e+01,2.972197723388671875e+01
6.591622352600097656e+00,-8.717000961303710938e+00,2.167654800415039062e+01
6.611381053924560547e+00,-8.153946876525878906e+00,2.466516494750976562e+01
6.672254562377929688e+00,-9.606925964355468750e+00,2.556688308715820312e+01
6.593668460845947266e+00,-1.000000000000000000e+01,2.978929519653320312e+01
6.584549903869628906e+00,-9.489832878112792969e+00,2.495761108398437500e+01
6.610929012298583984e+00,-9.195181846618652344e+00,2.158373451232910156e+01
6.573775768280029297e+00,-9.418277740478515625e+00,2.416718292236328125e+01
6.621188640594482422e+00,-8.056521415710449219e+00,2.460545158386230469e+01
6.618048667907714844e+00,-7.118176937103271484e+00,1.868408775329589844e+01
6.627230167388916016e+00,-8.520944595336914062e+00,2.264416885375976562e+01
6.605275154113769531e+00,-7.360728263854980469e+00,2.017910766601562500e+01
6.602730751037597656e+00,-7.916367530822753906e+00,2.442875671386718750e+01
6.613410949707031250e+00,-9.089871406555175781e+00,2.095979499816894531e+01
6.579863548278808594e+00,-9.500343322753906250e+00,2.513611030578613281e+01
6.604431152343750000e+00,-1.000000000000000000e+01,2.968467330932617188e+01
6.615112781524658203e+00,-9.646376609802246094e+00,2.665222358703613281e+01
6.607644557952880859e+00,-1.000000000000000000e+01,2.965307807922363281e+01
6.611235618591308594e+00,-1.000000000000000000e+01,2.961759185791015625e+01
6.614477157592773438e+00,-1.000000000000000000e+01,2.958538055419921875e+01
6.617293357849121094e+00,-1.000000000000000000e+01,2.955727767944335938e+01
6.619674682617187500e+00,-1.000000000000000000e+01,2.953341674804687500e+01
6.625076293945312500e+00,-9.814823150634765625e+00,2.837279129028320312e+01
6.627010822296142578e+00,-9.748285293579101562e+00,2.770387458801269531e+01
6.622761726379394531e+00,-1.000000000000000000e+01,2.950236129760742188e+01
6.632802009582519531e+00,-9.316703796386718750e+00,2.244238281250000000e+01
6.626738548278808594e+00,-9.014788627624511719e+00,2.060899734497070312e+01
6.598066806793212891e+00,-9.649736404418945312e+00,2.686105728149414062e+01
6.587539196014404297e+00,-8.854637145996093750e+00,2.110364151000976562e+01
6.626993656158447266e+00,-9.334627151489257812e+00,2.269041061401367188e+01
6.585147380828857422e+00,-9.193897247314453125e+00,2.182460784912109375e+01
6.644741058349609375e+00,-8.369131088256835938e+00,2.347783279418945312e+01
6.640318393707275391e+00,-7.393436431884765625e+00,2.007932281494140625e+01
6.623167037963867188e+00,-6.505516529083251953e+00,1.962395858764648438e+01
6.622649669647216797e+00,-5.787091732025146484e+00,1.982637786865234375e+01
6.622856616973876953e+00,-5.052898883819580078e+00,1.668202590942382812e+01
6.622725009918212891e+00,-4.371078014373779297e+00,1.743750000000000000e+01
6.622952938079833984e+00,-3.154135942459106445e+00,1.551597690582275391e+01
6.645461082458496094e+00,-4.593994617462158203e+00,1.679372596740722656e+01
6.600937366485595703e+00,-5.728868961334228516e+00,1.977055740356445312e+01
6.642267704010009766e+00,-6.637460708618164062e+00,1.888338088989257812e+01
6.589256763458251953e+00,-7.184547901153564453e+00,1.923540306091308594e+01
6.661398887634277344e+00,-7.975615501403808594e+00,2.403958129882812500e+01
7.003473758697509766e+00,-8.346930503845214844e+00,1.922607231140136719e+01
6.509850025177001953e+00,-7.380486965179443359e+00,2.119312858581542969e+01
6.494142532348632812e+00,-8.563373565673828125e+00,2.354939651489257812e+01
6.514550209045410156e+00,-9.395598411560058594e+00,2.441834831237792969e+01
6.644620418548583984e+00,-9.866947174072265625e+00,2.859696197509765625e+01
6.694422721862792969e+00,-8.800837516784667969e+00,2.019009399414062500e+01
6.459787845611572266e+00,-7.836598396301269531e+00,2.524818420410156250e+01
6.449333190917968750e+00,-9.270122528076171875e+00,2.358670806884765625e+01
6.553357601165771484e+00,-1.000000000000000000e+01,3.016453170776367188e+01
6.422378063201904297e+00,-8.763332366943359375e+00,2.280513572692871094e+01
6.433618545532226562e+00,-8.728317260742187500e+00,2.291469764709472656e+01
6.489199638366699219e+00,-9.357512474060058594e+00,2.418569946289062500e+01
6.463838577270507812e+00,-8.854844093322753906e+00,2.215231704711914062e+01
6.563498973846435547e+00,-9.709810256958007812e+00,2.789597702026367188e+01
6.452199459075927734e+00,-8.369625091552734375e+00,2.517960739135742188e+01
6.507598400115966797e+00,-9.486660003662109375e+00,2.559781646728515625e+01
6.562666893005371094e+00,-1.000000000000000000e+01,3.008024597167968750e+01
6.547238826751708984e+00,-1.000000000000000000e+01,3.021912574768066406e+01
6.491050243377685547e+00,-9.676506996154785156e+00,2.812682342529296875e+01
6.355003356933593750e+00,-8.310957908630371094e+00,2.610230255126953125e+01
6.369451045989990234e+00,-9.359247207641601562e+00,2.500684738159179688e+01
6.417487621307373047e+00,-9.593004226684570312e+00,2.762312889099121094e+01
6.313459873199462891e+00,-9.141724586486816406e+00,2.339934349060058594e+01
6.487433433532714844e+00,-1.000000000000000000e+01,3.071826362609863281e+01
6.303358078002929688e+00,-9.095970153808593750e+00,2.321468925476074219e+01
6.481623649597167969e+00,-1.000000000000000000e+01,3.076332092285156250e+01
6.454353809356689453e+00,-1.000000000000000000e+01,3.096635055541992188e+01
6.382987499237060547e+00,-9.802880287170410156e+00,3.021529769897460938e+01
6.359690189361572266e+00,-1.000000000000000000e+01,3.155903053283691406e+01
6.281132221221923828e+00,-1.000000000000000000e+01,3.191234970092773438e+01
6.012571811676025391e+00,-9.534712791442871094e+00,2.778767013549804688e+01
5.709171772003173828e+00,-8.864902496337890625e+00,2.187508964538574219e+01
5.995065212249755859e+00,-7.464948177337646484e+00,2.343904495239257812e+01
5.911044597625732422e+00,-7.526901721954345703e+00,2.370632934570312500e+01
5.864166259765625000e+00,-7.697030067443847656e+00,2.495143699645996094e+01
5.806632041931152344e+00,-8.002425193786621094e+00,2.630789184570312500e+01
5.637572765350341797e+00,-7.122634410858154297e+00,1.922546195983886719e+01
5.792010307312011719e+00,-8.208224296569824219e+00,2.614110755920410156e+01
5.934747219085693359e+00,-9.627344131469726562e+00,2.875091171264648438e+01
6.075068473815917969e+00,-1.000000000000000000e+01,3.221636199951171875e+01
6.015890121459960938e+00,-1.000000000000000000e+01,3.213738632202148438e+01
5.452842712402343750e+00,-8.934445381164550781e+00,1.942160987854003906e+01
5.889031410217285156e+00,-9.295847892761230469e+00,2.456100845336914062e+01
5.923219203948974609e+00,-9.379839897155761719e+00,2.560542869567871094e+01
