controllable,environmental,output
-6.496089935302734375e+00,2.499516963958740234e+00,-3.792617797851562500e+01
-6.496194839477539062e+00,-6.227799892425537109e+00,-4.384488677978515625e+01
-6.496171474456787109e+00,-5.372146606445312500e+00,-4.102584838867187500e+01
-6.496186733245849609e+00,-3.110900878906250000e+00,-3.880321884155273438e+01
-6.496194839477539062e+00,-1.016113877296447754e+00,-3.796947479248046875e+01
-6.496197700500488281e+00,-1.725009441375732422e+00,-3.856213760375976562e+01
-6.496125221252441406e+00,4.591176033020019531e+00,-3.881045150756835938e+01
-6.496085166931152344e+00,1.484859824180603027e+00,-3.773695755004882812e+01
-6.496198177337646484e+00,-7.312503337860107422e+00,-4.299355316162109375e+01
-6.496198177337646484e+00,8.902844041585922241e-02,-3.781799316406250000e+01
-6.496175765991210938e+00,2.124198436737060547e+00,-3.787027740478515625e+01
-6.496195316314697266e+00,-4.196915626525878906e+00,-4.093484497070312500e+01
-6.496194362640380859e+00,-7.571662664413452148e-01,-3.793498611450195312e+01
-6.496147155761718750e+00,-2.659718513488769531e+00,-3.876959991455078125e+01
-6.496189117431640625e+00,-2.054407835006713867e+00,-3.887719726562500000e+01
-6.496163845062255859e+00,4.072736263275146484e+00,-3.888781356811523438e+01
-6.496139049530029297e+00,3.769827604293823242e+00,-3.861426544189453125e+01
-6.496140003204345703e+00,-6.440061569213867188e+00,-4.322856140136718750e+01
-6.496147632598876953e+00,-8.187197685241699219e+00,-4.782271194458007812e+01
-6.496164798736572266e+00,-7.555363655090332031e+00,-4.497306060791015625e+01
-6.496085643768310547e+00,9.186712503433227539e-01,-3.771568679809570312e+01
-6.496138572692871094e+00,-3.996749639511108398e+00,-4.083616638183593750e+01
-6.496184825897216797e+00,3.376796007156372070e+00,-3.817824172973632812e+01
-6.496180534362792969e+00,5.296518802642822266e-01,-3.773536682128906250e+01
-6.496194362640380859e+00,-5.019522190093994141e+00,-3.998206329345703125e+01
