evaluation,mape
2.000000000000000000e+00,6.782343343193961704e-01
1.000000000000000000e+01,1.648443725639893997e-01
2.000000000000000000e+01,4.231776357429076207e-02
3.000000000000000000e+01,3.356020660012191265e-02
4.000000000000000000e+01,2.901907021099337999e-02
5.000000000000000000e+01,2.042957896491623057e-02
6.000000000000000000e+01,1.712152797258632494e-02
7.000000000000000000e+01,1.411056030137891083e-02
8.000000000000000000e+01,1.170748778651258329e-02
9.000000000000000000e+01,8.205214639861801301e-03
1.000000000000000000e+02,5.765150221582051454e-03
