evaluation,mape
2.000000000000000000e+00,9.107510544967779564e-01
1.000000000000000000e+01,1.594175330516043876e-01
2.000000000000000000e+01,1.150374277519206900e-01
3.000000000000000000e+01,3.296786728628731816e-02
4.000000000000000000e+01,2.719802683353084519e-02
5.000000000000000000e+01,1.524386242700791899e-02
6.000000000000000000e+01,1.321037713971992718e-02
7.000000000000000000e+01,8.338706596226349091e-03
8.000000000000000000e+01,3.031901497842712841e-03
9.000000000000000000e+01,3.044250909652147525e-03
1.000000000000000000e+02,3.473095405233197520e-03
