controllable,controllable,controllable,controllable,controllable,environmental,output
8.565417796758726388e-01,4.132304318157956624e-01,9.678006581975303613e-01,3.563997507659356634e-01,5.282658958583672515e-01,7.106313734593004972e-01,2.159695026082461555e-01
1.766233742237091064e-01,9.215080738067626953e-01,1.855987310409545898e-02,9.913502931594848633e-01,7.141035199165344238e-01,7.181012034416198730e-01,4.883362562395632267e-04
7.923684120178222656e-01,4.486856758594512939e-01,7.984065413475036621e-01,4.076991677284240723e-01,6.787115335464477539e-01,7.096194028854370117e-01,7.457118481397628784e-02
3.024361133575439453e-01,2.645912468433380127e-01,7.868859767913818359e-01,3.293072283267974854e-01,5.306651592254638672e-01,6.937097311019897461e-01,1.058301568031311035e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.881158351898193359e-01,1.304930448532104492e-02,7.310136556625366211e-01,5.494104325771331787e-02
2.305072695016860962e-01,1.774127334356307983e-01,9.101544618606567383e-01,2.618091702461242676e-01,5.834649801254272461e-01,7.446715235710144043e-01,5.468789339065551758e-01
3.904355466365814209e-01,5.992195606231689453e-01,8.912331610918045044e-02,4.727211594581604004e-01,1.335155516862869263e-01,7.763714194297790527e-01,4.737640917301177979e-01
3.482865989208221436e-01,1.090698987245559692e-01,1.000000000000000000e+00,3.149195015430450439e-01,7.101339697837829590e-01,7.982094883918762207e-01,9.357423335313796997e-02
9.601980447769165039e-01,6.399228572845458984e-01,1.835410147905349731e-01,9.822494350373744965e-03,4.264160990715026855e-01,8.339333534240722656e-01,7.147756218910217285e-02
4.950339794158935547e-01,7.256122827529907227e-01,5.443143844604492188e-01,9.099739193916320801e-01,4.909978210926055908e-01,8.833919167518615723e-01,3.483235090970993042e-02
2.092111483216285706e-02,3.929547071456909180e-01,7.882664203643798828e-01,6.726797223091125488e-01,4.598507285118103027e-01,8.657516241073608398e-01,5.141003727912902832e-01
2.784382179379463196e-02,2.765905261039733887e-01,6.568664312362670898e-01,2.205611914396286011e-01,2.565412819385528564e-01,8.399484157562255859e-01,2.084336519241333008e+00
0.000000000000000000e+00,9.087020158767700195e-01,1.000000000000000000e+00,2.117160558700561523e-01,2.857121825218200684e-01,7.951256036758422852e-01,1.614778488874435425e-01
0.000000000000000000e+00,2.710851430892944336e-01,3.838943839073181152e-01,1.451112478971481323e-01,1.531925052404403687e-01,7.771646380424499512e-01,1.373270869255065918e+00
0.000000000000000000e+00,2.610052824020385742e-01,9.148545265197753906e-01,1.904896646738052368e-01,3.042165935039520264e-01,7.450979351997375488e-01,1.509122252464294434e+00
4.085772037506103516e-01,3.170877397060394287e-01,8.504989147186279297e-01,8.996304869651794434e-01,1.936479359865188599e-01,7.354207038879394531e-01,4.046541452407836914e-01
2.746230959892272949e-01,3.387303650379180908e-01,3.123442642390727997e-02,2.013202309608459473e-01,6.800736188888549805e-01,7.432625293731689453e-01,1.816664040088653564e-01
8.208060264587402344e-01,2.788499295711517334e-01,3.638626337051391602e-01,3.581914305686950684e-01,2.477212101221084595e-01,6.937491893768310547e-01,9.072670340538024902e-01
9.374162554740905762e-02,2.140213102102279663e-01,8.525324463844299316e-01,1.597917973995208740e-01,3.087584078311920166e-01,6.440535783767700195e-01,1.756876230239868164e+00
0.000000000000000000e+00,1.089578494429588318e-01,3.184740841388702393e-01,3.214294314384460449e-01,2.582187354564666748e-01,5.999456048011779785e-01,2.459202289581298828e+00
0.000000000000000000e+00,6.216306705027818680e-03,0.000000000000000000e+00,3.335782885551452637e-01,2.492827922105789185e-01,6.201948523521423340e-01,1.762881159782409668e+00
2.006496768158401411e-18,1.750665307044982910e-01,7.358300685882568359e-01,3.938513398170471191e-01,2.404036819934844971e-01,6.616351008415222168e-01,1.902859449386596680e+00
2.009425163269042969e-01,6.554762274026870728e-02,4.190495312213897705e-01,5.431788787245750427e-02,1.462631672620773315e-01,6.862055659294128418e-01,1.375307440757751465e+00
3.044388890266418457e-01,4.132672771811485291e-02,4.609340801835060120e-02,2.163131684064865112e-01,3.276919424533843994e-01,7.293416261672973633e-01,2.214386701583862305e+00
1.048608049750328064e-01,9.951405227184295654e-02,3.794929385185241699e-01,2.576415538787841797e-01,3.145586252212524414e-01,6.972023844718933105e-01,3.045863628387451172e+00
9.924013912677764893e-02,1.153368037194013596e-02,4.068846702575683594e-01,2.415930926799774170e-01,3.480428755283355713e-01,7.205306291580200195e-01,2.762250661849975586e+00
4.999579787254333496e-01,1.287453621625900269e-01,9.113607406616210938e-01,4.085505902767181396e-01,3.394066095352172852e-01,7.010750174522399902e-01,1.294310927391052246e+00
5.397818088531494141e-01,6.114032492041587830e-02,7.080733031034469604e-02,5.788602232933044434e-01,5.467657446861267090e-01,7.095514535903930664e-01,3.032576739788055420e-01
1.449179556220769882e-02,5.320734977722167969e-01,8.152816444635391235e-02,5.071876645088195801e-01,3.924195766448974609e-01,7.088003158569335938e-01,7.290883660316467285e-01
2.955267764627933502e-02,2.818709798157215118e-02,4.980732798576354980e-01,2.187644541263580322e-01,3.987492620944976807e-01,7.212453484535217285e-01,2.387742996215820312e+00
4.131063520908355713e-01,1.497975438833236694e-01,4.536615312099456787e-01,5.421396493911743164e-01,3.011631369590759277e-01,7.020751237869262695e-01,1.481685400009155273e+00
5.616495013236999512e-01,2.808367013931274414e-01,5.074819177389144897e-02,1.876253634691238403e-02,2.781730294227600098e-01,7.290678620338439941e-01,8.098453283309936523e-01
1.224720105528831482e-01,2.659045755863189697e-01,1.315954886376857758e-02,2.893038690090179443e-01,3.422641456127166748e-01,7.258490920066833496e-01,2.142498970031738281e+00
1.664744615554809570e-01,1.359492093324661255e-01,3.980995714664459229e-01,2.688826024532318115e-01,3.252511024475097656e-01,7.729249596595764160e-01,2.915314674377441406e+00
3.120902180671691895e-01,1.066862866282463074e-01,1.556672006845474243e-01,2.161453813314437866e-01,4.196709990501403809e-01,7.978206872940063477e-01,1.828745961189270020e+00
1.684995442628860474e-01,3.606530427932739258e-01,2.160793542861938477e-01,9.120986610651016235e-02,3.393572866916656494e-01,7.972814440727233887e-01,1.465512990951538086e+00
4.083548206835985184e-03,8.442289382219314575e-02,8.695057034492492676e-01,4.132856726646423340e-01,3.712427914142608643e-01,8.140212297439575195e-01,1.241937279701232910e+00
7.473968863487243652e-01,2.060117274522781372e-01,4.681992530822753906e-01,9.583711624145507812e-01,9.739248752593994141e-01,7.752669453620910645e-01,7.186708971858024597e-04
1.772308200597763062e-01,4.545168951153755188e-02,1.886157542467117310e-01,5.839989781379699707e-01,4.464926570653915405e-02,7.338612675666809082e-01,3.576393425464630127e-01
