controllable,controllable,controllable,controllable,controllable,environmental,output
1.935719102621078491e-01,1.497528403997421265e-01,4.894786179065704346e-01,2.702529132366180420e-01,3.150184154510498047e-01,4.187956154346466064e-01,-2.129809379577636719e+00
4.028943181037902832e-01,8.716895580291748047e-01,5.838600993156433105e-01,5.648455619812011719e-01,2.814775705337524414e-01,2.580850422382354736e-01,-1.668425798416137695e+00
4.023945927619934082e-01,8.685082197189331055e-01,5.662250518798828125e-01,5.622168779373168945e-01,2.878479659557342529e-01,2.742750346660614014e-01,-1.516638398170471191e+00
4.021010100841522217e-01,8.667609095573425293e-01,5.589182376861572266e-01,5.607381463050842285e-01,2.905395627021789551e-01,2.816662490367889404e-01,-1.449568867683410645e+00
1.930806934833526611e-01,1.499778777360916138e-01,4.904361367225646973e-01,2.699041664600372314e-01,3.152870833873748779e-01,4.032168388366699219e-01,-2.005778312683105469e+00
1.927677392959594727e-01,1.501755565404891968e-01,4.910579919815063477e-01,2.696728110313415527e-01,3.154355883598327637e-01,3.938086628913879395e-01,-1.930858492851257324e+00
1.909148097038269043e-01,1.526824384927749634e-01,4.959738254547119141e-01,2.679895758628845215e-01,3.167358934879302979e-01,3.176766932010650635e-01,-1.348973870277404785e+00
1.915635913610458374e-01,1.513368934392929077e-01,4.939055442810058594e-01,2.686724662780761719e-01,3.161733746528625488e-01,3.499240279197692871e-01,-1.587574362754821777e+00
1.937788724899291992e-01,1.496410667896270752e-01,4.889323413372039795e-01,2.704570889472961426e-01,3.149007856845855713e-01,4.257582128047943115e-01,-2.185017108917236328e+00
4.025673568248748779e-01,8.694564700126647949e-01,5.711774826049804688e-01,5.630041956901550293e-01,2.862081825733184814e-01,2.696004807949066162e-01,-1.559823751449584961e+00
1.921486407518386841e-01,1.506696194410324097e-01,4.924051165580749512e-01,2.691576182842254639e-01,3.158055543899536133e-01,3.723862469196319580e-01,-1.761460185050964355e+00
1.942770034074783325e-01,1.494523435831069946e-01,4.879114031791687012e-01,2.707929015159606934e-01,3.146748542785644531e-01,4.410881102085113525e-01,-2.305505275726318359e+00
1.939996629953384399e-01,1.495631635189056396e-01,4.885134100914001465e-01,2.705616950988769531e-01,3.148296475410461426e-01,4.320204257965087891e-01,-2.234447002410888672e+00
4.017731249332427979e-01,8.648374676704406738e-01,5.522269010543823242e-01,5.591631531715393066e-01,2.926872372627258301e-01,2.886714935302734375e-01,-1.387504935264587402e+00
4.010927677154541016e-01,8.602321743965148926e-01,5.398867726325988770e-01,5.553838014602661133e-01,2.965785861015319824e-01,3.025737106800079346e-01,-1.269201040267944336e+00
1.910641640424728394e-01,1.522930562496185303e-01,4.954566061496734619e-01,2.681588232517242432e-01,3.165856897830963135e-01,3.260553777217864990e-01,-1.409454584121704102e+00
1.919571459293365479e-01,1.508521288633346558e-01,4.929130077362060547e-01,2.690101265907287598e-01,3.159075081348419189e-01,3.654123842716217041e-01,-1.706956744194030762e+00
1.918023526668548584e-01,1.510318517684936523e-01,4.933004379272460938e-01,2.688696980476379395e-01,3.160127997398376465e-01,3.592222332954406738e-01,-1.658943176269531250e+00
1.946952641010284424e-01,1.493524610996246338e-01,4.871750175952911377e-01,2.710636556148529053e-01,3.144949376583099365e-01,4.530222117900848389e-01,-2.397779464721679688e+00
1.933956444263458252e-01,1.498191207647323608e-01,4.897339940071105957e-01,2.701498866081237793e-01,3.151094317436218262e-01,4.139648973941802979e-01,-2.091397523880004883e+00
1.923789829015731812e-01,1.504869312047958374e-01,4.919401109218597412e-01,2.693504691123962402e-01,3.156515955924987793e-01,3.803610801696777344e-01,-1.824232459068298340e+00
1.915170550346374512e-01,1.514537632465362549e-01,4.941924512386322021e-01,2.685778737068176270e-01,3.162188529968261719e-01,3.463105857372283936e-01,-1.560111165046691895e+00
1.912911683320999146e-01,1.517713963985443115e-01,4.947317540645599365e-01,2.683905065059661865e-01,3.163983225822448730e-01,3.377580940723419189e-01,-1.495783448219299316e+00
1.950622200965881348e-01,1.492425054311752319e-01,4.865008592605590820e-01,2.712712883949279785e-01,3.143455684185028076e-01,4.628816246986389160e-01,-2.472634077072143555e+00
1.908193379640579224e-01,1.530069261789321899e-01,4.963543117046356201e-01,2.678637206554412842e-01,3.168411552906036377e-01,3.115003705024719238e-01,-1.305155992507934570e+00
