evaluation,mape
2.000000000000000000e+00,9.877926003607236938e-01
1.000000000000000000e+01,9.942368079382772894e-01
2.000000000000000000e+01,5.095691226683844999e-01
3.000000000000000000e+01,4.716182337913767397e-01
4.000000000000000000e+01,2.566494961384945817e-01
5.000000000000000000e+01,4.674402136702610067e-02
6.000000000000000000e+01,4.238598232536612553e-02
7.000000000000000000e+01,3.961340213096064405e-02
8.000000000000000000e+01,4.277164553398026675e-02
9.000000000000000000e+01,4.145185505041304452e-02
1.000000000000000000e+02,2.387102770112692340e-02
