controllable,controllable,controllable,controllable,controllable,environmental,output
2.701687802069810962e-01,6.076938178623428888e-01,2.162802412202167179e-01,9.307693658912807866e-02,3.951358316974138418e-01,1.066177090665156868e-01,1.895320582260894005e-01
1.000000000000000000e+00,8.684644028321612352e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.044327169656753540e-01,2.267585614390554838e-06
2.247641086578369141e-01,5.953710079193115234e-01,1.852454245090484619e-01,9.630283713340759277e-02,3.833911120891571045e-01,7.945503294467926025e-02,1.526422798633575439e-01
2.904099784791469574e-02,6.767877936363220215e-01,9.203918576240539551e-01,1.160137727856636047e-02,9.311348795890808105e-01,1.131737455725669861e-01,1.465790160000324249e-02
3.686684668064117432e-01,4.517675638198852539e-01,4.991213381290435791e-01,9.403257369995117188e-01,3.877764195203781128e-02,9.060727059841156006e-02,1.786903142929077148e-01
5.470407605171203613e-01,8.338011801242828369e-02,1.128123039428885477e-09,4.850353002548217773e-01,8.828213810920715332e-02,5.952808633446693420e-02,4.125816747546195984e-02
4.617388248443603516e-01,3.893292546272277832e-01,5.537974238395690918e-01,9.535643458366394043e-01,9.278767704963684082e-01,5.934448540210723877e-02,9.605891257524490356e-02
5.181161165237426758e-01,5.809506773948669434e-01,2.348733693361282349e-01,4.850885570049285889e-01,9.813634753227233887e-01,1.654538512229919434e-02,1.034327387809753418e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.889029122889041901e-02,6.959638092666864395e-03
1.000000000000000000e+00,1.000000000000000000e+00,2.370784580707550049e-01,3.027522758316733564e-14,1.000000000000000000e+00,4.796284437179565430e-02,2.329150447621941566e-04
5.182518362998962402e-01,5.809556245803833008e-01,2.358662933111190796e-01,4.863372445106506348e-01,9.818871617317199707e-01,1.554906181991100311e-02,1.035430312156677246e+00
5.214956998825073242e-01,3.909082710742950439e-01,6.495429575443267822e-02,6.807716488838195801e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.865092158317565918e-01
6.149992942810058594e-01,1.000000000000000000e+00,5.600060820579528809e-01,3.021669760346412659e-02,1.000000000000000000e+00,0.000000000000000000e+00,6.379794329404830933e-02
2.506657838821411133e-01,9.402731060981750488e-02,3.588511347770690918e-01,5.320076942443847656e-01,1.564290523529052734e-01,0.000000000000000000e+00,5.174922570586204529e-02
7.700059413909912109e-01,3.886029124259948730e-01,6.047381553798913956e-03,3.772930502891540527e-01,9.994727373123168945e-01,3.495831042528152466e-02,2.832579426467418671e-02
4.141480624675750732e-01,4.952203035354614258e-01,2.375854998826980591e-01,5.970091223716735840e-01,9.891102313995361328e-01,2.779098600149154663e-02,8.669017553329467773e-01
3.650831878185272217e-01,6.626155972480773926e-01,3.609846234321594238e-01,6.727159023284912109e-01,4.561693370342254639e-01,1.333057507872581482e-02,1.862771391868591309e+00
6.684581041336059570e-01,9.132453203201293945e-01,7.122521996498107910e-01,7.214160561561584473e-01,6.219048500061035156e-01,4.322800040245056152e-02,7.626965641975402832e-01
5.592664480209350586e-01,7.366557121276855469e-01,7.500469088554382324e-01,6.011613011360168457e-01,4.165421426296234131e-01,1.355947181582450867e-02,1.756687283515930176e+00
2.207489609718322754e-01,7.180516719818115234e-01,7.474220395088195801e-01,7.637017965316772461e-01,9.961410164833068848e-01,6.315265595912933350e-02,9.295429587364196777e-01
9.478890299797058105e-01,6.628683209419250488e-01,3.306854283437132835e-03,5.651911497116088867e-01,2.788528101518750191e-03,9.441371262073516846e-02,1.476198062300682068e-02
1.000000000000000000e+00,7.459389567375183105e-01,7.973336075585424343e-13,1.000000000000000000e+00,1.494412124429522759e-12,5.202015116810798645e-02,1.050883205607533455e-03
9.767147160499867198e-12,8.650895953178405762e-01,1.000000000000000000e+00,4.884168505668640137e-01,1.078913325867902895e-12,8.049434423446655273e-02,1.802001297473907471e-01
0.000000000000000000e+00,6.909561157226562500e-01,1.000000000000000000e+00,6.551617980003356934e-01,1.000000000000000000e+00,3.260765597224235535e-02,1.275064647197723389e-01
3.870303928852081299e-01,7.868245840072631836e-01,7.798278331756591797e-01,5.588161349296569824e-01,7.621964812278747559e-01,4.386660456657409668e-02,2.826748609542846680e+00
3.707588016986846924e-01,8.761731386184692383e-01,6.156062681839102879e-08,5.666979551315307617e-01,1.325999647378921509e-01,7.730256766080856323e-02,2.959589242935180664e+00
4.362748563289642334e-01,9.240969419479370117e-01,9.725706577301025391e-01,5.094865560531616211e-01,2.928391396999359131e-01,9.765497595071792603e-02,2.828647375106811523e+00
