controllable,controllable,controllable,controllable,controllable,environmental,output
1.951325833797454834e-01,1.492257863283157349e-01,4.863834679126739502e-01,2.713303864002227783e-01,3.143043518066406250e-01,4.651178419589996338e-01,-2.489407300949096680e+00
2.036253213882446289e-01,1.518265008926391602e-01,4.772008657455444336e-01,2.764415740966796875e-01,3.107192218303680420e-01,7.263386249542236328e-01,-3.201515913009643555e+00
2.038383483886718750e-01,1.520865857601165771e-01,4.775072634220123291e-01,2.765116393566131592e-01,3.106541335582733154e-01,7.329244613647460938e-01,-3.177927494049072266e+00
1.978094577789306641e-01,1.490252912044525146e-01,4.816131591796875000e-01,2.731516361236572266e-01,3.131938576698303223e-01,5.443817377090454102e-01,-3.007526874542236328e+00
2.032334953546524048e-01,1.512922048568725586e-01,4.768006801605224609e-01,2.761854231357574463e-01,3.109644353389739990e-01,7.097456455230712891e-01,-3.252039670944213867e+00
1.960225552320480347e-01,1.491212248802185059e-01,4.847691357135772705e-01,2.719532251358032227e-01,3.139253258705139160e-01,4.908994734287261963e-01,-2.676039695739746094e+00
2.029411196708679199e-01,1.509584784507751465e-01,4.766069948673248291e-01,2.760184407234191895e-01,3.111287355422973633e-01,6.989924907684326172e-01,-3.277732133865356445e+00
1.974800527095794678e-01,1.489993929862976074e-01,4.822552502155303955e-01,2.728902399539947510e-01,3.133139014244079590e-01,5.323370099067687988e-01,-2.940930128097534180e+00
2.012660950422286987e-01,1.497791558504104614e-01,4.772238135337829590e-01,2.750713229179382324e-01,3.118232190608978271e-01,6.433547735214233398e-01,-3.317336082458496094e+00
2.046884298324584961e-01,1.537718921899795532e-01,4.799422323703765869e-01,2.769408822059631348e-01,3.101538121700286865e-01,7.686758041381835938e-01,-3.017477989196777344e+00
1.997752785682678223e-01,1.492989212274551392e-01,4.788268506526947021e-01,2.742534875869750977e-01,3.124336302280426025e-01,5.980076789855957031e-01,-3.232485294342041016e+00
2.006682455539703369e-01,1.495348513126373291e-01,4.777284860610961914e-01,2.747889161109924316e-01,3.120488822460174561e-01,6.256434917449951172e-01,-3.296509027481079102e+00
1.992514878511428833e-01,1.491672694683074951e-01,4.794401526451110840e-01,2.739563584327697754e-01,3.126295506954193115e-01,5.832809805870056152e-01,-3.183317422866821289e+00
1.989950686693191528e-01,1.491425633430480957e-01,4.799083173274993896e-01,2.737828195095062256e-01,3.127333819866180420e-01,5.762268900871276855e-01,-3.156236648559570312e+00
1.955644041299819946e-01,1.492070108652114868e-01,4.855130314826965332e-01,2.716692090034484863e-01,3.141000270843505859e-01,4.785721004009246826e-01,-2.588475942611694336e+00
2.048479914665222168e-01,1.543250381946563721e-01,4.809533953666687012e-01,2.769902646541595459e-01,3.099926114082336426e-01,7.771950960159301758e-01,-2.971840381622314453e+00
1.963387876749038696e-01,1.490752249956130981e-01,4.841008484363555908e-01,2.722012698650360107e-01,3.137954175472259521e-01,5.005226135253906250e-01,-2.741910457611083984e+00
1.946203112602233887e-01,1.494017839431762695e-01,4.873163104057312012e-01,2.710551321506500244e-01,3.145489692687988281e-01,4.511066675186157227e-01,-2.383080959320068359e+00
2.044848799705505371e-01,1.532113999128341675e-01,4.790377318859100342e-01,2.768330872058868408e-01,3.102947473526000977e-01,7.582119703292846680e-01,-3.069819450378417969e+00
1.969221383333206177e-01,1.490254551172256470e-01,4.831779301166534424e-01,2.725225389003753662e-01,3.135574758052825928e-01,5.167157649993896484e-01,-2.847100019454956055e+00
2.026143074035644531e-01,1.506395488977432251e-01,4.765955507755279541e-01,2.758570611476898193e-01,3.112577199935913086e-01,6.877562999725341797e-01,-3.298465728759765625e+00
2.004366219043731689e-01,1.494657248258590698e-01,4.779890179634094238e-01,2.746320366859436035e-01,3.121612966060638428e-01,6.183354258537292480e-01,-3.283264398574829102e+00
1.981581598520278931e-01,1.490565240383148193e-01,4.811301529407501221e-01,2.732846736907958984e-01,3.130802512168884277e-01,5.515000224113464355e-01,-3.044338941574096680e+00
2.019231319427490234e-01,1.501597166061401367e-01,4.767318367958068848e-01,2.754532694816589355e-01,3.115395605564117432e-01,6.652539968490600586e-01,-3.320731401443481445e+00
2.016262561082839966e-01,1.498935222625732422e-01,4.768808782100677490e-01,2.752913832664489746e-01,3.116956651210784912e-01,6.553098559379577637e-01,-3.322265386581420898e+00
