evaluation,mape
2.000000000000000000e+00,8.842861006927329459e-01
1.000000000000000000e+01,3.982116437149773591e-01
2.000000000000000000e+01,4.870141250317216453e-01
3.000000000000000000e+01,2.518138469692148829e-01
4.000000000000000000e+01,2.521564415968589601e-01
5.000000000000000000e+01,2.517865679953331659e-01
6.000000000000000000e+01,2.588330491908862330e-01
7.000000000000000000e+01,3.126047565153216024e-01
8.000000000000000000e+01,2.601147360250658513e-01
9.000000000000000000e+01,2.617502560548934376e-01
1.000000000000000000e+02,2.279471807301901298e-01
