controllable,controllable,controllable,controllable,controllable,environmental,output
4.141647577752242126e-01,8.049187553032921549e-02,8.812923216974849483e-01,7.174527650052174854e-01,4.758650304138182241e-01,8.554441103260166379e-01,2.168147255654990224e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.735569782280207449e-17,0.000000000000000000e+00,1.000000000000000000e+00,8.080583214759826660e-01,3.516869583108928055e-06
4.422614574432373047e-01,6.205773726105690002e-02,8.730267286300659180e-01,7.078236937522888184e-01,4.525242745876312256e-01,8.062258958816528320e-01,2.444112449884414673e-01
7.120407223701477051e-01,1.610509899292781694e-17,7.937968969345092773e-01,6.154770255088806152e-01,2.287139594554901123e-01,7.622503638267517090e-01,3.758537173271179199e-01
0.000000000000000000e+00,5.877230748752568842e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.460116717965943009e-17,7.721890211105346680e-01,5.896211788058280945e-02
9.572365880012512207e-01,0.000000000000000000e+00,7.243005633354187012e-01,4.623818695545196533e-01,4.277619719505310059e-01,7.687641382217407227e-01,2.763965725898742676e-01
4.491535723209381104e-01,0.000000000000000000e+00,7.670041918754577637e-01,1.000000000000000000e+00,2.031340226303396564e-15,7.307757735252380371e-01,6.909359246492385864e-02
0.000000000000000000e+00,4.767145445755405220e-12,0.000000000000000000e+00,5.869753360748291016e-01,1.000000000000000000e+00,7.284928560256958008e-01,1.220035017468035221e-03
1.000000000000000000e+00,1.000000000000000000e+00,7.901140451431274414e-01,5.821086764335632324e-01,0.000000000000000000e+00,6.922973394393920898e-01,1.146032102406024933e-02
1.000000000000000000e+00,1.244385250767122975e-14,8.726279139518737793e-01,5.767412185668945312e-01,0.000000000000000000e+00,7.204130291938781738e-01,8.996561914682388306e-02
0.000000000000000000e+00,3.944695927202701569e-04,7.093647718429565430e-01,5.911082625389099121e-01,9.391407370567321777e-01,7.192119359970092773e-01,1.386891603469848633e-01
2.888300029122602879e-16,1.166735871725881383e-16,6.982589364051818848e-01,9.486562013626098633e-02,1.000000000000000000e+00,7.180318832397460938e-01,4.470418095588684082e-01
1.648077299428612509e-15,1.443153023719787598e-01,7.141135334968566895e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.912532448768615723e-01,4.827263355255126953e-01
3.255265142119707737e-15,1.943455487489700317e-01,8.057572841644287109e-01,4.222744321588997466e-16,1.000000000000000000e+00,6.493560671806335449e-01,2.710498273372650146e-01
2.821780145168304443e-01,5.115638673305511475e-02,7.245435118675231934e-01,3.006190992891788483e-02,6.812978982925415039e-01,6.317189931869506836e-01,5.559787750244140625e-01
9.620025157928466797e-01,2.360679954290390015e-02,7.367320656776428223e-01,7.196009904146194458e-02,2.660788981267180186e-18,6.513983607292175293e-01,9.566350281238555908e-02
0.000000000000000000e+00,9.668053686618804932e-02,7.091253399848937988e-01,1.124826402031412712e-16,7.631340026855468750e-01,6.664504408836364746e-01,5.551732778549194336e-01
9.754943251609802246e-01,1.943050697445869446e-02,7.185703516006469727e-01,1.593657086928748818e-17,7.782437801361083984e-01,6.308320164680480957e-01,5.373182240873575211e-03
1.453842669725418091e-01,7.403558492660522461e-02,7.064767479896545410e-01,3.314920359445605682e-19,2.597048282623291016e-01,6.344718933105468750e-01,1.383983850479125977e+00
1.655790954828262329e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.700208285197189723e-15,6.566382050514221191e-01,1.576242223381996155e-02
1.445741504430770874e-01,3.357557207345962524e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.118091123158970746e-11,6.453657746315002441e-01,1.606662422418594360e-01
1.447161138057708740e-01,2.710356935750195565e-16,6.595728993415832520e-01,2.766924972341389946e-16,1.236565797293117937e-16,6.109688878059387207e-01,4.552555978298187256e-01
