controllable,controllable,controllable,controllable,controllable,environmental,output
2.054463922977447510e-01,1.568339020013809204e-01,4.857481420040130615e-01,2.773156464099884033e-01,3.094634115695953369e-01,8.092820644378662109e-01,-2.778370618820190430e+00
2.034416943788528442e-01,1.515216678380966187e-01,4.769656360149383545e-01,2.762758433818817139e-01,3.108367919921875000e-01,7.174720764160156250e-01,-3.230127573013305664e+00
2.018606662750244141e-01,1.501226276159286499e-01,4.767622351646423340e-01,2.754398286342620850e-01,3.115755021572113037e-01,6.631554365158081055e-01,-3.321480989456176758e+00
1.963271051645278931e-01,1.490396708250045776e-01,4.841737151145935059e-01,2.721793949604034424e-01,3.137861192226409912e-01,5.007706284523010254e-01,-2.743576765060424805e+00
1.959858983755111694e-01,1.491049379110336304e-01,4.848039150238037109e-01,2.719346284866333008e-01,3.139384686946868896e-01,4.900800287723541260e-01,-2.670325279235839844e+00
2.058626264333724976e-01,1.632487773895263672e-01,4.996767938137054443e-01,2.775274813175201416e-01,3.083434402942657471e-01,8.553477525711059570e-01,-2.455400705337524414e+00
1.979746073484420776e-01,1.490375995635986328e-01,4.814269244670867920e-01,2.731915712356567383e-01,3.131251633167266846e-01,5.466797351837158203e-01,-3.019623994827270508e+00
2.012877166271209717e-01,1.498110890388488770e-01,4.771550893783569336e-01,2.751068472862243652e-01,3.118272423744201660e-01,6.443755626678466797e-01,-3.318045377731323242e+00
2.022031843662261963e-01,1.503854990005493164e-01,4.765904247760772705e-01,2.756042480468750000e-01,3.114157319068908691e-01,6.740316152572631836e-01,-3.315133333206176758e+00
2.038374543190002441e-01,1.519799232482910156e-01,4.773951470851898193e-01,2.764499187469482422e-01,3.106904327869415283e-01,7.311166524887084961e-01,-3.184597492218017578e+00
2.027671486139297485e-01,1.507794409990310669e-01,4.765890240669250488e-01,2.759195566177368164e-01,3.111856281757354736e-01,6.930015087127685547e-01,-3.289573192596435547e+00
1.992798298597335815e-01,1.491757035255432129e-01,4.794575572013854980e-01,2.739608883857727051e-01,3.126144707202911377e-01,5.840216279029846191e-01,-3.186030387878417969e+00
1.938724666833877563e-01,1.494857221841812134e-01,4.887818694114685059e-01,2.704541087150573730e-01,3.148964345455169678e-01,4.288940429687500000e-01,-2.209800243377685547e+00
1.970352381467819214e-01,1.490255147218704224e-01,4.829702079296112061e-01,2.726040184497833252e-01,3.135077655315399170e-01,5.198476910591125488e-01,-2.866546869277954102e+00
2.047124356031417847e-01,1.538803428411483765e-01,4.801437854766845703e-01,2.769587635993957520e-01,3.101118505001068115e-01,7.700906395912170410e-01,-3.010082006454467773e+00
2.008349001407623291e-01,1.495910435914993286e-01,4.775424897670745850e-01,2.748564183712005615e-01,3.120265007019042969e-01,6.293588280677795410e-01,-3.302206993103027344e+00
1.944197267293930054e-01,1.494269669055938721e-01,4.877155721187591553e-01,2.708826065063476562e-01,3.146236538887023926e-01,4.448392093181610107e-01,-2.334679603576660156e+00
2.050941288471221924e-01,1.550364345312118530e-01,4.822484254837036133e-01,2.771229743957519531e-01,3.098263144493103027e-01,7.881074547767639160e-01,-2.909676551818847656e+00
2.002002149820327759e-01,1.493906974792480469e-01,4.782665669918060303e-01,2.744937241077423096e-01,3.122536242008209229e-01,6.113337278366088867e-01,-3.268066406250000000e+00
2.058968096971511841e-01,1.661146581172943115e-01,5.060714483261108398e-01,2.775475084781646729e-01,3.078898787498474121e-01,8.676452040672302246e-01,-2.363426446914672852e+00
1.990007162094116211e-01,1.491522938013076782e-01,4.798356890678405762e-01,2.738298177719116211e-01,3.127287030220031738e-01,5.768954157829284668e-01,-3.158898830413818359e+00
2.057488858699798584e-01,1.594246625900268555e-01,4.912445843219757080e-01,2.774372398853302002e-01,3.089826703071594238e-01,8.320197463035583496e-01,-2.624199390411376953e+00
2.043384313583374023e-01,1.529565602540969849e-01,4.786583483219146729e-01,2.767504453659057617e-01,3.103638589382171631e-01,7.531430125236511230e-01,-3.093630552291870117e+00
1.974076628684997559e-01,1.490228027105331421e-01,4.823462069034576416e-01,2.728377282619476318e-01,3.133581578731536865e-01,5.303467512130737305e-01,-2.929428100585937500e+00
1.951627880334854126e-01,1.492479592561721802e-01,4.863033890724182129e-01,2.713806331157684326e-01,3.142872452735900879e-01,4.664430320262908936e-01,-2.499309062957763672e+00
