controllable,controllable,controllable,environmental,controllable,environmental,output
2.519506254885617302e-02,5.950905378277449032e-02,1.921457961997263819e-02,7.607066314809438623e-01,6.162572374166406242e-01,8.228690311916458944e-01,3.637783974858542491e-02
9.435017704963684082e-01,9.874846339225769043e-01,7.329246997833251953e-01,7.922638654708862305e-01,5.192085504531860352e-01,8.162629008293151855e-01,6.891473196446895599e-03
6.435305345803499222e-03,7.594240456819534302e-02,1.631202995777130127e-01,8.357237577438354492e-01,1.631366908550262451e-01,7.671676278114318848e-01,7.971542328596115112e-02
1.162951663136482239e-01,3.334099054336547852e-02,5.069736838340759277e-01,8.630812764167785645e-01,8.505315333604812622e-02,7.368260025978088379e-01,8.231306821107864380e-02
5.075060725212097168e-01,8.830935508012771606e-02,1.430013179779052734e-01,9.187451004981994629e-01,7.675865292549133301e-02,7.474512457847595215e-01,1.649069041013717651e-02
1.963674128055572510e-01,4.785181954503059387e-02,8.908157944679260254e-01,9.741534590721130371e-01,2.105738818645477295e-01,7.767090201377868652e-01,1.443764567375183105e-01
2.248429059982299805e-01,5.829221606254577637e-01,2.911615371704101562e-01,1.000000000000000000e+00,8.844631165266036987e-02,7.409967184066772461e-01,8.484935387969017029e-03
1.612562835216522217e-01,1.792053319513797760e-02,7.269572019577026367e-01,1.000000000000000000e+00,3.394581377506256104e-01,7.316300868988037109e-01,7.035863399505615234e-02
3.863694071769714355e-01,2.146677523851394653e-01,9.953987002372741699e-01,1.000000000000000000e+00,9.675929695367813110e-02,7.519400119781494141e-01,2.121690213680267334e-01
0.000000000000000000e+00,2.435552328824996948e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.948738217353820801e-01,7.852295041084289551e-01,1.143912901170551777e-03
7.150753736495971680e-01,5.584704875946044922e-02,1.000000000000000000e+00,1.000000000000000000e+00,4.190566390752792358e-02,8.340883851051330566e-01,1.306887716054916382e-01
2.079567313194274902e-01,9.181658625602722168e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.313380151987075806e-01,8.137730360031127930e-01,3.475480154156684875e-02
3.446896793320775032e-03,2.932043075561523438e-01,1.000000000000000000e+00,9.172048568725585938e-01,1.345058530569076538e-01,8.113264441490173340e-01,3.854502439498901367e-01
6.978709250688552856e-02,3.239518404006958008e-01,1.000000000000000000e+00,9.076138138771057129e-01,4.766697064042091370e-02,8.138559460639953613e-01,4.070437550544738770e-01
1.000000000000000000e+00,3.233285546302795410e-01,1.000000000000000000e+00,8.856955766677856445e-01,2.359223927328457648e-15,7.818914651870727539e-01,3.075269162654876709e-01
0.000000000000000000e+00,3.418570756912231445e-01,1.000000000000000000e+00,8.820397853851318359e-01,1.524174660444259644e-01,8.042007684707641602e-01,4.104142785072326660e-01
1.710926217672595535e-16,3.365967273712158203e-01,7.466602325439453125e-01,8.221039772033691406e-01,7.267886400222778320e-02,8.317051529884338379e-01,7.001062035560607910e-01
2.498001805406602216e-16,1.796147592159279781e-17,8.920531272888183594e-01,7.281639575958251953e-01,1.742977276444435120e-02,8.487143516540527344e-01,1.809262186288833618e-01
2.359142303466796875e-01,7.828126549720764160e-01,6.433894634246826172e-01,7.668192982673645020e-01,3.432039916515350342e-02,8.155075311660766602e-01,1.236509382724761963e-01
3.549648690080861244e-15,3.680301308631896973e-01,7.145462036132812500e-01,6.978797316551208496e-01,1.825333634369253797e-16,8.356314897537231445e-01,6.555659770965576172e-01
2.481378572058499758e-15,3.577839434146881104e-01,7.200793623924255371e-01,7.395895123481750488e-01,2.540454268455505371e-01,8.249928355216979980e-01,7.066381573677062988e-01
0.000000000000000000e+00,3.679968416690826416e-01,7.193258404731750488e-01,7.812991142272949219e-01,1.861311346292495728e-01,7.907360792160034180e-01,6.047474741935729980e-01
1.502034254372119904e-02,4.284894764423370361e-01,4.857587218284606934e-01,8.517079949378967285e-01,8.841279745101928711e-01,7.617226243019104004e-01,4.437390714883804321e-02
1.081383973360061646e-02,2.859612405300140381e-01,6.269856691360473633e-01,8.529659509658813477e-01,2.093522548675537109e-01,8.023855686187744141e-01,3.474024236202239990e-01
7.562388181686401367e-01,4.531854391098022461e-01,4.031471610069274902e-01,8.653779625892639160e-01,8.673617379884035472e-19,8.228088617324829102e-01,3.626532107591629028e-02
6.514348417598062242e-17,3.835539817810058594e-01,7.770667076110839844e-01,8.678360581398010254e-01,2.293744832277297974e-01,8.562771677970886230e-01,7.689302563667297363e-01
6.205155253410339355e-01,3.842801153659820557e-01,7.731965184211730957e-01,8.652836680412292480e-01,2.439350783824920654e-01,8.625755906105041504e-01,7.413519620895385742e-01
0.000000000000000000e+00,4.059540331363677979e-01,7.841912508010864258e-01,9.373196363449096680e-01,2.101193517446517944e-01,8.503510355949401855e-01,7.626728415489196777e-01
0.000000000000000000e+00,3.895597159862518311e-01,8.017523288726806641e-01,9.184353947639465332e-01,2.824741899967193604e-01,8.167977929115295410e-01,5.771747231483459473e-01
4.133380161896851640e-17,4.069671332836151123e-01,7.436680793762207031e-01,9.074814915657043457e-01,1.663302034139633179e-01,8.418264985084533691e-01,7.237792611122131348e-01
9.278288483619689941e-02,6.110337376594543457e-01,8.490825295448303223e-01,8.282768130302429199e-01,1.298513561487197876e-01,8.108770251274108887e-01,5.052777528762817383e-01
2.945679426193237305e-01,9.588490128517150879e-01,7.202015817165374756e-02,8.780423998832702637e-01,7.839071750640869141e-01,7.823582887649536133e-01,6.509653758257627487e-04
2.665066421031951904e-01,4.316906929016113281e-01,8.154353499412536621e-01,9.494368433952331543e-01,3.953671082854270935e-02,8.277689218521118164e-01,7.487882375717163086e-01
