controllable,controllable,controllable,environmental,controllable,environmental,output
1.797054260969161987e-01,1.524240672588348389e-01,5.115498900413513184e-01,1.552600562572479248e-01,3.224209845066070557e-01,3.147805929183959961e-01,-1.202142119407653809e+00
2.015738040208816528e-01,1.495379656553268433e-01,4.753644764423370361e-01,5.228782296180725098e-01,3.119359910488128662e-01,5.399944186210632324e-01,-1.697656750679016113e+00
1.769080907106399536e-01,1.517235934734344482e-01,5.148056745529174805e-01,1.009755283594131470e-01,3.238569796085357666e-01,4.352993667125701904e-01,-1.800051093101501465e+00
1.599372774362564087e-01,2.229404449462890625e-01,5.792350172996520996e-01,9.447245001792907715e-01,3.354556262493133545e-01,4.950957298278808594e-01,-6.204044446349143982e-02
3.990426063537597656e-01,8.625687360763549805e-01,5.595284104347229004e-01,3.653533011674880981e-02,3.114123940467834473e-01,7.415610831230878830e-03,-1.849328875541687012e-01
3.962451219558715820e-01,8.375271558761596680e-01,5.229694843292236328e-01,2.121696472167968750e-01,3.085406422615051270e-01,1.881264001131057739e-01,-7.067940831184387207e-01
1.912627816200256348e-01,1.498166918754577637e-01,4.933306574821472168e-01,2.364042848348617554e-01,3.159226775169372559e-01,4.272082448005676270e-01,-2.175144195556640625e+00
4.045718908309936523e-01,8.818462491035461426e-01,8.056209683418273926e-01,4.500918686389923096e-01,1.732179224491119385e-01,4.198031499981880188e-02,-2.748437881469726562e+00
1.642103046178817749e-01,1.543750464916229248e-01,5.297322869300842285e-01,1.521710585802793503e-02,3.362987935543060303e-01,4.119694530963897705e-01,-1.287331342697143555e+00
1.700372546911239624e-01,1.531012356281280518e-01,5.234045982360839844e-01,4.835582152009010315e-02,3.296375870704650879e-01,4.443640112876892090e-01,-1.596567153930664062e+00
4.046753942966461182e-01,8.826512694358825684e-01,8.641056418418884277e-01,7.562528848648071289e-01,1.184108331799507141e-01,2.632523514330387115e-02,-2.294337511062622070e+00
1.780900806188583374e-01,1.639958322048187256e-01,5.237424373626708984e-01,7.944613695144653320e-01,3.237961828708648682e-01,4.821368455886840820e-01,-2.353646606206893921e-01
