evaluation,mape
2.000000000000000000e+00,7.158756257980379845e-01
1.000000000000000000e+01,7.327458252281484619e-01
2.000000000000000000e+01,2.592542851879103605e+00
3.000000000000000000e+01,3.259487661882666254e-01
4.000000000000000000e+01,6.359313000083641754e-01
5.000000000000000000e+01,7.222440301763047854e-01
6.000000000000000000e+01,1.688062026600895271e-01
7.000000000000000000e+01,1.145854110635948359e-01
8.000000000000000000e+01,1.447190236753954362e-01
9.000000000000000000e+01,1.503958055988112719e-01
1.000000000000000000e+02,1.122663881825661097e-01
