environmental,controllable,controllable,environmental,controllable,environmental,output
6.044413010836636735e-01,8.334427679574146763e-01,7.487550930166182450e-01,7.713523087001056266e-01,1.591257079854044854e-01,1.406374566715229424e-02,1.071106051761159250e+00
5.472382903099060059e-01,8.397561311721801758e-02,4.579645991325378418e-01,6.889795660972595215e-01,9.947087764739990234e-01,3.316853940486907959e-02,1.343659404665231705e-02
4.624738991260528564e-01,8.334409594535827637e-01,7.487496733665466309e-01,6.332600712776184082e-01,1.591232568025588989e-01,1.281705964356660843e-02,2.838443517684936523e+00
3.696785867214202881e-01,7.644154429435729980e-01,8.239567279815673828e-01,5.611671805381774902e-01,6.935761123895645142e-02,5.507021769881248474e-02,2.790299415588378906e+00
4.027065932750701904e-01,9.367000460624694824e-01,0.000000000000000000e+00,6.387693285942077637e-01,1.000000000000000000e+00,9.022734314203262329e-02,2.567027807235717773e+00
4.383924901485443115e-01,9.387983083724975586e-01,1.000000000000000000e+00,5.510120987892150879e-01,3.121473376425134812e-16,4.172568023204803467e-02,3.038580656051635742e+00
4.631076455116271973e-01,1.000000000000000000e+00,0.000000000000000000e+00,5.859191417694091797e-01,0.000000000000000000e+00,8.335590362548828125e-02,2.525136232376098633e+00
5.114976167678833008e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.391344666481018066e-01,1.000000000000000000e+00,3.458518162369728088e-02,2.089646577835083008e+00
4.822407364845275879e-01,5.986038446426391602e-01,8.544253110885620117e-01,5.877390503883361816e-01,3.190774470567703247e-02,4.113998264074325562e-02,1.514624238014221191e+00
5.550032258033752441e-01,5.393111705780029297e-01,5.276572331786155701e-02,5.573361515998840332e-01,9.512419700622558594e-01,2.145416103303432465e-02,7.587864398956298828e-01
5.463363528251647949e-01,9.426813721656799316e-01,5.968728661537170410e-01,5.848090648651123047e-01,1.121291220188140869e-01,1.011090259999036789e-02,2.177937507629394531e+00
4.619585573673248291e-01,8.786492943763732910e-01,1.000000000000000000e+00,6.435281038284301758e-01,0.000000000000000000e+00,5.609157681465148926e-02,2.866337060928344727e+00
5.167473554611206055e-01,7.493875622749328613e-01,5.290228128433227539e-01,7.257410883903503418e-01,9.777283072471618652e-01,4.903461411595344543e-02,1.641686320304870605e+00
4.950398802757263184e-01,3.401174247264862061e-01,6.911872625350952148e-01,6.773242354393005371e-01,2.352869361639022827e-01,9.132547676563262939e-02,2.560991942882537842e-01
5.922951102256774902e-01,4.022713303565979004e-01,8.127797842025756836e-01,7.086132168769836426e-01,4.441799521446228027e-01,5.157062783837318420e-02,2.357013523578643799e-01
5.846834778785705566e-01,9.951899647712707520e-01,5.018999427556991577e-02,7.524673342704772949e-01,7.877030372619628906e-01,2.549231797456741333e-02,1.118327021598815918e+00
4.921910762786865234e-01,9.550309181213378906e-01,5.902473926544189453e-01,7.385380268096923828e-01,3.251894190907478333e-02,0.000000000000000000e+00,2.007361650466918945e+00
4.503827393054962158e-01,7.604559659957885742e-01,2.748580574989318848e-01,8.257602453231811523e-01,2.322296798229217529e-01,0.000000000000000000e+00,1.400279402732849121e+00
4.562701880931854248e-01,5.516121629625558853e-03,3.503929972648620605e-01,7.273491024971008301e-01,3.713589906692504883e-02,2.256586775183677673e-02,9.563926607370376587e-03
5.241683125495910645e-01,8.432915210723876953e-01,9.898415952920913696e-02,6.626852154731750488e-01,3.842785954475402832e-01,6.185686215758323669e-02,2.195834159851074219e+00
6.055205464363098145e-01,6.437732838094234467e-03,2.415122091770172119e-01,7.356171011924743652e-01,2.509550750255584717e-01,1.040605679154396057e-01,2.159551903605461121e-02
