environmental,controllable,controllable,environmental,controllable,environmental,output
6.993889808654785156e-01,1.475477814674377441e-01,3.757667839527130127e-01,4.333546459674835205e-01,3.047088384628295898e-01,7.075347304344177246e-01,-1.263236641883850098e+00
7.769197225570678711e-01,1.506603211164474487e-01,3.668340742588043213e-01,7.053127288818359375e-01,3.049102425575256348e-01,4.291712343692779541e-01,-1.411291956901550293e-01
9.284144043922424316e-01,4.124721586704254150e-01,8.301482200622558594e-01,9.893009662628173828e-01,1.051957383751869202e-01,5.985181927680969238e-01,-1.206197589635848999e-01
5.433844923973083496e-01,1.485095173120498657e-01,4.074543714523315430e-01,6.057426929473876953e-01,3.058926463127136230e-01,6.092375516891479492e-01,-8.241297006607055664e-01
5.898652672767639160e-01,1.667574644088745117e-01,4.817335307598114014e-01,7.726905941963195801e-01,3.048629164695739746e-01,5.753539800643920898e-01,-1.931928545236587524e-01
4.772671163082122803e-01,1.513140648603439331e-01,4.178397357463836670e-01,4.972004294395446777e-01,3.070785999298095703e-01,4.502570629119873047e-01,-1.170978426933288574e+00
7.492228150367736816e-01,1.465886533260345459e-01,3.646020889282226562e-01,5.741009712219238281e-01,3.048796057701110840e-01,5.091882348060607910e-01,-4.962369799613952637e-01
6.632433533668518066e-01,8.141024708747863770e-01,4.540440738201141357e-01,7.125506997108459473e-01,3.013437688350677490e-01,3.906625509262084961e-01,-1.749606281518936157e-01
7.336940169334411621e-01,4.087229371070861816e-01,8.272532224655151367e-01,9.298451542854309082e-01,1.253153234720230103e-01,5.863535404205322266e-01,-1.125558242201805115e-01
8.550733327865600586e-01,1.457743048667907715e-01,3.583681881427764893e-01,4.282813072204589844e-01,3.047072291374206543e-01,5.457887053489685059e-01,-6.954463720321655273e-01
8.757789731025695801e-01,1.474333852529525757e-01,3.590739071369171143e-01,6.825604438781738281e-01,3.047626018524169922e-01,4.111147820949554443e-01,-1.107457801699638367e-01
5.084018111228942871e-01,1.476192027330398560e-01,4.033199250698089600e-01,3.951782286167144775e-01,3.058003485202789307e-01,7.030576467514038086e-01,-2.164001703262329102e+00
3.700154721736907959e-01,1.572956591844558716e-01,4.525293707847595215e-01,4.866560399532318115e-01,3.096095025539398193e-01,3.966180980205535889e-01,-1.165629148483276367e+00
