controllable,controllable,controllable,controllable,controllable,environmental,output
4.345034777229448419e-01,1.468084145769132931e-01,4.328514175170048439e-01,9.951573340271491208e-02,6.720325680619024800e-01,6.812734355036127454e-01,4.534294211867481716e-01
9.682316184043884277e-01,9.865986704826354980e-01,9.659147858619689941e-01,8.687065839767456055e-01,8.176457285881042480e-01,7.055362462997436523e-01,-6.408075569197535515e-04
4.366407990455627441e-01,2.569786906242370605e-01,3.347460627555847168e-01,2.072031050920486450e-01,3.520821928977966309e-01,6.654906868934631348e-01,2.352942943572998047e+00
8.658958226442337036e-02,3.392634168267250061e-02,4.162713587284088135e-01,1.632259190082550049e-01,3.531286120414733887e-01,6.889448165893554688e-01,2.583457231521606445e+00
8.785019153106921053e-16,1.133277673262642494e-15,1.000000000000000000e+00,5.102594236895685587e-16,1.894232034683227539e-01,6.892129778861999512e-01,4.125604629516601562e-01
5.449160480417191744e-17,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.616757988929748535e-01,6.839460730552673340e-01,5.275583863258361816e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.479255080223083496e-01,0.000000000000000000e+00,2.967232167720794678e-01,6.573964953422546387e-01,1.429108619689941406e+00
0.000000000000000000e+00,1.132849921624279072e-15,4.380385875701904297e-01,1.108776583518821814e-16,3.709207177162170410e-01,6.127899885177612305e-01,1.352684020996093750e+00
1.180902365419811547e-16,6.402010672968460659e-17,4.527280330657958984e-01,1.763660311698913574e-01,2.708182334899902344e-01,6.164047122001647949e-01,2.282714843750000000e+00
0.000000000000000000e+00,1.272426869409039665e-15,3.025700449943542480e-01,1.408870369195938110e-01,3.350686728954315186e-01,5.759187936782836914e-01,1.883218169212341309e+00
2.578961479202964259e-16,0.000000000000000000e+00,4.963363409042358398e-01,2.298190742731094360e-01,3.761583864688873291e-01,6.103724837303161621e-01,2.383833885192871094e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.659672081470489502e-01,1.922493129968643188e-01,3.469403386116027832e-01,6.351950764656066895e-01,2.083167061209678650e-02
1.000000000000000000e+00,2.553738281130790710e-02,3.687800467014312744e-01,3.426392674446105957e-01,2.922714054584503174e-01,5.868104696273803711e-01,4.970715343952178955e-01
2.183521538972854614e-01,2.562095597386360168e-02,4.195800125598907471e-01,2.741963267326354980e-01,2.960681319236755371e-01,6.210473179817199707e-01,3.027660369873046875e+00
2.186350077390670776e-01,1.000000000000000000e+00,3.997711837291717529e-01,3.619512915611267090e-01,2.546935081481933594e-01,6.363103985786437988e-01,2.175280004739761353e-01
2.117377519607543945e-01,1.434312760829925537e-01,4.493581652641296387e-01,2.678808569908142090e-01,3.021337687969207764e-01,6.198166608810424805e-01,3.274780988693237305e+00
1.725807189941406250e-01,1.834029406309127808e-01,4.094255268573760986e-01,3.341866731643676758e-01,2.886174917221069336e-01,6.389289498329162598e-01,3.052631855010986328e+00
2.400229573249816895e-01,1.552578359842300415e-01,5.304027199745178223e-01,2.646487057209014893e-01,2.751542031764984131e-01,6.767640113830566406e-01,3.220146894454956055e+00
2.227402478456497192e-01,1.659116297960281372e-01,4.422372281551361084e-01,2.322039455175399780e-01,2.554874122142791748e-01,6.386939883232116699e-01,3.104951858520507812e+00
2.175449579954147339e-01,1.445573121309280396e-01,5.040309429168701172e-01,2.731229662895202637e-01,3.293351233005523682e-01,6.529875993728637695e-01,3.269356489181518555e+00
2.364833503961563110e-01,1.307816207408905029e-01,4.849970936775207520e-01,2.786271572113037109e-01,3.107671141624450684e-01,6.516745090484619141e-01,3.322781085968017578e+00
2.681159377098083496e-01,1.178228184580802917e-01,4.863581061363220215e-01,3.091450631618499756e-01,3.073554337024688721e-01,6.455991864204406738e-01,3.214628458023071289e+00
3.048897385597229004e-01,3.047797381877899170e-01,7.618650794029235840e-01,4.234420955181121826e-01,3.491525053977966309e-01,6.199393272399902344e-01,1.851525187492370605e+00
1.013475805521011353e-01,1.639468409121036530e-02,1.352716684341430664e-01,5.280587077140808105e-01,5.487264990806579590e-01,5.990853905677795410e-01,5.238863825798034668e-01
4.733597636222839355e-01,5.651203537127003074e-05,8.517841100692749023e-01,4.201806485652923584e-01,1.338319759815931320e-02,5.787844657897949219e-01,2.870161533355712891e-01
3.307914435863494873e-01,3.308447301387786865e-01,5.367993712425231934e-01,1.412484198808670044e-01,2.595645785331726074e-01,5.421754121780395508e-01,2.037990570068359375e+00
2.283119857311248779e-01,1.159248724579811096e-01,5.056571960449218750e-01,2.571210265159606934e-01,3.081893920898437500e-01,5.437195897102355957e-01,3.011453151702880859e+00
2.283288240432739258e-01,4.906301498413085938e-01,1.345591247081756592e-01,6.562015414237976074e-01,2.153726220130920410e-01,5.012187361717224121e-01,3.282676935195922852e-01
5.031870603561401367e-01,1.883294433355331421e-01,9.114936739206314087e-02,2.818321110680699348e-03,1.822378039360046387e-01,5.475457310676574707e-01,6.898675560951232910e-01
4.755175858736038208e-02,4.452173113822937012e-01,1.269333064556121826e-01,2.815719246864318848e-01,3.924609720706939697e-01,5.543947815895080566e-01,1.459183216094970703e+00
2.364357188344001770e-02,5.384936928749084473e-01,8.315857052803039551e-01,2.869791686534881592e-01,5.927152037620544434e-01,5.139375925064086914e-01,3.574576675891876221e-01
1.183836683630943298e-01,2.320724278688430786e-01,8.603766560554504395e-01,8.033548593521118164e-01,9.636038541793823242e-01,5.459195971488952637e-01,-1.482830010354518890e-02
7.755921483039855957e-01,8.094187378883361816e-01,9.142847061157226562e-01,9.767856597900390625e-01,1.564752012491226196e-01,5.200716853141784668e-01,-6.306283175945281982e-03
2.697775326669216156e-02,3.361618816852569580e-01,5.534402728080749512e-01,3.562409877777099609e-01,2.522641122341156006e-01,4.969319403171539307e-01,1.837293505668640137e+00
9.421358704566955566e-01,1.880824863910675049e-01,9.805288314819335938e-01,1.262080669403076172e-01,3.806177973747253418e-01,4.478706717491149902e-01,1.590523123741149902e-01
9.870153665542602539e-01,7.288213968276977539e-01,3.870295826345682144e-03,4.759644865989685059e-01,7.877329587936401367e-01,4.650110900402069092e-01,-1.632123719900846481e-03
4.389977753162384033e-01,6.835877895355224609e-02,8.559670448303222656e-01,8.285900354385375977e-01,4.789243936538696289e-01,4.580090641975402832e-01,6.253083795309066772e-02
1.204709336161613464e-02,6.595327854156494141e-01,7.941517233848571777e-02,3.663367778062820435e-02,1.737791895866394043e-01,5.067866444587707520e-01,3.220485150814056396e-01
6.264242529869079590e-02,8.368937373161315918e-01,1.251125037670135498e-01,3.332763910293579102e-02,6.950595974922180176e-01,5.405561327934265137e-01,8.052264153957366943e-02
6.618914008140563965e-01,1.442238036543130875e-02,4.700694978237152100e-02,9.328033924102783203e-01,9.839396476745605469e-01,4.988137483596801758e-01,-2.817752771079540253e-03
4.690126180648803711e-01,4.718229174613952637e-01,8.730294555425643921e-02,3.449541330337524414e-01,1.613065600395202637e-02,5.343664288520812988e-01,3.528449535369873047e-01
2.143396139144897461e-01,9.879589676856994629e-01,2.264388501644134521e-01,7.649470567703247070e-01,8.931506872177124023e-01,5.410807132720947266e-01,4.027814418077468872e-02
1.847493797540664673e-01,7.067845016717910767e-02,2.289696782827377319e-01,3.426451086997985840e-01,1.412238180637359619e-01,4.919428825378417969e-01,1.414013981819152832e+00
5.824377536773681641e-01,6.433384120464324951e-02,3.996596634387969971e-01,3.236106634140014648e-01,4.528435170650482178e-01,5.146896839141845703e-01,1.148835182189941406e+00
9.813478589057922363e-01,3.652594983577728271e-01,9.230084419250488281e-01,1.503056883811950684e-01,9.626938104629516602e-01,5.350782871246337891e-01,-2.032032608985900879e-02
9.399651736021041870e-02,9.263050556182861328e-01,8.473625183105468750e-01,6.518197655677795410e-01,2.117010578513145447e-02,5.516827106475830078e-01,7.021447643637657166e-03
9.903038293123245239e-02,9.142541885375976562e-02,5.383608937263488770e-01,5.013853907585144043e-01,3.914571106433868408e-01,5.068367719650268555e-01,1.502077221870422363e+00
9.659853577613830566e-01,8.902884721755981445e-01,4.897119849920272827e-02,9.971139430999755859e-01,8.804756402969360352e-02,4.649757146835327148e-01,-1.180028636008501053e-02
8.825184404850006104e-02,7.213622927665710449e-01,8.635911941528320312e-01,8.745250105857849121e-02,3.522119671106338501e-02,4.655159413814544678e-01,1.215082034468650818e-01
9.437112808227539062e-01,2.336069941520690918e-02,6.621024012565612793e-01,9.929170012474060059e-01,2.019608020782470703e-02,4.772689938545227051e-01,1.229994650930166245e-02
4.411777257919311523e-01,6.261456012725830078e-02,5.468961000442504883e-01,2.228159308433532715e-01,1.519118845462799072e-01,4.569739103317260742e-01,1.254392027854919434e+00
5.131074190139770508e-01,9.866775870323181152e-01,1.028225570917129517e-01,5.254982784390449524e-02,9.921737909317016602e-01,4.720211625099182129e-01,-2.946745231747627258e-02
2.300274521112442017e-01,2.367908060550689697e-01,4.597715735435485840e-01,1.232053264975547791e-01,4.543601572513580322e-01,5.076671242713928223e-01,1.773350358009338379e+00
6.594862937927246094e-01,1.441527390852570534e-03,1.399691216647624969e-02,9.873912483453750610e-02,9.907785654067993164e-01,5.317457914352416992e-01,2.822811156511306763e-02
2.718539237976074219e-01,7.285753637552261353e-02,8.752347826957702637e-01,3.048375844955444336e-01,2.326176315546035767e-01,5.232830643653869629e-01,1.507219076156616211e+00
5.753191187977790833e-02,1.150200888514518738e-01,9.793950915336608887e-01,9.149544239044189453e-01,8.427916467189788818e-02,5.237920880317687988e-01,-1.064581982791423798e-02
1.497427970170974731e-01,9.926376938819885254e-01,9.191018939018249512e-01,3.836698830127716064e-01,9.629695415496826172e-01,5.697504878044128418e-01,4.266094416379928589e-03
8.582285642623901367e-01,4.286587983369827271e-02,4.444695636630058289e-02,9.904936552047729492e-01,5.025539398193359375e-01,5.834518074989318848e-01,9.835088625550270081e-03
7.164963521063327789e-03,7.800663709640502930e-01,9.375756978988647461e-01,8.972314000129699707e-01,4.859900474548339844e-01,5.488371849060058594e-01,3.766512870788574219e-02
7.003855705261230469e-01,4.173825085163116455e-01,1.198059320449829102e-02,3.479572832584381104e-01,4.278451204299926758e-01,5.526336431503295898e-01,6.749895215034484863e-01
5.602364540100097656e-01,6.515654921531677246e-02,2.159053236246109009e-01,6.230105161666870117e-01,2.814038395881652832e-01,5.989665389060974121e-01,6.308902502059936523e-01
3.402699902653694153e-02,3.714384436607360840e-01,4.836797714233398438e-01,1.409940272569656372e-01,3.853954672813415527e-01,5.637473464012145996e-01,1.947696447372436523e+00
8.551543354988098145e-01,7.567846775054931641e-01,9.102058410644531250e-01,3.803138434886932373e-01,6.195244193077087402e-02,5.924630165100097656e-01,8.738873153924942017e-02
6.479862146079540253e-03,2.389760613441467285e-01,4.851341843605041504e-01,2.127240300178527832e-01,2.106978595256805420e-01,6.337339878082275391e-01,2.320700407028198242e+00
3.881059587001800537e-02,3.934486210346221924e-02,6.078976988792419434e-01,3.152329325675964355e-01,2.582944333553314209e-01,6.354896426200866699e-01,2.550881385803222656e+00
8.871361613273620605e-02,1.701326966285705566e-01,7.648186087608337402e-01,1.890207380056381226e-01,9.989957809448242188e-01,6.119113564491271973e-01,3.476507663726806641e-01
8.674166202545166016e-01,9.671195149421691895e-01,7.892553210258483887e-01,4.662319843191653490e-04,6.996318101882934570e-01,5.996173024177551270e-01,-2.227599546313285828e-02
2.986412644386291504e-01,2.058995068073272705e-01,1.294188797473907471e-01,2.781102359294891357e-01,3.357822000980377197e-01,6.024504303932189941e-01,2.519291162490844727e+00
2.737847268581390381e-01,1.219595074653625488e-01,2.062614411115646362e-01,6.189585924148559570e-01,9.059791564941406250e-01,5.786520242691040039e-01,5.075807496905326843e-02
5.037127807736396790e-02,9.199935793876647949e-01,9.979297220706939697e-02,9.905044436454772949e-01,1.415328234434127808e-01,6.184981465339660645e-01,-2.042118459939956665e-02
6.174110770225524902e-01,5.203859135508537292e-02,9.759894609451293945e-01,4.465251564979553223e-01,7.594980597496032715e-01,6.089089512825012207e-01,2.148875594139099121e-02
8.999778330326080322e-02,1.327803283929824829e-01,7.886958122253417969e-01,3.349688053131103516e-01,4.848024845123291016e-01,6.059613227844238281e-01,1.351872920989990234e+00
6.031670570373535156e-01,6.487005352973937988e-01,8.473103642463684082e-01,6.404494047164916992e-01,3.689098954200744629e-01,5.891777276992797852e-01,2.003449499607086182e-01
4.068440943956375122e-02,1.027682051062583923e-01,3.559984564781188965e-01,5.798078775405883789e-01,2.898777090013027191e-02,6.082585453987121582e-01,3.173056542873382568e-01
3.457642197608947754e-01,1.272420883178710938e-01,6.400653719902038574e-01,2.685455679893493652e-01,3.593994677066802979e-01,6.241183876991271973e-01,2.689063787460327148e+00
2.295192182064056396e-01,2.960363030433654785e-01,3.535275459289550781e-01,2.512591183185577393e-01,3.699466288089752197e-01,5.924839377403259277e-01,2.699223995208740234e+00
4.358122348785400391e-01,8.522145152091979980e-01,3.898041695356369019e-02,5.722977519035339355e-01,5.179814696311950684e-01,6.176913380622863770e-01,1.099046915769577026e-01
4.856855273246765137e-01,3.101662099361419678e-01,4.112000167369842529e-01,3.496479690074920654e-01,2.607088088989257812e-01,6.501371264457702637e-01,2.155269145965576172e+00
5.372480154037475586e-01,7.028031349182128906e-01,2.067701965570449829e-01,9.615021347999572754e-01,6.676705479621887207e-01,6.132581233978271484e-01,-3.139120526611804962e-04
2.310932874679565430e-01,1.709529012441635132e-01,6.209833025932312012e-01,2.267257571220397949e-01,3.215620517730712891e-01,5.691304206848144531e-01,2.842823982238769531e+00
9.611033797264099121e-01,9.119663387537002563e-02,4.481193423271179199e-01,8.992490172386169434e-02,9.992630220949649811e-03,5.558025240898132324e-01,6.374163925647735596e-02
4.177640974521636963e-01,9.941229224205017090e-01,9.241151213645935059e-01,4.911799728870391846e-01,5.875132083892822266e-01,5.425326824188232422e-01,6.709571927785873413e-02
9.523887634277343750e-01,1.312295049428939819e-01,1.348975449800491333e-01,1.062717661261558533e-02,4.707994461059570312e-01,5.578260421752929688e-01,1.456457525491714478e-01
3.154347538948059082e-01,7.366963028907775879e-01,8.687041401863098145e-01,4.306098073720932007e-02,4.179631769657135010e-01,5.455245971679687500e-01,2.318724095821380615e-01
7.830733656883239746e-01,2.993094623088836670e-01,7.288759946823120117e-01,8.186871409416198730e-01,9.530059099197387695e-01,5.436100959777832031e-01,3.225006163120269775e-02
8.846437931060791016e-02,1.457539647817611694e-01,2.781262621283531189e-02,4.768275320529937744e-01,2.869090139865875244e-01,5.754627585411071777e-01,1.526460289955139160e+00
7.767257094383239746e-01,7.910551428794860840e-01,2.583986818790435791e-01,8.965400606393814087e-02,2.299239858984947205e-02,5.530644655227661133e-01,5.472187325358390808e-02
3.397962450981140137e-01,9.306362867355346680e-01,1.242048740386962891e-01,2.579318918287754059e-02,4.019798636436462402e-01,5.360299348831176758e-01,1.015339717268943787e-01
2.669081389904022217e-01,5.126316845417022705e-02,3.925582468509674072e-01,1.596053689718246460e-01,3.117412924766540527e-01,5.033705830574035645e-01,2.317784070968627930e+00
9.670538902282714844e-01,2.470499090850353241e-02,9.785912632942199707e-01,7.980872392654418945e-01,5.329112410545349121e-01,4.771595597267150879e-01,9.603533893823623657e-03
