evaluation,mape
2.000000000000000000e+00,8.813837247677415165e-01
1.000000000000000000e+01,6.643414223827047715e-01
2.000000000000000000e+01,3.813384119352762336e-01
3.000000000000000000e+01,4.818091693614687254e-02
4.000000000000000000e+01,5.550372609626970377e-02
5.000000000000000000e+01,5.497233355224073748e-02
6.000000000000000000e+01,4.561835693158079741e-02
7.000000000000000000e+01,4.159343038840575962e-02
8.000000000000000000e+01,4.642618270790482837e-02
9.000000000000000000e+01,4.815736194546283572e-02
1.000000000000000000e+02,5.302866535433820722e-02
