controllable,controllable,controllable,controllable,controllable,environmental,output
4.046654105186462402e-01,8.825257420539855957e-01,8.524514436721801758e-01,5.740634202957153320e-01,1.324673891067504883e-01,1.503156498074531555e-02,-3.178683519363403320e+00
4.046086668968200684e-01,8.820417523384094238e-01,8.175939917564392090e-01,5.736224055290222168e-01,1.639578789472579956e-01,9.486591815948486328e-02,-3.064834594726562500e+00
4.010567069053649902e-01,8.600070476531982422e-01,5.392470359802246094e-01,5.552058815956115723e-01,2.966592311859130859e-01,3.031388521194458008e-01,-1.264539480209350586e+00
4.046678841114044189e-01,8.824811577796936035e-01,8.474327921867370605e-01,5.740283727645874023e-01,1.377612203359603882e-01,3.308059647679328918e-02,-3.201853990554809570e+00
4.043180346488952637e-01,8.802535533905029297e-01,7.231653332710266113e-01,5.720962882041931152e-01,2.205529958009719849e-01,1.659174859523773193e-01,-2.560010910034179688e+00
4.034612476825714111e-01,8.752197623252868652e-01,6.144139766693115234e-01,5.678175091743469238e-01,2.693439722061157227e-01,2.330093383789062500e-01,-1.912824749946594238e+00
4.040436744689941406e-01,8.786957859992980957e-01,6.732302308082580566e-01,5.707684755325317383e-01,2.440000921487808228e-01,1.941771060228347778e-01,-2.295769929885864258e+00
4.032186865806579590e-01,8.737716078758239746e-01,5.997316241264343262e-01,5.665920376777648926e-01,2.752580642700195312e-01,2.444631606340408325e-01,-1.800173759460449219e+00
4.036392569541931152e-01,8.761450052261352539e-01,6.260899305343627930e-01,5.686106085777282715e-01,2.645044922828674316e-01,2.244883477687835693e-01,-1.997225403785705566e+00
1.914530992507934570e-01,1.514921784400939941e-01,4.942044913768768311e-01,2.685644626617431641e-01,3.162510991096496582e-01,3.454334735870361328e-01,-1.553469538688659668e+00
4.015839993953704834e-01,8.635153770446777344e-01,5.481117367744445801e-01,5.580655336380004883e-01,2.938758134841918945e-01,2.931381165981292725e-01,-1.348759651184082031e+00
1.908483207225799561e-01,1.528964638710021973e-01,4.962134063243865967e-01,2.679264247417449951e-01,3.168040215969085693e-01,3.136019110679626465e-01,-1.319989919662475586e+00
4.026711285114288330e-01,8.703312873840332031e-01,5.758190155029296875e-01,5.636836886405944824e-01,2.846218347549438477e-01,2.656184434890747070e-01,-1.597040772438049316e+00
4.046718478202819824e-01,8.825697302818298340e-01,8.546397089958190918e-01,5.740956068038940430e-01,1.301734298467636108e-01,4.807460121810436249e-03,-3.152897357940673828e+00
4.045566916465759277e-01,8.817461133003234863e-01,8.001686334609985352e-01,5.733838081359863281e-01,1.767585277557373047e-01,1.140284687280654907e-01,-2.959361553192138672e+00
4.046089053153991699e-01,8.821625709533691406e-01,8.258890509605407715e-01,5.737324357032775879e-01,1.572308987379074097e-01,8.260926604270935059e-02,-3.117671728134155273e+00
4.039312005043029785e-01,8.779337406158447266e-01,6.562945842742919922e-01,5.701153874397277832e-01,2.519685924053192139e-01,2.048266530036926270e-01,-2.191783905029296875e+00
4.042364358901977539e-01,8.797619342803955078e-01,7.021678090095520020e-01,5.716128349304199219e-01,2.306617796421051025e-01,1.775970309972763062e-01,-2.453444242477416992e+00
4.044239223003387451e-01,8.809289932250976562e-01,7.531799077987670898e-01,5.726727247238159180e-01,2.052087038755416870e-01,1.485925018787384033e-01,-2.708674669265747070e+00
4.044730961322784424e-01,8.811143040657043457e-01,7.640555500984191895e-01,5.728610754013061523e-01,1.989980489015579224e-01,1.415859460830688477e-01,-2.764926433563232422e+00
4.046647548675537109e-01,8.823390603065490723e-01,8.396372795104980469e-01,5.739328265190124512e-01,1.457409560680389404e-01,5.616591498255729675e-02,-3.189273834228515625e+00
1.911632120609283447e-01,1.518951505422592163e-01,4.949632287025451660e-01,2.683148980140686035e-01,3.164317309856414795e-01,3.342893123626708984e-01,-1.469981670379638672e+00
4.022502005100250244e-01,8.676837682723999023e-01,5.627612471580505371e-01,5.615160465240478516e-01,2.890802025794982910e-01,2.778295278549194336e-01,-1.484190940856933594e+00
4.046198129653930664e-01,8.822678327560424805e-01,8.336766958236694336e-01,5.738236308097839355e-01,1.512155383825302124e-01,6.967876106500625610e-02,-3.160130739212036133e+00
4.045668542385101318e-01,8.818420767784118652e-01,8.052977919578552246e-01,5.734819769859313965e-01,1.731408834457397461e-01,1.089740470051765442e-01,-2.989751577377319336e+00
