evaluation,mape
2.000000000000000000e+00,9.908057759642594498e-01
1.000000000000000000e+01,3.937853644367013128e-01
2.000000000000000000e+01,1.483797497487122918e-01
3.000000000000000000e+01,2.974893985167131535e-02
4.000000000000000000e+01,3.295915544424814214e-02
5.000000000000000000e+01,1.418061604987334856e-02
6.000000000000000000e+01,3.091055037631502272e-02
7.000000000000000000e+01,1.330051707516785760e-02
8.000000000000000000e+01,1.252940629679817272e-02
9.000000000000000000e+01,1.654260374439060419e-02
1.000000000000000000e+02,1.684395016053828048e-02
