controllable,controllable,controllable,controllable,controllable,environmental,output
8.112374284600767371e-01,3.075914099201896290e-01,5.954240212290068390e-01,4.124235035456074172e-01,3.044230752828066544e-01,9.834535130452342067e-01,6.425715493396881861e-01
7.485477924346923828e-01,3.788661658763885498e-01,6.861940622329711914e-01,8.443033695220947266e-01,3.675494492053985596e-01,1.000000000000000000e+00,4.696639776229858398e-01
6.654655188322067261e-02,8.948418498039245605e-01,8.853662610054016113e-01,4.923140257596969604e-02,7.374328970909118652e-01,1.000000000000000000e+00,1.460265368223190308e-02
9.132702946662902832e-01,1.922760158777236938e-01,4.462583363056182861e-01,5.848671841795808029e-17,2.022919505834579468e-01,1.000000000000000000e+00,1.625485569238662720e-01
7.965356707572937012e-01,2.673544585704803467e-01,5.057802796363830566e-01,4.177823066711425781e-01,9.723275899887084961e-01,8.514511585235595703e-01,4.087589215487241745e-03
1.120920918400080345e-16,1.000000000000000000e+00,3.124347701668739319e-02,0.000000000000000000e+00,3.160488605499267578e-01,7.149573564529418945e-01,7.098098099231719971e-02
1.000000000000000000e+00,1.213611066341400146e-01,6.753904223442077637e-01,5.370776653289794922e-01,2.078393399715423584e-01,4.907577633857727051e-01,1.639787107706069946e-01
9.326604604721069336e-01,9.205924868583679199e-01,6.085904836654663086e-01,6.174747943878173828e-01,4.312582612037658691e-01,4.828346073627471924e-01,1.711045764386653900e-02
2.503049969673156738e-01,1.195624694228172302e-01,8.742297887802124023e-01,1.058612167835235596e-01,3.262512013316154480e-02,3.884843587875366211e-01,2.481668889522552490e-01
8.143723011016845703e-01,3.253744244575500488e-01,6.373999118804931641e-01,2.226595729589462280e-01,2.164767086505889893e-01,1.792502552270889282e-01,1.124927997589111328e-01
8.055160641670227051e-01,1.517788786441087723e-02,1.237138640135526657e-02,5.293644070625305176e-01,1.796444505453109741e-01,0.000000000000000000e+00,1.137120369821786880e-02
5.122840404510498047e-01,9.237159490585327148e-01,4.595971107482910156e-01,8.931006491184234619e-02,9.971032142639160156e-01,8.208856731653213501e-02,2.244431078433990479e-01
5.760646983981132507e-02,5.623468160629272461e-01,5.970414876937866211e-01,2.047915458679199219e-01,9.014562964439392090e-01,0.000000000000000000e+00,7.416731119155883789e-02
