controllable,controllable,controllable,controllable,controllable,environmental,output
2.058508694171905518e-01,1.611935049295425415e-01,4.951214194297790527e-01,2.775203883647918701e-01,3.086732923984527588e-01,8.440657258033752441e-01,-2.538137435913085938e+00
4.046480655670166016e-01,8.824737668037414551e-01,8.488976359367370605e-01,5.740356445312500000e-01,1.361129283905029297e-01,2.904383465647697449e-02,-3.199178457260131836e+00
1.953612267971038818e-01,1.492003053426742554e-01,4.859350025653839111e-01,2.715224027633666992e-01,3.142038285732269287e-01,4.722720682621002197e-01,-2.542501688003540039e+00
1.965231001377105713e-01,1.490336805582046509e-01,4.838562905788421631e-01,2.722553312778472900e-01,3.137074112892150879e-01,5.051284432411193848e-01,-2.772586107254028320e+00
1.997535675764083862e-01,1.492492258548736572e-01,4.788632094860076904e-01,2.742451429367065430e-01,3.124870657920837402e-01,5.969367027282714844e-01,-3.229253530502319336e+00
2.185369580984115601e-01,3.488242924213409424e-01,7.821577787399291992e-01,2.839348018169403076e-01,2.352108508348464966e-01,9.714334011077880859e-01,-1.814457297325134277e+00
4.021672010421752930e-01,8.671185970306396484e-01,5.606347918510437012e-01,5.610574483871459961e-01,2.898261547088623047e-01,2.801953256130218506e-01,-1.462791323661804199e+00
2.006217986345291138e-01,1.495307236909866333e-01,4.777822494506835938e-01,2.747613787651062012e-01,3.120476305484771729e-01,6.240029335021972656e-01,-3.293770313262939453e+00
4.031912386417388916e-01,8.736177086830139160e-01,5.986226201057434082e-01,5.664752721786499023e-01,2.758077383041381836e-01,2.455584853887557983e-01,-1.789475679397583008e+00
4.045781195163726807e-01,8.818545937538146973e-01,8.055818676948547363e-01,5.734871625900268555e-01,1.724811941385269165e-01,1.080017909407615662e-01,-2.995392322540283203e+00
1.976451873779296875e-01,1.490330398082733154e-01,4.819586277008056641e-01,2.729839980602264404e-01,3.132652342319488525e-01,5.372477769851684570e-01,-2.968716621398925781e+00
2.157587110996246338e-01,3.241293430328369141e-01,7.571241855621337891e-01,2.825155556201934814e-01,2.550306916236877441e-01,9.373527765274047852e-01,-1.937409996986389160e+00
2.019476890563964844e-01,1.501792222261428833e-01,4.767171740531921387e-01,2.754695117473602295e-01,3.115482628345489502e-01,6.654985547065734863e-01,-3.320629119873046875e+00
2.030541300773620605e-01,1.510128229856491089e-01,4.766854345798492432e-01,2.760937511920928955e-01,3.110447824001312256e-01,7.021676301956176758e-01,-3.270735025405883789e+00
4.046534001827239990e-01,8.824244141578674316e-01,8.441988825798034668e-01,5.739616155624389648e-01,1.407425552606582642e-01,4.381772875785827637e-02,-3.201899290084838867e+00
2.056528180837631226e-01,1.583423018455505371e-01,4.889076054096221924e-01,2.774170339107513428e-01,3.091685771942138672e-01,8.233826756477355957e-01,-2.684163093566894531e+00
4.042057693004608154e-01,8.796244263648986816e-01,6.996077299118041992e-01,5.715672373771667480e-01,2.316170185804367065e-01,1.788834631443023682e-01,-2.441450595855712891e+00
1.913896650075912476e-01,1.516159772872924805e-01,4.944044947624206543e-01,2.684912383556365967e-01,3.163028359413146973e-01,3.421819508075714111e-01,-1.528935313224792480e+00
4.035950899124145508e-01,8.759816884994506836e-01,6.236513853073120117e-01,5.684636831283569336e-01,2.654706835746765137e-01,2.261842340230941772e-01,-1.980406999588012695e+00
2.036949247121810913e-01,1.518222540616989136e-01,4.772336184978485107e-01,2.764063775539398193e-01,3.107379376888275146e-01,7.261343598365783691e-01,-3.202215909957885742e+00
1.924163252115249634e-01,1.504874080419540405e-01,4.918711483478546143e-01,2.693810164928436279e-01,3.156458437442779541e-01,3.812711834907531738e-01,-1.831421732902526855e+00
1.942052096128463745e-01,1.494834721088409424e-01,4.881179928779602051e-01,2.707330286502838135e-01,3.147177994251251221e-01,4.387630522251129150e-01,-2.287352800369262695e+00
2.058300375938415527e-01,1.706655174493789673e-01,5.160327553749084473e-01,2.775367498397827148e-01,3.071655631065368652e-01,8.816314339637756348e-01,-2.257365942001342773e+00
4.045089185237884521e-01,8.814570903778076172e-01,7.816367149353027344e-01,5.731306672096252441e-01,1.886869668960571289e-01,1.295084506273269653e-01,-2.855760574340820312e+00
2.048319727182388306e-01,1.541677564382553101e-01,4.806181788444519043e-01,2.769976258277893066e-01,3.100370764732360840e-01,7.749499678611755371e-01,-2.984121322631835938e+00
