controllable,controllable,controllable,controllable,controllable,environmental,output
5.593921436059010599e-01,7.793986277759359371e-01,7.607513476061934510e-01,7.418045089855520580e-01,8.238963858468325574e-01,5.302448755518724965e-01,5.180790168191292538e-02
4.826529026031494141e-01,8.858906030654907227e-01,6.745374798774719238e-01,9.468924999237060547e-02,6.487380862236022949e-01,5.457239151000976562e-01,7.807695120573043823e-02
9.962021708488464355e-01,1.797693967819213867e-01,1.599182337522506714e-01,1.547836065292358398e-01,6.583295017480850220e-02,5.421893596649169922e-01,1.385773569345474243e-01
7.140389680862426758e-01,4.022662937641143799e-01,8.674854785203933716e-02,6.200936064124107361e-02,2.180276252329349518e-02,5.707524418830871582e-01,1.521363258361816406e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.130075494225497416e-17,5.887664556503295898e-01,2.552515361458063126e-03
2.406012968543601131e-15,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.386089920997619629e-01,1.820675679482519627e-04
3.164135620181696140e-15,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.932080388069152832e-01,6.031584143638610840e-01,2.275386359542608261e-03
1.000000000000000000e+00,1.601963490247726440e-01,1.630349308252334595e-01,1.000000000000000000e+00,7.513059675693511963e-02,6.337298750877380371e-01,1.292007393203675747e-03
0.000000000000000000e+00,1.000000000000000000e+00,7.820559910792388922e-16,4.359533190727233887e-01,2.077328318457572300e-16,5.950179696083068848e-01,2.736683003604412079e-02
9.221675395965576172e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.092734772114560429e-16,1.000000000000000000e+00,5.732883810997009277e-01,3.266735438955947757e-05
9.477604627609252930e-01,3.869006037712097168e-02,7.982149720191955566e-01,3.679134249687194824e-01,1.000000000000000000e+00,6.104505658149719238e-01,4.366777720861136913e-04
1.476727616396751076e-15,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.184397339820861816e-01,1.257021538913249969e-02
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.586095094680786133e-01,3.882173041347414255e-05
7.090355753898620605e-01,5.476337075233459473e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.536958485841751099e-02,6.968221664428710938e-01,1.440194845199584961e-01
0.000000000000000000e+00,1.000000000000000000e+00,4.624964997258745436e-17,1.240155324339866638e-01,1.000000000000000000e+00,7.306312918663024902e-01,4.798205045517534018e-04
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.209783196449279785e-01,8.794939145445823669e-03
3.321813741458619937e-17,2.263439324070573230e-15,3.136289417743682861e-01,0.000000000000000000e+00,2.601572275161743164e-01,7.138021588325500488e-01,1.117823004722595215e+00
0.000000000000000000e+00,2.477165311574935913e-01,1.000000000000000000e+00,9.743694739938746352e-10,9.999999403953552246e-01,6.848798990249633789e-01,2.626798860728740692e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.832964837551116943e-02,1.000000000000000000e+00,6.815260052680969238e-01,7.521799125242978334e-05
2.568488419055938721e-01,0.000000000000000000e+00,4.573057889938354492e-01,0.000000000000000000e+00,7.378819584846496582e-01,6.590973138809204102e-01,6.760022640228271484e-01
8.624636640917871487e-16,6.502179056406021118e-02,0.000000000000000000e+00,1.531341886791808687e-14,7.884309291839599609e-01,6.414316296577453613e-01,2.042349614202976227e-02
0.000000000000000000e+00,3.057274036109447479e-03,7.745685428380966187e-02,9.230451545453092176e-17,0.000000000000000000e+00,6.157507300376892090e-01,1.884889006614685059e-01
2.027490288019180298e-01,1.311180889606475830e-01,1.833768039941787720e-01,6.124511957168579102e-01,4.579074978828430176e-01,5.790944099426269531e-01,6.498566865921020508e-01
