evaluation,mape
2.000000000000000000e+00,9.424642445495298171e-01
1.000000000000000000e+01,9.365861233350275539e-01
2.000000000000000000e+01,8.498221192207821018e-01
3.000000000000000000e+01,7.189071037162808597e-01
4.000000000000000000e+01,1.284192521915454022e-01
5.000000000000000000e+01,9.577681038648887257e-03
6.000000000000000000e+01,5.180818209687305942e-03
7.000000000000000000e+01,5.549961247597493680e-03
8.000000000000000000e+01,5.742564207699416175e-03
9.000000000000000000e+01,5.228688358868890766e-03
1.000000000000000000e+02,5.310226845772991061e-03
