controllable,controllable,controllable,controllable,controllable,environmental,output
1.986810117959976196e-01,1.491268873214721680e-01,4.803454279899597168e-01,2.735706865787506104e-01,3.129010796546936035e-01,5.655352473258972168e-01,-3.111008167266845703e+00
2.015728801488876343e-01,1.499463766813278198e-01,4.769373238086700439e-01,2.752706706523895264e-01,3.117031455039978027e-01,6.536803841590881348e-01,-3.322028875350952148e+00
1.928975284099578857e-01,1.500566005706787109e-01,4.907381534576416016e-01,2.697974443435668945e-01,3.153758049011230469e-01,3.987257480621337891e-01,-1.969997644424438477e+00
1.996835172176361084e-01,1.492323130369186401e-01,4.788295626640319824e-01,2.742137312889099121e-01,3.124650716781616211e-01,5.955686569213867188e-01,-3.225045680999755859e+00
4.011539816856384277e-01,8.604663014411926270e-01,5.400702953338623047e-01,5.555403232574462891e-01,2.962675690650939941e-01,3.019566535949707031e-01,-1.274304389953613281e+00
2.027459889650344849e-01,1.507969349622726440e-01,4.766730070114135742e-01,2.758819758892059326e-01,3.111808300018310547e-01,6.931023001670837402e-01,-3.289388895034790039e+00
4.016672074794769287e-01,8.639743328094482422e-01,5.496017932891845703e-01,5.584427714347839355e-01,2.933584153652191162e-01,2.916228771209716797e-01,-1.361828446388244629e+00
1.953230649232864380e-01,1.492155939340591431e-01,4.860058426856994629e-01,2.715105116367340088e-01,3.142235577106475830e-01,4.713643491268157959e-01,-2.535815477371215820e+00
2.005860507488250732e-01,1.494918316602706909e-01,4.778261780738830566e-01,2.747175097465515137e-01,3.121106624603271484e-01,6.223677396774291992e-01,-3.290904998779296875e+00
4.020699262619018555e-01,8.665606975555419922e-01,5.583438277244567871e-01,5.605744719505310059e-01,2.906407117843627930e-01,2.824108302593231201e-01,-1.442900061607360840e+00
1.957456618547439575e-01,1.491352021694183350e-01,4.852390587329864502e-01,2.717784345149993896e-01,3.140414655208587646e-01,4.832482337951660156e-01,-2.622083187103271484e+00
1.972755938768386841e-01,1.490315794944763184e-01,4.825541079044342041e-01,2.727586627006530762e-01,3.134065568447113037e-01,5.268818140029907227e-01,-2.909079551696777344e+00
1.946866214275360107e-01,1.493595689535140991e-01,4.871982038021087646e-01,2.710598707199096680e-01,3.145042657852172852e-01,4.525933265686035156e-01,-2.394492626190185547e+00
1.934609115123748779e-01,1.497900635004043579e-01,4.896059334278106689e-01,2.701938450336456299e-01,3.150771558284759521e-01,4.159028530120849609e-01,-2.106815576553344727e+00
1.923927366733551025e-01,1.504165530204772949e-01,4.918812513351440430e-01,2.693742811679840088e-01,3.156535327434539795e-01,3.814998865127563477e-01,-1.833229303359985352e+00
1.912366300821304321e-01,1.518870741128921509e-01,4.948694705963134766e-01,2.683406770229339600e-01,3.164198100566864014e-01,3.352270722389221191e-01,-1.476939797401428223e+00
1.910271793603897095e-01,1.522963196039199829e-01,4.955556690692901611e-01,2.681387662887573242e-01,3.165781199932098389e-01,3.241260647773742676e-01,-1.395425796508789062e+00
1.979059278964996338e-01,1.491119861602783203e-01,4.815376102924346924e-01,2.731251120567321777e-01,3.131639063358306885e-01,5.443515181541442871e-01,-3.007366418838500977e+00
1.960138976573944092e-01,1.491025686264038086e-01,4.847526550292968750e-01,2.719498276710510254e-01,3.139244616031646729e-01,4.908975362777709961e-01,-2.676026105880737305e+00
2.019996792078018188e-01,1.501903235912322998e-01,4.767469167709350586e-01,2.755103707313537598e-01,3.115295767784118652e-01,6.666279435157775879e-01,-3.320117473602294922e+00
1.941333413124084473e-01,1.495205312967300415e-01,4.882765114307403564e-01,2.706791758537292480e-01,3.147550523281097412e-01,4.362878501415252686e-01,-2.267974376678466797e+00
2.012129724025726318e-01,1.497702747583389282e-01,4.772262573242187500e-01,2.750667929649353027e-01,3.118496239185333252e-01,6.420603394508361816e-01,-3.316359281539916992e+00
1.920239180326461792e-01,1.507872641086578369e-01,4.927544891834259033e-01,2.690663635730743408e-01,3.158669769763946533e-01,3.678416013717651367e-01,-1.725895881652832031e+00
1.991300135850906372e-01,1.491689532995223999e-01,4.797906875610351562e-01,2.738800346851348877e-01,3.127067685127258301e-01,5.784944891929626465e-01,-3.165185689926147461e+00
1.967245936393737793e-01,1.490460336208343506e-01,4.834848046302795410e-01,2.724241018295288086e-01,3.136269152164459229e-01,5.113615989685058594e-01,-2.813158273696899414e+00
