evaluation,mape
2.000000000000000000e+00,9.931342507026351685e-01
1.000000000000000000e+01,8.859774475303544561e-01
2.000000000000000000e+01,9.401491385521481003e-01
3.000000000000000000e+01,9.276030429632352581e-01
4.000000000000000000e+01,6.092675220845841233e-01
5.000000000000000000e+01,1.734086079325244389e-01
6.000000000000000000e+01,1.347936021213707314e-01
7.000000000000000000e+01,3.395901937946608357e-02
8.000000000000000000e+01,3.123669368448743489e-02
9.000000000000000000e+01,3.709063836106589462e-02
1.000000000000000000e+02,3.437955566128024498e-02
