environmental,controllable,controllable,controllable,controllable,controllable,output
5.593921436059010599e-01,7.793986277759359371e-01,7.607513476061934510e-01,7.418045089855520580e-01,8.238963858468325574e-01,5.302448755518724965e-01,5.180790168191292538e-02
5.748711824417114258e-01,8.432390093803405762e-01,5.632011890411376953e-01,6.153112649917602539e-01,7.534781694412231445e-01,6.945682168006896973e-01,1.788846775889396667e-02
5.713366270065307617e-01,7.600852847099304199e-02,8.615595698356628418e-01,9.698003530502319336e-01,7.238900661468505859e-01,2.884290218353271484e-01,1.699700253084301949e-03
5.998997092247009277e-01,8.952927589416503906e-01,5.460515022277832031e-01,2.744688987731933594e-01,3.176496364176273346e-03,7.016818970441818237e-02,6.704674959182739258e-01
6.179137229919433594e-01,8.743348121643066406e-01,1.335525419563055038e-02,8.549416065216064453e-01,1.238088235259056091e-01,9.020360112190246582e-01,3.666244214400649071e-03
6.677562594413757324e-01,9.033631086349487305e-01,5.431918501853942871e-01,1.408913880586624146e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.475563347339630127e-01
6.323056817054748535e-01,7.012388706207275391e-01,9.551373124122619629e-01,3.212627768516540527e-01,2.153179943561553955e-01,3.008930087089538574e-01,3.067655563354492188e-01
6.628771424293518066e-01,7.487887144088745117e-01,6.080708503723144531e-01,2.595892250537872314e-01,3.479979932308197021e-01,8.792091608047485352e-01,3.768395483493804932e-01
6.241652369499206543e-01,5.372991561889648438e-01,2.486671507358551025e-01,4.067628979682922363e-01,9.502464532852172852e-01,9.296046495437622070e-01,3.072569612413644791e-03
6.024356484413146973e-01,3.788223564624786377e-01,8.761206269264221191e-01,2.534605264663696289e-01,1.545467595849328558e-16,1.279556658118963242e-03,8.204009383916854858e-02
6.395978331565856934e-01,9.518496990203857422e-01,6.295405030250549316e-01,2.934485077857971191e-01,0.000000000000000000e+00,4.797743260860443115e-01,6.447169184684753418e-02
6.475870013236999512e-01,6.080485880374908447e-02,2.719940543174743652e-01,1.073430664837360382e-02,4.303538799285888672e-02,3.989794552326202393e-01,1.469128429889678955e-01
6.877567768096923828e-01,5.167230963706970215e-01,7.794824987649917603e-02,1.362298429012298584e-01,9.502089023590087891e-01,1.286072582006454468e-01,3.330371528863906860e-02
7.259694337844848633e-01,8.096540570259094238e-01,3.503888547420501709e-01,4.037687927484512329e-02,5.429099798202514648e-01,9.529814720153808594e-01,3.513868153095245361e-02
7.597785592079162598e-01,1.756407618522644043e-01,9.978922605514526367e-01,9.547681808471679688e-01,3.817511498928070068e-01,7.231476902961730957e-01,8.054605126380920410e-02
7.501255869865417480e-01,1.283062547445297241e-01,5.506687760353088379e-01,7.924365401268005371e-01,3.112464845180511475e-01,5.916320718824863434e-03,5.873864050954580307e-03
7.429494261741638184e-01,4.032717645168304443e-02,4.026048183441162109e-01,4.087345898151397705e-01,4.423729330301284790e-02,4.314167201519012451e-01,2.365055382251739502e-01
7.140271663665771484e-01,3.257318735122680664e-01,9.368574023246765137e-01,3.148260116577148438e-01,4.807606339454650879e-01,8.868774175643920898e-01,5.367853641510009766e-01
7.106732726097106934e-01,3.808278739452362061e-01,8.373714685440063477e-01,4.880093038082122803e-01,7.634843885898590088e-02,8.340715169906616211e-01,9.818307161331176758e-01
