environmental,controllable,controllable,controllable,controllable,controllable,output
8.912131786346435547e-01,4.035401344299316406e-01,8.254695534706115723e-01,2.953491508960723877e-01,1.391371041536331177e-01,9.793136119842529297e-01,-1.278382420539855957e+00
7.545855045318603516e-01,3.914618492126464844e-01,8.186405897140502930e-01,2.912874817848205566e-01,1.722890436649322510e-01,9.564731717109680176e-01,-1.379430532455444336e+00
9.196947813034057617e-01,4.049564003944396973e-01,8.262335658073425293e-01,2.965518236160278320e-01,1.342447698116302490e-01,9.821790456771850586e-01,-1.262734055519104004e+00
7.720960378646850586e-01,3.937192857265472412e-01,8.199642896652221680e-01,2.917011380195617676e-01,1.669108867645263672e-01,9.606622457504272461e-01,-1.363511562347412109e+00
7.897239327430725098e-01,3.957166671752929688e-01,8.211095333099365234e-01,2.921401858329772949e-01,1.619039773941040039e-01,9.643789529800415039e-01,-1.348509907722473145e+00
8.824898004531860352e-01,4.030348062515258789e-01,8.251999020576477051e-01,2.950119674205780029e-01,1.407541185617446899e-01,9.783459305763244629e-01,-1.283484578132629395e+00
9.070108532905578613e-01,4.043809473514556885e-01,8.259324431419372559e-01,2.959879636764526367e-01,1.363079696893692017e-01,9.809747338294982910e-01,-1.269517898559570312e+00
8.152692317962646484e-01,3.981732428073883057e-01,8.225143551826477051e-01,2.929235100746154785e-01,1.552779078483581543e-01,9.690140485763549805e-01,-1.328420400619506836e+00
7.383472919464111328e-01,1.464610248804092407e-01,3.682641386985778809e-01,2.878721654415130615e-01,3.047758340835571289e-01,6.656085252761840820e-01,-1.410006642341613770e+00
8.040776252746582031e-01,3.971303999423980713e-01,8.219449520111083984e-01,2.924973368644714355e-01,1.580729186534881592e-01,9.670767784118652344e-01,-1.336993336677551270e+00
7.110119462013244629e-01,1.464268565177917480e-01,3.702235519886016846e-01,2.877458631992340088e-01,3.048520088195800781e-01,6.654605865478515625e-01,-1.529672145843505859e+00
9.248989820480346680e-01,4.052407443523406982e-01,8.263882994651794434e-01,2.967065274715423584e-01,1.334353536367416382e-01,9.826416969299316406e-01,-1.260032892227172852e+00
7.265083193778991699e-01,1.464425772428512573e-01,3.690256774425506592e-01,2.878184020519256592e-01,3.048082292079925537e-01,6.655457019805908203e-01,-1.461394309997558594e+00
7.802445292472839355e-01,3.946728110313415527e-01,8.205054998397827148e-01,2.919197082519531250e-01,1.645489335060119629e-01,9.624438285827636719e-01,-1.356454849243164062e+00
7.024627327919006348e-01,1.463810354471206665e-01,3.709705471992492676e-01,2.877770960330963135e-01,3.048607110977172852e-01,6.653892397880554199e-01,-1.567793011665344238e+00
9.828557372093200684e-01,4.075033068656921387e-01,8.275979757308959961e-01,2.996226549148559570e-01,1.252630501985549927e-01,9.870927929878234863e-01,-1.232879519462585449e+00
9.471974372863769531e-01,4.062183201313018799e-01,8.268931508064270020e-01,2.976482212543487549e-01,1.300794631242752075e-01,9.845188260078430176e-01,-1.248972415924072266e+00
9.913088679313659668e-01,4.077922105789184570e-01,8.277429938316345215e-01,3.002297282218933105e-01,1.242156699299812317e-01,9.876338839530944824e-01,-1.229328036308288574e+00
9.577671885490417480e-01,4.066151380538940430e-01,8.271222114562988281e-01,2.982937395572662354e-01,1.285604089498519897e-01,9.853249192237854004e-01,-1.244006395339965820e+00
9.648946523666381836e-01,4.068720042705535889e-01,8.272542357444763184e-01,2.986367344856262207e-01,1.275750547647476196e-01,9.858570098876953125e-01,-1.240752935409545898e+00
8.553199768066406250e-01,4.013141393661499023e-01,8.242533802986145020e-01,2.940709888935089111e-01,1.461533606052398682e-01,9.750258326530456543e-01,-1.300390005111694336e+00
6.887758970260620117e-01,1.464212834835052490e-01,3.722833991050720215e-01,2.876206934452056885e-01,3.049251735210418701e-01,6.653309464454650879e-01,-1.629427194595336914e+00
8.670147657394409180e-01,4.020755589008331299e-01,8.246898651123046875e-01,2.944656908512115479e-01,1.437401175498962402e-01,9.764907956123352051e-01,-1.292919039726257324e+00
8.474405407905578613e-01,4.007590711116790771e-01,8.239512443542480469e-01,2.937971949577331543e-01,1.478346437215805054e-01,9.739508628845214844e-01,-1.305597424507141113e+00
8.246190547943115234e-01,3.989855945110321045e-01,8.229722380638122559e-01,2.931273579597473145e-01,1.530175805091857910e-01,9.705739617347717285e-01,-1.321517348289489746e+00
