evaluation,mape
2.000000000000000000e+00,9.950975320823874926e-01
1.000000000000000000e+01,9.234128544754937051e-01
2.000000000000000000e+01,7.791213728521958481e-01
3.000000000000000000e+01,7.126816137628070313e-01
4.000000000000000000e+01,2.217200276655796332e-01
5.000000000000000000e+01,1.319211891859955188e-01
6.000000000000000000e+01,1.286040288248434804e-01
7.000000000000000000e+01,1.198499727250855601e-01
8.000000000000000000e+01,1.217782146084343819e-01
9.000000000000000000e+01,1.189521935909487738e-01
1.000000000000000000e+02,7.194565604192430797e-02
