controllable,controllable,environmental,controllable,controllable,controllable,output
1.176942094548799611e-01,6.530161293459604277e-01,6.059553005186221197e-01,1.872161768016393779e-01,7.509644766930821946e-01,3.865413819944635287e-01,3.424053416149975826e-01
9.169272780418395996e-01,8.352614641189575195e-01,6.264570355415344238e-01,9.379622340202331543e-01,2.219703793525695801e-01,9.974370598793029785e-01,8.448185026645660400e-02
2.742338180541992188e-01,4.787548780441284180e-01,6.180920600891113281e-01,4.100080952048301697e-02,8.695570826530456543e-01,2.666231393814086914e-01,2.673652470111846924e-01
1.609398995730122977e-18,1.000000000000000000e+00,6.618702411651611328e-01,8.073630928993225098e-01,6.088783740997314453e-01,8.196963071823120117e-01,9.629769250750541687e-03
4.413741640746593475e-03,0.000000000000000000e+00,6.202100515365600586e-01,2.438859790563583374e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.159215450286865234e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.845190882682800293e-01,1.949714571237564087e-01,1.000000000000000000e+00,3.035552877156526872e-18,1.486293156631290913e-03
8.615263700485229492e-01,6.003139019012451172e-01,5.655270814895629883e-01,9.227127432823181152e-01,8.956470489501953125e-01,5.014985203742980957e-01,8.749242988415062428e-04
2.205161769851027759e-17,7.813829779624938965e-01,5.774760246276855469e-01,1.163911446928977966e-01,9.099913239479064941e-01,3.800191283226013184e-01,1.872919797897338867e-01
1.986892819404602051e-01,0.000000000000000000e+00,5.852231383323669434e-01,2.486039996147155762e-01,1.179023333668529964e-18,5.923264026641845703e-01,7.214366793632507324e-01
4.856623709201812744e-01,9.062595665454864502e-03,5.538409948348999023e-01,9.470592141151428223e-01,5.486497879028320312e-01,6.420744657516479492e-01,2.292526513338088989e-02
1.953590810298919678e-01,0.000000000000000000e+00,5.641341209411621094e-01,4.908868297934532166e-02,0.000000000000000000e+00,4.130720198154449463e-01,3.937104642391204834e-01
