controllable,controllable,environmental,controllable,controllable,controllable,output
4.046559631824493408e-01,8.824585080146789551e-01,8.619067668914794922e-01,5.740012526512145996e-01,1.379846334457397461e-01,3.848057612776756287e-02,-3.203124761581420898e+00
4.046599864959716797e-01,8.825063705444335938e-01,9.387983083724975586e-01,5.740588307380676270e-01,1.336522400379180908e-01,3.840667381882667542e-02,-3.201878309249877930e+00
4.046382308006286621e-01,8.824264407157897949e-01,8.413285017013549805e-01,5.740028023719787598e-01,1.394361257553100586e-01,3.850908577442169189e-02,-3.203158617019653320e+00
4.046963155269622803e-01,8.824353218078613281e-01,8.527484536170959473e-01,5.739705562591552734e-01,1.382930427789688110e-01,3.848737478256225586e-02,-3.203155279159545898e+00
4.046230912208557129e-01,8.823114037513732910e-01,7.253766655921936035e-01,5.738955140113830566e-01,1.463385969400405884e-01,3.863947838544845581e-02,-3.200946807861328125e+00
4.046647548675537109e-01,8.824988007545471191e-01,9.047282338142395020e-01,5.740334391593933105e-01,1.355261653661727905e-01,3.843771293759346008e-02,-3.202648878097534180e+00
4.046532511711120605e-01,8.824907541275024414e-01,9.117025732994079590e-01,5.740369558334350586e-01,1.353334337472915649e-01,3.842870518565177917e-02,-3.202519416809082031e+00
4.046687781810760498e-01,8.824790716171264648e-01,8.851414322853088379e-01,5.740174651145935059e-01,1.366082727909088135e-01,3.844596073031425476e-02,-3.202934503555297852e+00
4.046453833580017090e-01,8.823938965797424316e-01,8.065997362136840820e-01,5.739463567733764648e-01,1.412924677133560181e-01,3.853908553719520569e-02,-3.202928066253662109e+00
4.046267569065093994e-01,8.823651075363159180e-01,7.586612105369567871e-01,5.739414691925048828e-01,1.443085670471191406e-01,3.857792913913726807e-02,-3.202007770538330078e+00
4.046192765235900879e-01,8.823149800300598145e-01,7.304362058639526367e-01,5.738779902458190918e-01,1.460440605878829956e-01,3.863445669412612915e-02,-3.201130867004394531e+00
4.046359658241271973e-01,8.825369477272033691e-01,9.543404579162597656e-01,5.741066336631774902e-01,1.329411417245864868e-01,3.837822377681732178e-02,-3.201410770416259766e+00
4.046762883663177490e-01,8.825327754020690918e-01,9.467365741729736328e-01,5.740423202514648438e-01,1.331780254840850830e-01,3.842201083898544312e-02,-3.201648712158203125e+00
4.046391248703002930e-01,8.823806047439575195e-01,7.780083417892456055e-01,5.739209651947021484e-01,1.430262178182601929e-01,3.856365382671356201e-02,-3.202464342117309570e+00
4.046075046062469482e-01,8.824335932731628418e-01,7.881271839141845703e-01,5.739406347274780273e-01,1.425763666629791260e-01,3.855632618069648743e-02,-3.202656984329223633e+00
4.046441614627838135e-01,8.824166655540466309e-01,8.181293606758117676e-01,5.739743113517761230e-01,1.407220214605331421e-01,3.852963447570800781e-02,-3.203044891357421875e+00
4.046157002449035645e-01,8.823031783103942871e-01,6.994298696517944336e-01,5.738571882247924805e-01,1.485461741685867310e-01,3.867218270897865295e-02,-3.199870586395263672e+00
4.046160876750946045e-01,8.823047876358032227e-01,7.095751166343688965e-01,5.738680958747863770e-01,1.473210602998733521e-01,3.865744173526763916e-02,-3.200317859649658203e+00
4.046537578105926514e-01,8.824033141136169434e-01,8.320879936218261719e-01,5.739802122116088867e-01,1.395657509565353394e-01,3.849812224507331848e-02,-3.203132629394531250e+00
4.046404957771301270e-01,8.823960423469543457e-01,7.969864606857299805e-01,5.739489197731018066e-01,1.419118046760559082e-01,3.855092823505401611e-02,-3.202800035476684570e+00
4.046470522880554199e-01,8.824468255043029785e-01,8.699884414672851562e-01,5.740106701850891113e-01,1.376220881938934326e-01,3.846635296940803528e-02,-3.203076839447021484e+00
4.046471416950225830e-01,8.823403120040893555e-01,7.695020437240600586e-01,5.739228129386901855e-01,1.437152922153472900e-01,3.857335448265075684e-02,-3.202277898788452148e+00
4.046854674816131592e-01,8.825067281723022461e-01,9.282273054122924805e-01,5.740135908126831055e-01,1.343614608049392700e-01,3.841534629464149475e-02,-3.202154636383056641e+00
4.046450555324554443e-01,8.824771046638488770e-01,8.969895839691162109e-01,5.740557909011840820e-01,1.360329091548919678e-01,3.842952102422714233e-02,-3.202775478363037109e+00
4.046261608600616455e-01,8.823186755180358887e-01,7.413215041160583496e-01,5.738832354545593262e-01,1.454532742500305176e-01,3.861302509903907776e-02,-3.201498985290527344e+00
