evaluation,mape
2.000000000000000000e+00,8.774878767941171054e-01
1.000000000000000000e+01,7.030881463104933227e-01
2.000000000000000000e+01,6.827064636566276823e-01
3.000000000000000000e+01,6.045470694003267642e-01
4.000000000000000000e+01,4.488375018568714903e-01
5.000000000000000000e+01,3.322587948674859404e-01
6.000000000000000000e+01,3.089736318912685298e-01
7.000000000000000000e+01,2.606405277913818042e-01
8.000000000000000000e+01,2.412500566724719853e-01
9.000000000000000000e+01,2.320388180607453887e-01
1.000000000000000000e+02,2.100839527585775801e-01
