controllable,environmental,output
-4.903172660600727539e+00,-8.739569218371537218e+00,1.494904045570442008e+01
-4.902940750122070312e+00,-1.000000000000000000e+01,2.320340156555175781e+01
-6.555724620819091797e+00,-9.907713890075683594e+00,5.235497665405273438e+01
-7.413100719451904297e+00,-1.000000000000000000e+01,3.694884490966796875e+01
-4.658487319946289062e+00,-9.691525459289550781e+00,1.744617652893066406e+01
-2.911906719207763672e+00,-1.000000000000000000e+01,2.343928527832031250e+01
7.565017789602279663e-02,-1.000000000000000000e+01,1.565822887420654297e+01
4.169876098632812500e+00,-1.000000000000000000e+01,1.685158538818359375e+01
-1.089229464530944824e+00,-1.000000000000000000e+01,1.736813354492187500e+01
4.875737667083740234e+00,-8.940991401672363281e+00,1.296036911010742188e+01
6.608673334121704102e-01,-7.481110572814941406e+00,6.718753337860107422e+00
-3.188627958297729492e+00,-7.695471763610839844e+00,1.577762889862060547e+01
1.941177487373352051e+00,-8.077033042907714844e+00,1.127134704589843750e+01
-3.287789344787597656e+00,-7.518246650695800781e+00,1.374581527709960938e+01
-4.493386745452880859e+00,-8.507144927978515625e+00,1.170447158813476562e+01
-3.049118757247924805e+00,-8.506090164184570312e+00,1.633421707153320312e+01
4.804533004760742188e+00,-7.623324871063232422e+00,1.385190963745117188e+01
1.183803200721740723e+00,-8.221379280090332031e+00,1.005236053466796875e+01
-6.204803466796875000e+00,-9.328090667724609375e+00,4.422207641601562500e+01
-2.534965991973876953e+00,-9.008438110351562500e+00,1.465482521057128906e+01
-5.084056854248046875e+00,-9.928089141845703125e+00,2.632252311706542969e+01
-2.154379367828369141e+00,-9.750887870788574219e+00,2.056350326538085938e+01
-2.334569692611694336e+00,-1.000000000000000000e+01,2.300260353088378906e+01
-5.407099246978759766e+00,-1.000000000000000000e+01,3.409785842895507812e+01
7.103239059448242188e+00,-1.000000000000000000e+01,2.359743118286132812e+01
1.274131536483764648e+00,-9.676154136657714844e+00,1.264934730529785156e+01
4.764028072357177734e+00,-9.899951934814453125e+00,2.027519226074218750e+01
6.596430778503417969e+00,-8.432662010192871094e+00,2.356284713745117188e+01
5.210738182067871094e+00,-7.463475227355957031e+00,1.695312690734863281e+01
-1.349568605422973633e+00,-7.691549777984619141e+00,1.162158775329589844e+01
2.568831205368041992e+00,-8.992601394653320312e+00,8.243052482604980469e+00
-6.973468065261840820e-01,-9.251317024230957031e+00,8.856710433959960938e+00
-3.238122463226318359e-01,-8.727375030517578125e+00,7.788451194763183594e+00
3.298274755477905273e+00,-9.766015052795410156e+00,1.518929004669189453e+01
1.256395339965820312e+00,-1.000000000000000000e+01,1.520484447479248047e+01
2.226438283920288086e+00,-1.000000000000000000e+01,1.669571685791015625e+01
-3.861867666244506836e+00,-1.000000000000000000e+01,1.848397827148437500e+01
5.183068752288818359e+00,-9.731113433837890625e+00,2.335982513427734375e+01
-2.604588747024536133e+00,-9.860908508300781250e+00,2.288699531555175781e+01
7.231846809387207031e+00,-1.000000000000000000e+01,2.200578117370605469e+01
-5.510980129241943359e+00,-9.205108642578125000e+00,2.873942184448242188e+01
4.392650127410888672e+00,-1.000000000000000000e+01,1.784982490539550781e+01
2.635284662246704102e+00,-8.644880294799804688e+00,9.485694885253906250e+00
