controllable,environmental,output
-6.496199607849121094e+00,9.475810050964355469e+00,-4.427976226806640625e+01
-6.496101856231689453e+00,-3.734098196029663086e+00,-4.028624725341796875e+01
-6.496197223663330078e+00,6.694293975830078125e+00,-4.017430877685546875e+01
-6.496199607849121094e+00,-6.692810535430908203e+00,-4.221037673950195312e+01
-6.496197700500488281e+00,-8.007062911987304688e+00,-4.785554122924804688e+01
-6.496193408966064453e+00,9.177881240844726562e+00,-4.221305847167968750e+01
-6.496199131011962891e+00,7.111756324768066406e+00,-4.012107467651367188e+01
-6.496195316314697266e+00,8.271862983703613281e+00,-4.375831222534179688e+01
-6.496107578277587891e+00,3.870884418487548828e+00,-3.872461700439453125e+01
-6.496158599853515625e+00,-5.573255062103271484e+00,-4.207399368286132812e+01
-6.496156215667724609e+00,7.041762471199035645e-01,-3.772183609008789062e+01
-6.496183395385742188e+00,6.086328029632568359e+00,-4.091955947875976562e+01
-6.496193408966064453e+00,1.270004630088806152e+00,-3.772059631347656250e+01
-6.496160030364990234e+00,-7.094880104064941406e+00,-4.190100860595703125e+01
-6.496192932128906250e+00,-3.059864759445190430e+00,-3.875450897216796875e+01
-6.496195793151855469e+00,4.415050983428955078e+00,-3.890474700927734375e+01
-6.496089935302734375e+00,3.217368602752685547e+00,-3.805701828002929688e+01
-6.496195316314697266e+00,-2.248193740844726562e+00,-3.893886184692382812e+01
-6.496198177337646484e+00,-1.405960321426391602e+00,-3.820528411865234375e+01
-6.496107101440429688e+00,-5.083153724670410156e+00,-4.006729888916015625e+01
-6.496149539947509766e+00,3.505031764507293701e-01,-3.776078414916992188e+01
-6.496127605438232422e+00,5.307130813598632812e+00,-3.912429428100585938e+01
-6.496190071105957031e+00,-7.623786926269531250e-01,-3.793520355224609375e+01
-6.496085643768310547e+00,-4.287825107574462891e+00,-4.087687301635742188e+01
-6.496088027954101562e+00,2.115371942520141602e+00,-3.786824798583984375e+01
