evaluation,mape
2.000000000000000000e+00,6.424332828933445594e-01
1.000000000000000000e+01,6.025112077092323881e-01
2.000000000000000000e+01,5.777905145557853395e-01
3.000000000000000000e+01,5.714114848797373636e-01
4.000000000000000000e+01,4.359524400911323760e-01
5.000000000000000000e+01,2.283347146001883377e-01
6.000000000000000000e+01,7.900446372451161436e-02
7.000000000000000000e+01,7.330358318607227419e-02
8.000000000000000000e+01,5.697906981541883686e-02
9.000000000000000000e+01,5.256645761709761999e-02
1.000000000000000000e+02,4.580600266141503230e-02
