controllable,environmental,output
-2.907705963950430572e+00,-8.397103742130980208e-01,8.548070326297608545e+00
4.195569038391113281e+00,-2.261284112930297852e+00,3.037562847137451172e+00
-2.907955408096313477e+00,-2.316257715225219727e+00,9.541440010070800781e+00
-3.258147716522216797e+00,-3.635524272918701172e+00,9.266139984130859375e+00
-1.967834949493408203e+00,-3.337364196777343750e+00,7.746294021606445312e+00
-4.390544891357421875e+00,-3.440111637115478516e+00,4.490709304809570312e+00
-2.792563438415527344e+00,-4.579762458801269531e+00,1.117808723449707031e+01
-2.715734004974365234e+00,-4.648249626159667969e+00,1.108333396911621094e+01
-2.777755498886108398e+00,-5.734115600585937500e+00,1.371530818939208984e+01
-2.472708940505981445e+00,-4.890645503997802734e+00,1.050158596038818359e+01
-3.053798913955688477e+00,-4.926679134368896484e+00,1.012391376495361328e+01
-6.620354056358337402e-01,-4.962081432342529297e+00,3.489395618438720703e+00
-2.659107446670532227e+00,-5.765439987182617188e+00,1.387994575500488281e+01
-2.711128234863281250e+00,-7.022356033325195312e+00,1.256791114807128906e+01
-2.729689836502075195e+00,-7.551469326019287109e+00,1.576124763488769531e+01
-2.440728664398193359e+00,-6.961087703704833984e+00,1.216855716705322266e+01
-3.009616851806640625e+00,-6.509526252746582031e+00,1.328455638885498047e+01
-2.941624641418457031e+00,-7.578078746795654297e+00,1.570131397247314453e+01
-2.959689140319824219e+00,-7.468882560729980469e+00,1.470269966125488281e+01
-3.206100940704345703e+00,-6.803893089294433594e+00,1.139836883544921875e+01
-2.805117607116699219e+00,-7.142066478729248047e+00,1.283437156677246094e+01
-2.828478097915649414e+00,-8.173973083496093750e+00,1.859754943847656250e+01
-2.814602136611938477e+00,-9.173628807067871094e+00,1.541588497161865234e+01
-3.014088153839111328e+00,-9.443271636962890625e+00,1.765642166137695312e+01
-3.074073791503906250e+00,-9.210385322570800781e+00,1.502585220336914062e+01
-2.719430446624755859e+00,-1.000000000000000000e+01,2.366469764709472656e+01
-2.411488771438598633e+00,-1.000000000000000000e+01,2.323973464965820312e+01
-2.204013824462890625e+00,-9.516314506530761719e+00,1.792636299133300781e+01
-1.967515230178833008e+00,-8.857225418090820312e+00,1.264161682128906250e+01
-2.509974241256713867e+00,-9.603782653808593750e+00,2.001447296142578125e+01
-2.549375295639038086e+00,-9.983712196350097656e+00,2.349201774597167969e+01
-2.430068016052246094e+00,-8.522942543029785156e+00,1.646279907226562500e+01
-3.971204757690429688e+00,-8.283239364624023438e+00,1.264958477020263672e+01
-7.206013679504394531e+00,-6.888442516326904297e+00,3.150338554382324219e+01
-7.500000000000000000e+00,-7.892091274261474609e+00,2.911001205444335938e+01
-7.500000000000000000e+00,-8.959474563598632812e+00,2.559151077270507812e+01
-7.452136993408203125e+00,-9.903944969177246094e+00,3.541326141357421875e+01
-7.500000000000000000e+00,-1.000000000000000000e+01,3.449197769165039062e+01
-7.500000000000000000e+00,-9.504943847656250000e+00,2.976621246337890625e+01
-7.500000000000000000e+00,-9.645503997802734375e+00,3.155442047119140625e+01
-7.500000000000000000e+00,-9.777067184448242188e+00,3.303076171875000000e+01
-7.500000000000000000e+00,-8.589287757873535156e+00,2.719218063354492188e+01
-7.500000000000000000e+00,-8.958875656127929688e+00,2.559150886535644531e+01
-7.500000000000000000e+00,-8.903702735900878906e+00,2.563638305664062500e+01
-7.500000000000000000e+00,-9.613174438476562500e+00,3.115224838256835938e+01
-7.500000000000000000e+00,-9.130228996276855469e+00,2.604549407958984375e+01
-7.500000000000000000e+00,-8.823375701904296875e+00,2.585059738159179688e+01
-7.500000000000000000e+00,-1.000000000000000000e+01,3.449197769165039062e+01
-7.500000000000000000e+00,-9.972352981567382812e+00,3.440186309814453125e+01
-7.500000000000000000e+00,-1.000000000000000000e+01,3.449197769165039062e+01
-7.500000000000000000e+00,-8.705416679382324219e+00,2.642729377746582031e+01
-6.293330669403076172e+00,-9.260664939880371094e+00,4.446231079101562500e+01
-5.701961994171142578e+00,-1.000000000000000000e+01,4.144834899902343750e+01
-5.673962116241455078e+00,-9.259269714355468750e+00,3.325288772583007812e+01
7.500000000000000000e+00,-7.852284908294677734e+00,1.385931205749511719e+01
-5.728328227996826172e+00,-8.863911628723144531e+00,3.331151199340820312e+01
3.279644012451171875e+00,-8.354918479919433594e+00,1.106993484497070312e+01
-5.814187526702880859e+00,-8.513559341430664062e+00,3.731962585449218750e+01
-5.901034355163574219e+00,-8.186229705810546875e+00,4.095687103271484375e+01
-6.029493808746337891e+00,-7.530627250671386719e+00,4.037156295776367188e+01
-5.891403675079345703e+00,-8.635451316833496094e+00,3.815108108520507812e+01
-5.885696411132812500e+00,-9.180226325988769531e+00,3.750672912597656250e+01
-5.981099128723144531e+00,-8.228880882263183594e+00,4.243262481689453125e+01
-5.975173473358154297e+00,-9.493583679199218750e+00,4.258618164062500000e+01
-6.063740253448486328e+00,-8.349727630615234375e+00,4.335478591918945312e+01
-6.101256370544433594e+00,-7.959924697875976562e+00,4.453356552124023438e+01
-6.198417663574218750e+00,-8.906212806701660156e+00,4.212476730346679688e+01
-6.237066268920898438e+00,-8.727211952209472656e+00,4.323418045043945312e+01
-6.237683773040771484e+00,-9.500129699707031250e+00,4.664375686645507812e+01
-6.249012470245361328e+00,-1.000000000000000000e+01,5.154936218261718750e+01
-6.299481391906738281e+00,-1.000000000000000000e+01,5.201589584350585938e+01
-6.359770774841308594e+00,-1.000000000000000000e+01,5.244039535522460938e+01
-6.413149356842041016e+00,-1.000000000000000000e+01,5.269116973876953125e+01
-6.495556831359863281e+00,-9.439958572387695312e+00,4.729467010498046875e+01
-6.482910633087158203e+00,-9.759149551391601562e+00,5.119425964355468750e+01
-6.536517620086669922e+00,-8.629682540893554688e+00,4.522508621215820312e+01
-6.493816375732421875e+00,-7.285130977630615234e+00,4.280994033813476562e+01
-6.491351127624511719e+00,-7.177327632904052734e+00,4.221001052856445312e+01
-6.518669605255126953e+00,-7.382017135620117188e+00,4.349567413330078125e+01
-6.521490097045898438e+00,-7.371570110321044922e+00,4.341175460815429688e+01
-6.552206039428710938e+00,-7.738195419311523438e+00,4.642867279052734375e+01
-6.299473285675048828e+00,-6.560886859893798828e+00,4.191059494018554688e+01
-6.570883750915527344e+00,-7.530663490295410156e+00,4.463449096679687500e+01
-6.196341991424560547e+00,-6.475032806396484375e+00,4.120930862426757812e+01
-6.561048984527587891e+00,-7.930370807647705078e+00,4.753293991088867188e+01
-6.598577022552490234e+00,-6.550903797149658203e+00,4.254755401611328125e+01
-6.560407638549804688e+00,-7.979583263397216797e+00,4.769913482666015625e+01
-6.631383895874023438e+00,-7.175163269042968750e+00,4.180076980590820312e+01
-6.212725162506103516e+00,-7.079283237457275391e+00,4.017134094238281250e+01
-6.612326145172119141e+00,-7.622675418853759766e+00,4.526404190063476562e+01
-6.597922801971435547e+00,-7.701840877532958984e+00,4.598981857299804688e+01
-6.621891021728515625e+00,-7.619965553283691406e+00,4.519011688232421875e+01
-6.547811031341552734e+00,-8.907680511474609375e+00,4.392035293579101562e+01
-6.543766498565673828e+00,-8.068578720092773438e+00,4.788634490966796875e+01
-6.544352531433105469e+00,-8.066123962402343750e+00,4.788374328613281250e+01
-6.028656482696533203e+00,-6.722936630249023438e+00,3.770630645751953125e+01
-6.719716072082519531e+00,-6.347486019134521484e+00,4.246219635009765625e+01
-6.773465156555175781e+00,-6.900958538055419922e+00,4.003442001342773438e+01
-6.342967987060546875e+00,-7.454077243804931641e+00,4.359127426147460938e+01
-6.149187564849853516e+00,-6.128835678100585938e+00,4.144456481933593750e+01
