controllable,environmental,output
-6.496131896972656250e+00,-5.056081771850585938e+00,-4.002526855468750000e+01
-6.496199607849121094e+00,-7.863177776336669922e+00,-4.731144332885742188e+01
-6.496105670928955078e+00,-5.229977607727050781e+00,-4.044408798217773438e+01
-6.496199131011962891e+00,-7.152772426605224609e+00,-4.210417556762695312e+01
-6.496199607849121094e+00,-9.738627433776855469e+00,-5.098188781738281250e+01
-6.496190071105957031e+00,-4.117976665496826172e+00,-4.093389892578125000e+01
-6.496199131011962891e+00,-4.316706657409667969e+00,-4.084635162353515625e+01
-6.496130466461181641e+00,-5.965518474578857422e+00,-4.377118682861328125e+01
-6.496120929718017578e+00,-7.670691967010498047e+00,-4.596381378173828125e+01
-6.496147632598876953e+00,-8.308359146118164062e+00,-4.737175369262695312e+01
-6.496170997619628906e+00,-8.732729911804199219e+00,-4.461925506591796875e+01
-6.496167182922363281e+00,-7.434545516967773438e+00,-4.393085098266601562e+01
-6.496198654174804688e+00,-6.776730060577392578e+00,-4.194127655029296875e+01
-6.496195793151855469e+00,-4.812095642089843750e+00,-4.000519943237304688e+01
-6.496198654174804688e+00,-9.842204093933105469e+00,-5.196722412109375000e+01
-6.496147632598876953e+00,-4.507409572601318359e+00,-4.053678894042968750e+01
-6.496170043945312500e+00,-6.981190204620361328e+00,-4.169995498657226562e+01
-6.496198654174804688e+00,-6.327386856079101562e+00,-4.361467361450195312e+01
-6.496198654174804688e+00,-9.210060119628906250e+00,-4.491458129882812500e+01
-6.496194839477539062e+00,-5.849524974822998047e+00,-4.341897583007812500e+01
-6.496163845062255859e+00,-5.500527381896972656e+00,-4.167903900146484375e+01
-6.496098995208740234e+00,-6.433484554290771484e+00,-4.325379562377929688e+01
-6.496112346649169922e+00,-8.151383399963378906e+00,-4.789331054687500000e+01
-6.496200084686279297e+00,-8.911979675292968750e+00,-4.397236633300781250e+01
-6.496196269989013672e+00,-9.393311500549316406e+00,-4.673186874389648438e+01
