evaluation,mape
2.000000000000000000e+00,8.172347581912592362e-01
1.000000000000000000e+01,6.192247668903412272e-01
2.000000000000000000e+01,5.746592270704276029e-01
3.000000000000000000e+01,5.747849899909824867e-01
4.000000000000000000e+01,2.106257851778222390e-01
5.000000000000000000e+01,1.879711467746473241e-01
6.000000000000000000e+01,1.572812326823620765e-01
7.000000000000000000e+01,7.256269089708462794e-02
8.000000000000000000e+01,6.718125094141182141e-02
9.000000000000000000e+01,6.150521001670097854e-02
1.000000000000000000e+02,4.552561082859009345e-02
