controllable,environmental,output
1.939110771904406505e-01,-5.888180632175512130e+00,6.283245500504740733e+00
-1.244178533554077148e+00,-4.960791110992431641e+00,5.009579181671142578e+00
4.918959140777587891e+00,-3.722129106521606445e+00,9.728696823120117188e+00
7.084084987640380859e+00,-2.444704294204711914e+00,9.896095275878906250e+00
7.500000000000000000e+00,-2.304955959320068359e+00,5.543239593505859375e+00
3.866771459579467773e+00,-2.292888402938842773e+00,2.401171207427978516e+00
6.601433277130126953e+00,-3.518579483032226562e+00,1.654036331176757812e+01
6.810438632965087891e+00,-4.676539897918701172e+00,1.474629592895507812e+01
6.371638774871826172e+00,-5.940864086151123047e+00,2.236515808105468750e+01
6.199745178222656250e+00,-6.519200325012207031e+00,2.220981597900390625e+01
6.256679534912109375e+00,-7.100143909454345703e+00,2.107225036621093750e+01
6.327424049377441406e+00,-7.624554634094238281e+00,2.445464706420898438e+01
6.364208698272705078e+00,-8.830429077148437500e+00,2.286813545227050781e+01
6.452124595642089844e+00,-8.297991752624511719e+00,2.556401252746582031e+01
6.527361392974853516e+00,-9.197045326232910156e+00,2.236874771118164062e+01
6.174934387207031250e+00,-8.803129196166992188e+00,2.362000274658203125e+01
6.138890266418457031e+00,-9.381865501403808594e+00,2.597724533081054688e+01
6.058360576629638672e+00,-8.284007072448730469e+00,2.684767913818359375e+01
5.895720481872558594e+00,-7.286820411682128906e+00,2.174005317687988281e+01
5.835845947265625000e+00,-6.090776920318603516e+00,2.256437110900878906e+01
5.770253658294677734e+00,-5.744764328002929688e+00,2.120457458496093750e+01
6.694242000579833984e+00,-6.816454410552978516e+00,1.774720191955566406e+01
5.746636867523193359e+00,-6.287758350372314453e+00,2.179822158813476562e+01
5.993950366973876953e+00,-5.050726413726806641e+00,1.926748657226562500e+01
6.020390510559082031e+00,-5.010855674743652344e+00,1.927974319458007812e+01
-7.500000000000000000e+00,-5.019180297851562500e+00,2.163344001770019531e+01
-6.919137001037597656e+00,-3.617012023925781250e+00,3.610640716552734375e+01
-6.713501453399658203e+00,-2.450501441955566406e+00,3.785677337646484375e+01
