controllable,environmental,output
-6.496199131011962891e+00,-4.860110759735107422e+00,-3.996355056762695312e+01
-6.496198177337646484e+00,-2.657339334487915039e+00,-3.877097320556640625e+01
-6.496198654174804688e+00,-3.651917219161987305e+00,-4.005468750000000000e+01
-6.496185302734375000e+00,-3.928958177566528320e+00,-4.073326492309570312e+01
-6.496176719665527344e+00,-5.363347530364990234e+00,-4.098470687866210938e+01
-6.496164321899414062e+00,-6.718441009521484375e+00,-4.212071228027343750e+01
-6.496175765991210938e+00,-7.301850795745849609e+00,-4.292078399658203125e+01
-6.496180057525634766e+00,-5.870694637298583984e+00,-4.349602127075195312e+01
-6.496194362640380859e+00,-4.259609699249267578e+00,-4.090127182006835938e+01
-6.496087074279785156e+00,-7.524908542633056641e+00,-4.470599746704101562e+01
-6.496198654174804688e+00,-6.864997386932373047e+00,-4.175267410278320312e+01
-6.496196269989013672e+00,-7.781044483184814453e+00,-4.680567169189453125e+01
-6.496199131011962891e+00,-1.764301538467407227e+00,-3.860791015625000000e+01
-6.496198177337646484e+00,-4.675904273986816406e+00,-4.020704650878906250e+01
-6.496196746826171875e+00,-8.079105377197265625e+00,-4.793989944458007812e+01
-6.496145725250244141e+00,-8.238037109375000000e+00,-4.767133712768554688e+01
-6.496198654174804688e+00,-6.484071731567382812e+00,-4.305388259887695312e+01
-6.496199607849121094e+00,-5.203362941741943359e+00,-4.035756301879882812e+01
-6.496187686920166016e+00,-6.122409343719482422e+00,-4.394057464599609375e+01
-6.496182441711425781e+00,-3.466337442398071289e+00,-3.951960754394531250e+01
-6.496157646179199219e+00,-3.318939685821533203e+00,-3.915003204345703125e+01
-6.496199131011962891e+00,-5.663480758666992188e+00,-4.255967330932617188e+01
-6.496105670928955078e+00,-2.180631399154663086e+00,-3.893027114868164062e+01
-6.496197223663330078e+00,-3.023440122604370117e+00,-3.872839355468750000e+01
-6.496160507202148438e+00,-2.292960166931152344e+00,-3.893704605102539062e+01
